,molecule,ref_name,ff_name,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens,mse_vap_density,mapd_vap_density,mae_vap_density,mpd_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mpd_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mpd_Hvap,mse_diff_coeff,mapd_diff_coeff,mae_diff_coeff,mpd_diff_coeff,mse_Tc,mapd_Tc,mae_Tc,mpd_Tc,mse_rhoc,mapd_rhoc,mae_rhoc,mpd_rhoc
0,DEC,Base FF,Base,48.200584012918625,0.6660682828479825,6.232134119984858,-0.6660682828479825,1.2842029509999975,3.934801835148691,0.9029066666666655,-2.0861404376005015,0.8115112997015519,522.584588307622,0.8570387248245,522.584588307622,0.0053154353052092705,30.378791269732865,0.06671820517450001,13.384811520983874,,,,,,,,,,,,,,,,
1,DEC,Caleman et al.,GAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DEC,Caleman et al.,OPLS/AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DEC,Garcia-Melgarejo et al.,Modified OPLSAA-LPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DEC,Luo et al.,Luo et al.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DMF,Base FF,Base,36.92666009341074,0.6471854346332396,6.025429029560072,-0.6471854346332397,0.7194602468333334,2.1635976124026386,0.7143966666666667,-1.8299294629048248,,,,,,,,,,,,,,,,,,,,,,,,
6,DMF,Caleman et al.,GAFF,,,,,,,,,,,,,,,,,6039.19215256292,12.113427326206716,77.71223940000004,12.113427326206716,,,,,,,,,,,,
7,DMF,Caleman et al.,OPLS/AA,,,,,,,,,,,,,,,,,122.81952991504785,1.7274732439855511,11.082397300000025,-1.7274732439855511,,,,,,,,,,,,
8,DMF,Chalaris & Samios,Chalaris & Samios,,,,,,,,,,,,,,,,,,,,,1.5209999999999992e-19,23.780487804878042,3.899999999999999e-10,-23.780487804878042,,,,,,,,
9,DMF,Vahid & Maginn,Vahid & Maginn,,,,,,,,,,,,,,,,,,,,,,,,,0.5387853603999806,0.11299568965517039,0.7340199999999868,-0.11299568965517039,0.026895999999995823,0.05873841348977352,0.16399999999998727,-0.05873841348977352
10,DMSO,Base FF,Base,32.71060017283324,0.5292257433329464,5.65804763550312,-0.5292257433329464,0.5203270826666666,1.4780434427573426,0.5950400000000002,-0.09189765508262268,0.00017638415592096662,99.84647717107542,0.012465590293081141,99.84647717107542,2.12989027438464e-05,99.4179279326906,0.004299999825746586,99.41792793269062,,,,,,,,,8300.5418204776,12.689040302103601,91.10730936910386,-12.689040302103601,13.445974002556133,1.0018784800111422,3.666875236840781,-1.0018784800111422
11,DMSO,Borin & Skaf,Borin & Skaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DMSO,Caleman et al.,GAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DMSO,Caleman et al.,OPLS/AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DMSO,Senapati,Modified P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DMSO,Vahid & Maginn,Vahid & Maginn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EG,Base FF,Base,894.5781937150056,2.80214120700097,21.681723953277935,-2.3981629096563126,10.735549832514806,19.436500061833016,2.541371484848485,-18.74645123430361,161.60536536799682,75.22148609746434,5.804323358214279,75.22148609746431,9.093037215399688,65.03193207909436,1.6552364416809664,65.03193207909436,15046.097106150986,14.512740141258815,113.96554366944852,-14.512740141258812,,,,,111.88567156451889,1.4699280647921769,10.577602354244505,-1.4699280647921769,1064.2598791405812,8.323456282395387,32.62299617050189,-8.323456282395387
17,EG,Huang et al.,Huang et al.,4.519379014792763,0.24044428734169365,2.1045139999999947,-0.14174970308559845,,,,,1.820694144361666,17.756937902135146,0.99610302,7.72629562792483,3.089405090720003,4.558065192628188,1.0036080000000005,-4.558065192628187,2363.485198244448,4.667458205471413,38.31201270000001,3.2534692679472528,,,,,5.7599999999998905,0.33351862145636146,2.3999999999999773,0.33351862145636146,661.9042562499982,6.564134096884594,25.727499999999964,-6.564134096884594
18,EG,Stubbs et al.,TraPPE-UA,1882.430759999997,4.462942007711167,36.56799999999996,-4.462942007711167,,,,,2.798542283379997,9.770256452181195,1.2526059999999992,7.484757677902486,1.0576176231200018,7.466001043444311,0.7008120000000008,1.1842497424263425,,,,,,,,,2.560000000000073,0.22234574763757958,1.6000000000000227,-0.22234574763757958,2697.8155402499983,13.25213903640986,51.940499999999986,-13.25213903640986
19,Gly,Base FF,Base,24.23952084660215,0.34917978230736746,4.351809416858335,-0.13455010940540552,3.435843149999995,2.333260838314121,1.4448333333333314,-0.16999607459556124,,,,,,,,,,,,,,,,,,,,,,,,
20,Gly,Caleman et al.,GAFF,2410.8100000000136,3.893426373800661,49.100000000000136,3.893426373800661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gly,Caleman et al.,OPLS/AA,1.959999999999618,0.11101419395764521,1.3999999999998636,-0.11101419395764521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Gly,Jahn et al.,BC-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Gly,Jahn et al.,OPLS1-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gly,Jahn et al.,OPLS2-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Gly,Jahn et al.,OPLS3-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gly,Jahn et al.,R-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MeOH,Base FF,Base,2133.4202010965128,5.29769889601969,27.8480548901626,5.29769889601969,3.43143652807262,33.17117670876567,1.5354959523809522,25.74681239093805,19.287183523444224,60.59371626217528,2.640022997574773,-60.593716262175285,27.051065240690814,66.61981630343902,3.0140895528403786,-66.619816303439,41957.385800276235,14.111702121314776,166.0963382139703,13.13984523022594,,,,,2270.921640393306,9.298378159554463,47.65418806771663,9.298378159554463,1.7591702654718515,0.4843368759485234,1.3263371613099935,-0.4843368759485234
28,MeOH,Caleman et al.,GAFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MeOH,Caleman et al.,OPLS/AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MeOH,Chen et al.,TraPPE-UA,6.300099999999954,0.3199449337803203,2.509999999999991,-0.3199449337803203,,,,,0.0002634128999999998,6.5913982861552185,0.016229999999999994,-6.5913982861552185,0.0002829123999999991,9.003318702494365,0.016819999999999974,-9.003318702494365,4444.083296225746,5.716487133093791,66.66395799999987,5.716487133093791,,,,,110.25,2.048780487804878,10.5,-2.048780487804878,124.41171599999991,4.073092175894479,11.153999999999996,4.073092175894479
31,MeOH,Gonzalez-Salgado & Vega,OPLS/2016,,,,,11.589596202499997,110.47095443150332,3.3032249999999994,110.47095443150333,,,,,,,,,,,,,,,,,93.93059956839988,1.8910790243902427,9.691779999999994,1.8910790243902427,69.32227600000036,3.040394966514034,8.326000000000022,-3.040394966514034
32,MeOH,Guevara-Carrion et al.,L2,,,,,,,,,,,,,,,,,,,,,,,,,1.6055930943999421,0.24724292682926385,1.2671199999999772,-0.24724292682926385,14.017535999999785,1.3671917793212138,3.7439999999999714,1.3671917793212138
33,MeOH,Haughney et al.,H1,,,,,,,,,,,,,,,,,,,,,,,,,1241.8385704729005,6.8760448780487815,35.23973000000001,-6.8760448780487815,2302.656195999999,17.52298737246481,47.98599999999999,-17.52298737246481
34,MeOH,Jorgensen,OPLS (Gonzalez-Salgado & Vega),,,,,,,,,,,,,,,,,,,,,,,,,487.9256881216005,4.310056585365856,22.08904000000001,-4.310056585365856,23.77537599999977,1.780562798068979,4.875999999999976,-1.780562798068979
35,MeOH,Martinez-Jimenez et al.,MeOH-4P,47.69251450000017,1.0671091976925977,5.679000000000016,0.5876939947498121,3.092253702499999,57.96930471002925,1.6907249999999996,57.96930471002924,992.7431364177322,67.68646794337924,20.69196925,-67.68646794337926,313.9520304501523,57.57715783122024,12.777375750000001,-57.577157831220234,,,,,,,,,88.35999999999957,1.8341463414634103,9.399999999999977,1.8341463414634103,355.1717160000001,6.881970158410203,18.846000000000004,-6.881970158410203
36,MeOH,van Leeuwen & Smit,L1,,,,,,,,,,,,,,,,,,,,,,,,,45.51634169639993,1.3164058536585355,6.7465799999999945,-1.3164058536585355,0.08643599999998984,0.10735961087617958,0.2939999999999827,0.10735961087617958
