,molecule,ref_name,ff_name,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens,mse_vap_density,mapd_vap_density,mae_vap_density,mpd_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mpd_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mpd_Hvap,mse_diff_coeff,mapd_diff_coeff,mae_diff_coeff,mpd_diff_coeff,mse_Tc,mapd_Tc,mae_Tc,mpd_Tc,mse_rhoc,mapd_rhoc,mae_rhoc,mpd_rhoc
0,DEC,GP-Opt FF,GP-Opt,9.176111667523964,0.2736939521934044,2.6224321290363832,0.08128491501695416,0.790689024166667,3.107389705844532,0.7669033333333332,0.8519533045513517,0.4320350069544586,363.186065886155,0.5408218280616001,363.186065886155,0.0023164258026610023,30.963772808043206,0.04204541992814,6.2691922862302745,,,,,,,,,159.41194423869567,2.1919868573009933,12.625844298053721,-2.1919868573009933,461.15672473896836,6.2897779693187035,21.474559942847918,-6.2897779693187035
1,DMF,GP-Opt FF,GP-Opt,0.44616608306653227,0.06350012873439531,0.593045405665877,0.017443286306571913,2.0218844690000055,3.625021747150634,1.2050133333333355,3.6250217471506336,,,,,,,,,,,,,,,,,,,,,,,,
2,DMF,Caleman et al.,GAFF,,,,,,,,,,,,,,,,,6039.19215256292,12.113427326206716,77.71223940000004,12.113427326206716,,,,,,,,,,,,
3,DMF,Caleman et al.,OPLS/AA,,,,,,,,,,,,,,,,,122.81952991504785,1.7274732439855511,11.082397300000025,-1.7274732439855511,,,,,,,,,,,,
4,DMF,Chalaris & Samios,Chalaris & Samios,,,,,,,,,,,,,,,,,,,,,1.5209999999999992e-19,23.780487804878042,3.899999999999999e-10,-23.780487804878042,,,,,,,,
5,DMF,Vahid & Maginn,Vahid & Maginn,,,,,,,,,,,,,,,,,,,,,,,,,0.5387853603999806,0.11299568965517039,0.7340199999999868,-0.11299568965517039,0.026895999999995823,0.05873841348977352,0.16399999999998727,-0.05873841348977352
6,DMSO,GP-Opt FF,GP-Opt,1.1896319626390204,0.09015617151153245,0.9662137853191931,0.02478212483854702,0.5043247298333364,1.6487824010085348,0.6605233333333355,1.4619226664768497,0.001654420016036819,289.1554051153243,0.03767479445791178,289.1554051153243,0.0002001582451031472,287.79947733358887,0.013015749724939685,287.79947733358887,,,,,,,,,9537.14378734138,13.601434703293386,97.6583011696465,-13.601434703293386,1.416660688711416,0.3252009727261352,1.1902355601776549,-0.3252009727261352
7,EG,GP-Opt FF,GP-Opt,189.80103077423172,1.4365544087795408,12.533430507383896,-0.027667329686397416,15.938446316443198,17.127572478365266,3.6521419696969715,-3.792416977648457,17.21721098432663,37.949201381900394,2.070227388010854,37.949201381900394,0.38030348382216517,32.82834866840954,0.38870974482213944,32.564722860713,8918.721659143672,11.317633637117162,90.35332367512778,-11.317633637117165,,,,,85.68060315266267,1.2863232007714083,9.256381752751054,1.2863232007714083,1281.5986198641765,9.133892021997504,35.79942206047713,-9.133892021997504
8,EG,Huang et al.,Huang et al.,4.519379014792763,0.24044428734169365,2.1045139999999947,-0.14174970308559845,,,,,1.820694144361666,17.756937902135146,0.99610302,7.72629562792483,3.089405090720003,4.558065192628188,1.0036080000000005,-4.558065192628187,2363.485198244448,4.667458205471413,38.31201270000001,3.2534692679472528,,,,,5.7599999999998905,0.33351862145636146,2.3999999999999773,0.33351862145636146,661.9042562499982,6.564134096884594,25.727499999999964,-6.564134096884594
9,EG,Stubbs et al.,TraPPE-UA,1882.430759999997,4.462942007711167,36.56799999999996,-4.462942007711167,,,,,2.798542283379997,9.770256452181195,1.2526059999999992,7.484757677902486,1.0576176231200018,7.466001043444311,0.7008120000000008,1.1842497424263425,,,,,,,,,2.560000000000073,0.22234574763757958,1.6000000000000227,-0.22234574763757958,2697.8155402499983,13.25213903640986,51.940499999999986,-13.25213903640986
10,Gly,GP-Opt FF,GP-Opt,22.231203833518812,0.3183047211927248,3.9828838393029096,0.08701396254657125,6.109612116666668,2.758666126255651,1.7183666666666662,1.1108877137438262,,,,,,,,,,,,,,,,,,,,,,,,
