mode_index,sing_value,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,temperature
0,1565.0531940220453,-0.20701353063758676,-0.08397076539023583,0.814187199644961,0.1350835285747098,0.3362261306041067,-0.208054568414892,-0.27597008959200114,-0.1295296144660858,-0.047207371763427215,-0.004385715770334763,-0.06026647473822583,-0.1036050420658088,0.0553173033680826
1,942.5586653930424,0.8977187334058596,0.05255847141860057,-0.016559969603925632,0.08231876349941786,0.3936268187991157,-0.01737469904451678,-0.14553316403295286,-0.059829508535347735,-0.03927299857669375,0.0005309019618641368,-0.02313982808066838,-0.043241513424991856,0.01834983340950178
2,352.34729809814297,0.16962687871399765,0.7929861955996959,0.3570000327364428,-0.10324154990404898,-0.4303351834682133,0.06780278757472974,0.0729022467047537,-0.07010097639880429,0.028142566542919575,-0.01301490785449355,0.05545305132355885,-0.002686831293887503,-0.01528561951272879
3,301.5376120560492,-0.20729574319607147,0.2945488786969927,0.00466616281003341,-0.12847972727377518,0.6485076714313724,0.48513429999487057,0.4219018970450509,-0.016970592524694,0.11427051398616053,0.010118669241613278,-0.053608993471678947,0.021690625025694032,-0.055039745718712105
4,187.24644251081145,0.23472733406246038,-0.39373579044829116,0.39725125893856944,0.2745136862247666,-0.2647828597257657,0.328338170096283,0.5074101651798071,0.3171320752180444,0.05446650120990558,0.036956748017164975,0.11120312976757514,-0.049390629916982766,-0.04021395693809585
5,149.9716898740669,-0.05172881945789408,-0.018070706681658045,-0.01204850081166639,0.17495288979747478,-0.09773015765101647,0.7206619156952201,-0.6485747233972119,0.05960403011129904,0.06261100820314573,-0.001163055412344682,0.07370552905431291,0.05825915940334657,-0.019727655214970906
6,101.48572269844792,-0.0715225481177149,0.07770716181364067,-0.16622262329939172,0.7013289171305769,-0.060565276727991474,0.040516921923539354,0.16776873256228308,-0.6247965122651631,-0.022238056293776613,0.021951587807246212,-0.023905866295828825,-0.20155694520884748,0.05791383756682302
7,79.61621666985508,-0.05774518523221979,0.20949776369537793,-0.039074012658380806,0.5080291774209021,0.12934977067629091,-0.23762645734514848,-0.026465260678138484,0.34690825052271573,0.21302721827386262,0.010057514123080404,0.05194802008750784,0.6672341540529235,-0.0743676936812575
8,56.769717799101876,-0.10241699217272719,0.24655941735004616,-0.14671654688035943,0.2746711546604727,0.11493658126074494,-0.1378929674209625,-0.09028716047890475,0.5589794510991057,-0.008695876183530018,0.0546487399537363,0.10028046677204204,-0.6808032417796106,-0.047991767523629034
9,43.43117837412143,0.05114759431312429,-0.07970851146966472,0.014606001272409555,-0.07278534122662582,-0.06077115800064264,-0.0772507337890088,-0.05400110811317527,-0.10152143699832289,0.9204932760495718,-0.05566990453576423,-0.21958392347855957,-0.175612342630343,-0.18213209602769617
10,27.021365207640432,-0.011198746438643555,-0.04429262612610244,0.007233266231814727,-0.09164806373670673,0.09230616076100279,-0.07813692284834133,-0.015288487413604506,-0.18351455516410775,0.1422803278875596,0.06501077133187746,0.9261354901098571,-0.013253786774923858,-0.2419736076373043
11,15.350352002209668,-0.003972473234749416,0.014383037762449294,-0.02019873292588542,-0.031044624250719317,0.02143566677275431,0.007652612498488631,0.0209234592906204,0.04818223022518129,0.24725678532494128,0.03588118691816917,0.21182129024927682,0.000989762858722725,0.942250288050354
12,7.51697435593696,0.005691055720925393,0.0021280481779773026,0.006657137231648123,-0.04222493892887653,-0.017754370330947664,-0.006731787785357045,-0.02538177073348124,-0.028899882994800688,0.029229730278018316,0.9930554091357358,-0.08914219241800482,0.027365866112592063,-0.024232299802172015
