sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,temperature
-0.20701353064154282,-0.0839707653906348,0.81418719964412,0.13508352857485353,0.336226130602822,-0.2080545684154929,-0.27597008959272884,-0.12952961446554395,-0.047207371763391306,-0.0043857157703445435,-0.06026647473811478,-0.10360504206553392,0.05531730336853515
0.8977187334059121,0.052558471419940814,-0.016559969598837987,0.082318763498917,0.3936268187994768,-0.017374699045285498,-0.14553316403227906,-0.059829508533445395,-0.03927299857621641,0.0005309019613221779,-0.023139828080534896,-0.04324151342711179,0.018349833409225202
0.1696268787127372,0.7929861955967531,0.3570000327366827,-0.10324154990459754,-0.4303351834744345,0.06780278757381403,0.07290224670002181,-0.0701009764008853,0.028142566541083037,-0.01301490785638104,0.055453051323878996,-0.0026868312982645296,-0.015285619511839576
-0.2072957431945631,0.29454887870109764,0.00466616281483539,-0.1284797272728998,0.6485076714271806,0.4851342999963071,0.4219018970482515,-0.016970592524008652,0.1142705139869412,0.010118669241443782,-0.05360899346942855,0.021690625023582173,-0.05503974571792031
0.23472733406085344,-0.39373579044731166,0.39725125894032104,0.27451368621923505,-0.26478285972903,0.3283381700993702,0.5074101651681286,0.31713207523620424,0.05446650120744084,0.036956748020578564,0.1112031297632621,-0.04939062992405909,-0.04021395693839286
-0.05172881945816355,-0.018070706681831354,-0.012048500814578436,0.17495288977898438,-0.09773015764649137,0.7206619156929297,-0.64857472340532,0.05960403011938668,0.06261100820695167,-0.0011630554133644582,0.07370552905369601,0.0582591593939856,-0.019727655209235296
-0.07152254811648696,0.07770716181246598,-0.16622262329804516,0.7013289171419863,-0.06056527673072402,0.04051692194102349,0.16776873255696972,-0.6247965122445329,-0.022238056312600687,0.02195158780943994,-0.02390586629231452,-0.20155694523295825,0.057913837567951855
-0.0577451852283801,0.20949776369414427,-0.03907401265535305,0.508029177425659,0.1293497706672147,-0.23762645733310922,-0.02646526068048457,0.34690825050745805,0.21302721829812882,0.010057514118205189,0.05194802006795458,0.6672341540589111,-0.0743676936724962
-0.10241699217396671,0.24655941735415698,-0.14671654688174024,0.27467115464347797,0.11493658126304532,-0.1378929674377707,-0.09028716048855182,0.5589794511186423,-0.008695876153749298,0.05464873996332233,0.10028046674103806,-0.6808032417668377,-0.04799176753385455
0.05114759431672438,-0.07970851148187275,0.014606001275671346,-0.07278534123696682,-0.06077115800934138,-0.07725073378020188,-0.054001108102099064,-0.10152143703487504,0.9204932760474931,-0.055669904534070815,-0.21958392348742026,-0.1756123426280937,-0.18213209600320343
-0.0111987464399628,-0.04429262612019211,0.007233266229846226,-0.09164806371795253,0.09230616076229364,-0.07813692285355303,-0.015288487412714727,-0.1835145551476367,0.14228032790301767,0.0650107713498055,0.9261354901142026,-0.013253786781336924,-0.2419736076249743
-0.003972473234819141,0.014383037764256411,-0.02019873292723687,-0.031044624249934524,0.021435666771151305,0.007652612497080588,0.020923459296258027,0.048182230229556415,0.24725678530259135,0.03588118692807563,0.21182129023645205,0.0009897628508996955,0.9422502880584014
0.0056910557221731455,0.002128048178727057,0.006657137232855635,-0.04222493893055252,-0.017754370333188482,-0.006731787782862926,-0.025381770733928728,-0.02889988300072954,0.029229730270857294,0.9930554091336218,-0.08914219243588663,0.027365866124492398,-0.024232299806136257
