sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,temperature
-0.060163511920357245,0.003941719233903407,-0.27186902072173025,-0.07770450138431115,0.0,0.0,-0.8370227628798301,-0.46034052501660605,0.04538038257478239,0.032016193820857186,-0.01862654253680119,-0.007059912058962305,0.0,0.0,0.00047414460749519924,-0.00424048669508644,-0.01985304492215134
-0.1278350211206832,0.030478477349087874,-0.3283287655474661,-0.08680963221876437,0.0,0.0,0.5421745656590138,-0.7526250857446874,0.042238933583822844,0.03478920973505338,-0.03507739568803245,-0.003392234299383407,2.1507379017325504e-31,0.0,0.05148082976322982,-0.0009086504805222151,0.01040917273592643
0.9124589872829191,0.001175093379320459,-0.3959080673759441,-0.02718276666571251,0.0,0.0,0.039130628359953276,0.054227925431272105,0.04077514468456656,-0.007383913317515139,-0.06036875282648367,-0.0067057127705667605,7.796493703761038e-29,0.0,0.005793202201297626,0.0023979794257902695,-0.004176373332750113
-0.377502656621874,0.04609471967067455,-0.7796604650778648,-0.10643070424802359,0.0,0.0,0.04145158034757099,0.46249866161235753,0.06903857732267377,0.05093954233366686,-0.059469309110764215,-0.011553992630527803,3.909631624130267e-27,0.0,0.060516824971513644,-0.0023018031742473083,0.07646567816353454
0.03370282245238662,0.8158810778987986,0.13062027377075316,-0.5548762207221043,5.551115123125783e-17,0.0,-0.006394663691682845,0.032718886094755484,0.028018138835064745,-0.041958183031713656,-0.02240527933305413,-0.05471475474753968,1.781808835647093e-22,0.0,0.032000510377888106,0.0007801836810727974,-0.008697442407744338
-0.026803679567627033,0.5524812340821957,-0.11154188002045978,0.7857428755867195,0.0,-3.469446951953614e-17,-0.011427343798973477,-0.03327867785500038,0.015266361824234066,-0.09186439298454462,-0.029446386214747308,0.05220032441955797,6.358041060327592e-20,0.0,-0.06985599489222366,0.018182042510903603,-0.21330728516428243
0.035244769789109606,0.09504279966529935,-0.08286800916328171,0.08174170686595068,1.1102230246251565e-16,0.0,-0.014436381079498767,-0.032229092963412205,-0.2910269732840657,-0.12304662438041465,0.7972387440204566,-0.011610881144705158,3.604972223514302e-18,0.0,0.08829357473725025,-0.016249682457397042,0.48094420603632826
-0.004954388900487729,-0.06484107461896542,-0.0575741854833496,-0.13551142079142817,-2.220446049250313e-16,-1.249000902703301e-16,0.03508435963580425,0.03513328640023667,0.23718255700352286,0.17623954666486724,0.5828233726572085,0.02979412478602674,3.122502256758253e-17,0.0,-0.19621073816912454,0.009934991927808862,-0.7107345653543435
-0.001755773575747108,0.011272298529128866,-0.07847168696184367,-0.06010953803550979,-1.3877787807814457e-16,-1.3877787807814457e-17,0.0011496850037546807,0.0005103130774949454,-0.9054279920332313,0.25878199909016025,-0.1094131914822352,-0.01921796073694921,1.3877787807814457e-17,0.0,-0.06556042834774581,0.027497462412255366,-0.2931458333877527
-0.04212037195225661,-0.08650416953934884,-0.08823817915066458,-0.11884166759233161,-1.1102230246251565e-16,-2.7755575615628914e-16,0.01470907706803408,-0.01381912206742518,-0.14130103464406207,-0.8155555869612053,-0.042586409996663764,-0.04692779017448282,4.336808689942018e-18,0.0,-0.5174895046972086,-0.018915490220371967,-0.10564259915313833
0.005966310359736615,0.0697546066492696,0.0005823772947706439,0.02240682745389165,-9.71445146547012e-16,-9.020562075079397e-16,0.018646255997787707,-0.011957398889451167,0.08126004967147928,0.4536005829324329,-0.023666110386659802,-0.018721423428426195,8.326672684688674e-17,0.0,-0.8153426469518071,-0.0714054299967721,0.3331005888683195
0.002607752448253623,0.016616298801943114,-0.006673589147170852,-0.07594331131543122,-8.187894806610529e-16,-8.777700788442644e-16,-0.003379420341805682,0.000917806371843485,-0.02919763804219985,-0.027567753705163334,-0.013110370855007145,0.992280691543472,1.1102230246251565e-16,0.0,-0.0322742736832952,0.07097350491504505,0.0375327747176292
0.002870021893986183,0.006529366987126078,0.0001417815767355971,0.005404717833081502,-5.898059818321144e-16,-1.9186041644303486e-15,0.0016173485031289406,0.003208267595344317,-0.023144858238355267,-0.010119353273321497,-0.009112787908936918,0.07400066458264894,-2.220446049250313e-16,0.0,0.05946875096010064,-0.9939951269399451,-0.04633485416248301
0.0,-3.506432524666368e-32,1.0125099553792212e-31,-9.730321639417744e-32,3.917675505213828e-16,-1.7815965894893035e-15,-6.687849747638745e-32,3.353991105130424e-32,-2.6860737156836216e-32,-7.419699353188872e-31,-3.04441931873511e-31,-6.44328893236375e-31,7.780703709978316e-15,-1.0,2.1483680888496233e-30,2.7494065907790543e-30,-2.49480483783817e-31
0.0,-6.266304577298826e-19,-9.44665323378744e-18,-1.294966250469621e-17,-0.05901025299039095,0.19985173807012963,9.205845934951474e-18,1.939429294795402e-19,1.822160651340567e-17,1.1240457314258724e-16,3.4895396947638904e-17,7.889912856117418e-17,-0.9780475820901346,-7.93809462606987e-15,-2.439348464131179e-16,-2.5429657159616295e-16,-2.094018320864896e-18
0.0,1.3543833632500967e-16,-4.459814830695471e-17,-1.1467505600809568e-16,0.07238985395603638,0.9780321580598267,2.816840253049268e-17,6.867492272896396e-19,-1.7622046889096449e-16,2.8822333204556673e-16,-8.860791683616785e-17,9.153003118572297e-16,0.19548096287122513,-2.220446049250313e-16,-9.31002573229088e-16,-1.894951812155538e-15,8.514980744541595e-17
0.0,1.6204535219843646e-17,8.136248193963333e-19,-8.375052659076376e-17,0.9956291975862466,-0.05926534055572328,2.1066226322361324e-17,-9.688128577081235e-18,-1.3160473853554263e-16,4.3794547322424957e-16,-1.2514334549335167e-16,7.482947644723003e-16,-0.07218116321160513,-1.1102230246251565e-16,-8.342052283389793e-16,-4.639218370819262e-16,-8.181783754002789e-18
