param_rank,sensitivity_score
sigma_O1,2943.6074782722258
sigma_O2,2282.8960879115
sigma_H1,1710.86144681003
sigma_C1,1002.2110227067672
sigma_H2,557.9820652979247
epsilon_C1,296.5029153036092
sigma_C2,273.5912183296631
epsilon_H1,228.7766177788055
epsilon_C2,224.3252369494296
temperature,202.3054327503981
epsilon_O1,140.45968727544127
epsilon_H2,57.35678848084325
epsilon_O2,24.19077670632043
sigma_H4,2.5658286664673026e-13
sigma_H3,1.9729196558508478e-13
epsilon_H3,4.92210246130144e-15
epsilon_H4,0.0
