,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature,liq_density
0,0.20138022993869212,0.3773357143830325,0.20961705098364755,0.18883088947712376,0.2007723028183933,0.38856329928107036,0.3060384848542158,0.14058267485472156,0.23497292982865656,0.5084660662512791,0.06262345153207781,0.07055982213870167,0.5876863726007464,1.056419475984554,273.18,1046.4854518641762
1,0.20138022993869212,0.3773357143830325,0.20961705098364755,0.18883088947712376,0.2007723028183933,0.38856329928107036,0.3060384848542158,0.14058267485472156,0.23497292982865656,0.5084660662512791,0.06262345153207781,0.07055982213870167,0.5876863726007464,1.056419475984554,293.16,1017.215454467627
2,0.20138022993869212,0.3773357143830325,0.20961705098364755,0.18883088947712376,0.2007723028183933,0.38856329928107036,0.3060384848542158,0.14058267485472156,0.23497292982865656,0.5084660662512791,0.06262345153207781,0.07055982213870167,0.5876863726007464,1.056419475984554,313.19,986.044809419982
3,0.20138022993869212,0.3773357143830325,0.20961705098364755,0.18883088947712376,0.2007723028183933,0.38856329928107036,0.3060384848542158,0.14058267485472156,0.23497292982865656,0.5084660662512791,0.06262345153207781,0.07055982213870167,0.5876863726007464,1.056419475984554,333.18,954.3136842430996
4,0.20138022993869212,0.3773357143830325,0.20961705098364755,0.18883088947712376,0.2007723028183933,0.38856329928107036,0.3060384848542158,0.14058267485472156,0.23497292982865656,0.5084660662512791,0.06262345153207781,0.07055982213870167,0.5876863726007464,1.056419475984554,353.19,921.5265203977003
5,0.20324134354279924,0.3977154972722592,0.36114884847146445,0.23986587991152758,0.2735079027414578,0.37987017327365014,0.22065856721685273,0.45636475749433614,0.5042320714785542,0.38171379596391614,0.07506604591617129,0.02306741132409751,0.5093620744823095,0.9274531873620402,273.18,992.711401596588
6,0.20324134354279924,0.3977154972722592,0.36114884847146445,0.23986587991152758,0.2735079027414578,0.37987017327365014,0.22065856721685273,0.45636475749433614,0.5042320714785542,0.38171379596391614,0.07506604591617129,0.02306741132409751,0.5093620744823095,0.9274531873620402,293.16,972.0818985638167
7,0.20324134354279924,0.3977154972722592,0.36114884847146445,0.23986587991152758,0.2735079027414578,0.37987017327365014,0.22065856721685273,0.45636475749433614,0.5042320714785542,0.38171379596391614,0.07506604591617129,0.02306741132409751,0.5093620744823095,0.9274531873620402,313.19,950.5052901934929
8,0.20324134354279924,0.3977154972722592,0.36114884847146445,0.23986587991152758,0.2735079027414578,0.37987017327365014,0.22065856721685273,0.45636475749433614,0.5042320714785542,0.38171379596391614,0.07506604591617129,0.02306741132409751,0.5093620744823095,0.9274531873620402,333.18,928.4273165733706
9,0.20324134354279924,0.3977154972722592,0.36114884847146445,0.23986587991152758,0.2735079027414578,0.37987017327365014,0.22065856721685273,0.45636475749433614,0.5042320714785542,0.38171379596391614,0.07506604591617129,0.02306741132409751,0.5093620744823095,0.9274531873620402,353.19,906.6135243900487
