,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,mse,mapd
0,0.21839713027878618,0.39461578359390015,0.3930160064814467,0.25651367176965956,0.15797718397118055,0.33664729393939996,0.30195494137733303,0.4211024908047922,0.5016563293719143,0.43349214391525603,0.054921226393023895,0.06450692004170873,0.4356265122225482,1.0683436295448754,98.23441862889456,0.9441911484100667
1,0.21939467393323844,0.3416620227982908,0.28476564953008576,0.18245277220281583,0.2992444039936114,0.3479673737591046,0.3795694353180662,0.3144201720351482,0.5460670856460756,0.4335457776052651,0.08161458536181368,0.031393742203194665,0.47403432061345885,1.1106172573287239,98.51186985246257,0.6687779126670639
2,0.2227063198720765,0.35169175652718926,0.3970484152184244,0.2727439562015653,0.20426921233886514,0.38555474689681046,0.2248569364598294,0.16310237028621985,0.5727427539634871,0.6182702491082207,0.031812742280884626,0.033526872312102336,0.7243749926569019,0.804692015971535,91.88943267312344,0.7912841734821838
3,0.24347210592006568,0.39380634799186987,0.21289974756881674,0.1704968689818577,0.26626870808444325,0.3121942216244991,0.38846493420455486,0.4912410899131395,0.32404015199407166,0.21836135996383704,0.020689702490994732,0.06263457377834705,0.42647295226414506,1.0130148169143947,98.60037619210763,0.7585575469430099
4,0.25750668546412353,0.3400965270268455,0.3151350976423291,0.23839455079061628,0.22634988294455816,0.3556608858793098,0.3856548832950652,0.2705110166916117,0.5580687525047594,0.5375225050483798,0.0459425689029065,0.05853667232867556,0.5112030634498962,1.080787455719448,93.11796967584453,0.8306928661726996
5,0.27657624757854,0.38158509147427855,0.3792206746442511,0.2683682382406774,0.2477702794405351,0.23428116052095513,0.31248365997988864,0.6077141030257673,0.41424889749034693,0.3791304098857019,0.03615637663471484,0.07785018094328201,0.8306573305772214,0.6592654985744273,92.56687371488789,0.814275424979203
6,0.2894675269671175,0.31709428686051583,0.3707780950109234,0.27208479783152,0.1735487764296601,0.2850362299860848,0.399581283118541,0.5908592237674368,0.32504920821249317,0.4729348712889713,0.028161991987645928,0.017512435138452364,0.7558534668553578,1.0077701746535928,89.46650810356037,0.7664156650371498
7,0.2999291786900033,0.353717786642993,0.22305418751190778,0.2618510109085439,0.2655408995651414,0.3859172233544718,0.24040205383170743,0.41037915021095933,0.5446320678304217,0.08897011132337487,0.02154152114818074,0.04066586989034235,0.6767715883014888,1.0790624507468434,93.80740607467716,0.9432967883051793
8,0.3087512552480873,0.21126968463316878,0.3629788197176764,0.25289669470126036,0.24734670849220403,0.36904784606364716,0.2876333380308876,0.5681858608024185,0.5849658736236201,0.530560328578459,0.06342474009442596,0.06567134265189968,0.5815072367529605,0.6624829158340987,94.78266289214025,0.6766012359486692
9,0.3122286926538032,0.20561546627959923,0.3242766249501632,0.26392504640474845,0.15805800615309967,0.37543704679402723,0.38432873967195286,0.2744663396704907,0.6080128223636557,0.5896193427318464,0.04507892304595468,0.07565252186592994,0.8210765799077772,1.094319623883197,91.08177153737003,0.8985378010873507
