,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
0,0.27657624757854,0.38158509147427855,0.3792206746442511,0.2683682382406774,0.2477702794405351,0.23428116052095513,0.31248365997988864,0.6077141030257673,0.41424889749034693,0.3791304098857019,0.03615637663471484,0.07785018094328201,0.8306573305772214,0.6592654985744273
1,0.3450278933796803,0.29999328582379836,0.22970493684106497,0.1846341119353333,0.2076782012333934,0.3580717038733668,0.3871654425631257,0.14220647157818259,0.5868554210532564,0.13298535772184297,0.020721737066607068,0.047456674974939494,0.6783333456073642,0.9372706907076479
2,0.3730637242816446,0.39078057063889604,0.3330318029495659,0.1887025874816361,0.27956443627873595,0.30376629579441194,0.30348155117994025,0.18997079362688002,0.3617790211879084,0.261352557013093,0.0801367896718573,0.03486992808549272,0.6752864866010369,0.6490734479563319
3,0.3933714664092508,0.35446379192045874,0.2696043958927051,0.2521568896509221,0.28809492191314073,0.23782062873631177,0.22486369127518194,0.5746391908962662,0.4263791802361937,0.17787946035579255,0.041495595785931386,0.06785601920195472,0.41437329342899626,0.8093967364996579
