,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
1157,0.37247433689409826,0.3512116359618479,0.0019210875891984666,0.5724677438123191,0.35369037835100897,0.35351202062422693,0.7400772347845559,0.3854572418466082,0.1055790589828353,0.9966046878212615,0.05098489224715962,0.996267159211869,0.5191466544358648,0.05581500669651517,0.9184010763946187,0.482128842572972
3317,0.019247884285398788,0.17672937437049688,0.16080247421782132,0.4590646076381308,0.5243814983428138,0.9171282498894671,0.595128068537449,0.7201597804044556,0.6536597896567627,0.2708543227271482,0.009815943970463594,0.7490024047391632,0.3023205384500271,0.8728597885801107,0.6276119324542895,0.4158145157132402
4181,0.4693668225344804,0.5229002838858301,0.12033741845733213,0.8869577042922403,0.15445155195460514,0.8216533724561942,0.4415503514374151,0.6964154009597098,0.0020206185481942145,0.4830347034128956,0.004830828660932365,0.8282075138436519,0.16989113774022505,0.7305398236166829,0.4086716889977312,0.03163982951518272
4055,0.44964855815629284,0.8335563416238837,0.7133082602618129,0.5569636271664731,0.13289449837616732,0.36420139532599666,0.3123245203159154,0.9228651143394216,0.9903819628963396,0.37318700374836766,0.6511323416159628,0.9239139861559684,0.38071006267359586,0.602489395622041,0.7498228800230495,0.01149794984824538
2561,0.44993238016254783,0.12614495374574883,0.5472778230684756,0.9943810165878277,0.061908765185743134,0.10018340094938478,0.1419425483763894,0.997709032396474,0.030641250205655706,0.7579778283004305,0.09284009541497244,0.1973425840582607,0.10060565710630716,0.09668653482257267,0.9982629672418687,0.5064378258221433
1730,0.7282533466787718,0.316088749099975,0.6724350971000208,0.1714483190211963,0.730763421319225,0.013534618740167577,0.3098249084109616,0.7650817022768055,0.699813099545908,0.5037080696864482,0.1738684200253212,0.9064758549160427,0.08882660682748576,0.3833946434471934,0.7551484627793766,0.46402377735639455
4015,0.33089612025362647,0.8743513835994193,0.6228174808445877,0.1078803569193065,0.507556745242118,0.1421535130063565,0.44409614477253795,0.6511723398317266,0.02706497717045829,0.8837957671997958,0.05718362205796904,0.5580448719182702,0.012568060674599276,0.14125680790169015,0.8334981809177041,0.8458873552645427
2592,0.7641117101061956,0.7072380558986565,0.5765849197790784,0.22204415938054567,0.39064385702457727,0.007071110506741068,0.36486763137021544,0.7214900832237677,0.4547310636575521,0.27955017209284394,0.6010640171391067,0.827321647535706,0.08312725412519109,0.8750291975627548,0.01706375292624142,0.43734671563089234
324,0.9725347632124723,0.1833575191403185,0.34499800890567445,0.18237247439360052,0.6722117596002121,0.05784603178392951,0.3296655772453771,0.7834974688604669,0.25075020895337646,0.8780618854675271,0.9823275991620326,0.9076273822660126,0.453237651741488,0.1489906036854737,0.9069339214979323,0.29816524240838177
3464,0.8037132728315469,0.34221753410272276,0.10850602822618478,0.72512842136834,0.009474275244237926,0.08994499159190421,0.24003301228334595,0.9651522665140639,0.011605297317367369,0.7721240517627853,0.41779413233990953,0.9158537742072104,0.7183163390369058,0.33881185765284755,0.6969269984986137,0.9087978179721745
877,0.013905309165803282,0.06481516460873657,0.02611152369896856,0.06308838969391653,0.33923523127727806,0.6574416378095779,0.5027917657165664,0.9251539775683493,0.05385821611593367,0.24061290954525594,0.3348767736335048,0.25935331208983065,0.29015936406348153,0.12510897595055281,0.17399089556759736,0.5347865686077057
2782,0.9777492659143444,0.6465771649317198,0.6795503284535389,0.3986815247138608,0.14888780739545315,0.6397719687050548,0.195131427517916,0.8639450121686716,0.6888825222431612,0.2026498636615376,0.9830995854495612,0.9744277060774903,0.756122186708517,0.1865012599135388,0.9197635868792176,0.2194466527224616
1180,0.17234539932583115,0.23540236534408715,0.0869590427018414,0.9321642952978424,0.5564516794553686,0.18727443139084476,0.42856201266779015,0.993099814925453,0.9561871883029783,0.2297301151086341,0.29311088363092974,0.16334302674146,0.33693241960074316,0.9186715745608234,0.1640841761379272,0.5019555296074913
3422,0.25383118693209805,0.07501380055588974,0.08037711836897976,0.8522767511436172,0.02861961969817803,0.2586050560474652,0.47968451133762224,0.7991375838953589,0.31663520873600814,0.32272325195159235,0.03761403729075291,0.8751248012296389,0.8073871806695435,0.11199160815946266,0.9981151144660844,0.002380010564858661
693,0.5551297636662577,0.9383172092710228,0.2710796721403541,0.6765033444660993,0.04256188398218561,0.3280613496717088,0.5335774813106882,0.818628036078359,0.5832898787531409,0.3402964195914931,0.39540866349914144,0.9725272250410505,0.3176297359362682,0.062107528306480905,0.9364960965426302,0.5123931728163299
2009,0.722196199701918,0.07551642286032816,0.04825112710522566,0.87911735837787,0.25491306408682257,0.6014797750476657,0.6126795485692121,0.5068231336922719,0.8113638879810642,0.9994978532692727,0.2238207295560453,0.5612201157792917,0.0009525847002144094,0.46689721938027257,0.03640261052042607,0.7594107015035994
234,0.004258745286214961,0.7153709394867404,0.19238132862281834,0.8579671790049439,0.03735859066001097,0.10496277101377227,0.5160330721919133,0.7695990018804169,0.682477230517217,0.014199610910013148,0.9953125388453744,0.1332722768888386,0.8862622587569726,0.07160241460836574,0.07281689868136369,0.7971272367508757
623,0.42619038987650926,0.23204434277582733,0.5006564685332632,0.957380095781086,0.677936684541706,0.0041491040893695255,0.2419215547114771,0.9692705991771967,0.990457834411765,0.08547138515865163,0.18343950537267362,0.44052656234719195,0.029001547407044297,0.03374702898541161,0.8680467143396008,0.9732653280367359
1127,0.18967381737244968,0.4526550706658153,0.008792496820558847,0.4503528319436459,0.3771659261576132,0.654776819600574,0.6787650109021113,0.5495706625731436,0.3740775720160517,0.9638510255529349,0.32828891354112427,0.9679452975958238,0.1790303496747242,0.8697336283820493,0.5385511756906122,0.8282264117981771
2064,0.2964290128675558,0.3376649846113745,0.6261168767436766,0.512553133153524,0.05007567171266813,0.8079134142371025,0.39894074926205353,0.6536020811764283,0.016312013572715892,0.8006607920862052,0.14424764283219757,0.5078285202218804,0.46914376691767556,0.068405127626553,0.04800449302469402,0.49378463349557755
2949,0.5516904333490352,0.324623303510055,0.01634819616648942,0.9676531036308401,0.37215055164618166,0.78700704838984,0.5743741348544856,0.725924688922269,0.9798963999244477,0.7608963373641523,0.022321802909242953,0.9794860713943954,0.7265896543383966,0.2154001030674587,0.4880865770850559,0.7882445886758346
919,0.29462682739143564,0.6534347468312784,0.19768048679373748,0.15506937473292579,0.14371198696220674,0.9905752928959428,0.663220086213162,0.5889439394896115,0.9473871322891736,0.4928116496764398,0.9240868417266552,0.9876395959773175,0.5159084117267014,0.2966280854664622,0.30055535039775055,0.6047768175845869
