,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,mse,mapd
0,0.20099547517203278,0.2645479002527556,0.22687607603725196,0.2236039889255123,0.0,0.0,0.3093273084200879,0.3303178915489515,0.34619484865986705,0.3760435560817636,0.07550074241019167,0.0778848858949319,0.0,0.0,0.6488297322576612,0.6633860150913794,92.79889064039041,0.6480919624642509
1,0.2028206349713628,0.366318924481158,0.15413398705011702,0.2802158050593171,0.0,0.0,0.32372694106171473,0.35661809646231857,0.16044020241886567,0.6215635872467794,0.05253139504088944,0.0397738733210912,0.0,0.0,1.055120100410362,1.0482023599977937,13.801782164636325,0.25756741762034163
2,0.2036143501117294,0.36304161307296245,0.15172420275183993,0.29581131629394075,0.0,0.0,0.3007906109176383,0.39541074744197113,0.5251638443396338,0.22378639682071974,0.02824169861092253,0.02157549701745631,0.0,0.0,0.9263632245207243,0.95665059700667,31.64582143778434,0.3835619060015586
3,0.20509246509635246,0.29214873033816235,0.22665122229561752,0.19438135159416142,0.0,0.0,0.29224766479520536,0.368955529921861,0.578988379782567,0.3755127417442879,0.05888569795173698,0.08267981770958253,0.0,0.0,0.9195229287174209,0.949827013728783,69.80451212762168,0.539050121402916
4,0.20544961383551338,0.3774300879766455,0.18925880538313938,0.15445530978843366,0.0,0.0,0.32967529649364014,0.33116348217792224,0.25929649566029683,0.3836879229671207,0.06474222887289618,0.04552507155886511,0.0,0.0,0.8834732611442112,0.8243688753304204,22.955212360599894,0.3313987291818255
5,0.21368124973755573,0.20528351905922856,0.15601004034886096,0.27498113385235334,0.0,0.0,0.30514986702162233,0.3864211264540499,0.602712687651891,0.40266930926652905,0.06024999717097934,0.027505678813864152,0.0,0.0,0.9590440341806588,0.9100824880918559,63.1414604915275,0.5743882135634001
6,0.21833867577022528,0.23476684590154187,0.21302307827721778,0.2477590324995888,0.0,0.0,0.3234379290663621,0.3177218889581862,0.5287328035405895,0.1900753919512887,0.07279844041224239,0.04978693159210065,0.0,0.0,0.9307845765671052,0.8616513004007628,99.19819093054241,0.6702186937758823
7,0.2225873589912787,0.3794787312419838,0.18035384356913886,0.15429447659069023,0.0,0.0,0.3216956560017502,0.36776506207267107,0.5415693107077283,0.44676642693009166,0.0814354582281375,0.0713446645416676,0.0,0.0,1.0945757993948677,1.0815136699375043,24.901867856086298,0.36358595436319296
8,0.2288888564486956,0.31911374938275544,0.17157023740099095,0.17348775839981212,0.0,0.0,0.3139730196316043,0.39345679936184363,0.6019535624838326,0.44482384663993624,0.03834614901889557,0.02954322120971209,0.0,0.0,1.0591431906439763,0.6378239194871087,34.21036362883193,0.4075241252469738
9,0.2479432918647047,0.2842671738599472,0.18313692754822633,0.1796661048200638,0.0,0.0,0.3317538363403688,0.35535664267107775,0.49015914183477893,0.24355488990556534,0.027185585730111934,0.021459115617230812,0.0,0.0,0.7951872579384075,0.6810491071967166,88.59581284932322,0.6263867595561493
10,0.257505963426733,0.34329540075204346,0.15052081268562081,0.2851145725193503,0.0,0.0,0.30250228899165243,0.392099731193596,0.612243593763352,0.21905925828392,0.07124920670492337,0.08029729652371609,0.0,0.0,0.7744574629195373,0.7234184765211769,93.83453626394198,0.7059151812258229
11,0.2683806692236164,0.26460511898283334,0.22548985066984373,0.20573017921503006,0.0,0.0,0.32317576982139656,0.32024147916254625,0.08728289349447296,0.37313658966345203,0.01679971829965045,0.033350453792382266,0.0,0.0,0.9842649787711029,1.1134348113841033,50.109970633806014,0.4981104185172004
12,0.27158835385009306,0.3470772404238315,0.1739484634859086,0.2884275023535741,0.0,0.0,0.33674900075333525,0.3231939608527379,0.3272168788031883,0.386555534082517,0.06896692625943174,0.07251156820641254,0.0,0.0,0.6754596418149248,1.1198315779319212,93.6008523662903,0.706275810428295
13,0.2748124849706022,0.2310654895060723,0.19143498135230536,0.24899652496963326,0.0,0.0,0.339347783755658,0.2825297070890541,0.11003703110099848,0.20335827448315535,0.06922960810737316,0.07067386180120576,0.0,0.0,1.1187858149865226,0.6922131866353186,80.01077751364322,0.7074156426678844
14,0.27960867347778007,0.3098385471778522,0.1547370994386052,0.2409807755418062,0.0,0.0,0.353056488745496,0.30897818029802626,0.3892339146351491,0.592366878853293,0.06692144677355139,0.08244580045002245,0.0,0.0,1.0763453692888352,1.0230280993658591,9.629037799424015,0.203474975020323
15,0.29667155133238393,0.2097985118749353,0.1625371468502607,0.25581616631995274,0.0,0.0,0.34723506981371993,0.27564963141539445,0.14502250278622617,0.14806470180349207,0.07315451457068753,0.06386654742531134,0.0,0.0,1.0032482278251158,0.94593250426669,96.46104457466004,0.7723366571695288
16,0.30434247012489235,0.2301356969032198,0.17961646548394222,0.18338575054783648,0.0,0.0,0.3097562089843048,0.3923898056445935,0.614109778183243,0.5487082804539265,0.026973211184349075,0.024394928043759,0.0,0.0,0.6620822513840728,0.7135092014204144,14.328316940534247,0.24326936616287265
