,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
676,0.770143435445265,0.6917642006916734,0.9717801049123881,0.00090002789692679,0.09315626801114593,0.7514561692108817,0.02338123893348991,0.49058158485869546,0.8642450645004346,0.2320648620788668
35146,0.7535210104988218,0.4481427710572567,0.8877889777807082,0.13959840276108682,0.780449878853498,0.8261987624740128,0.2029073632229505,0.45095150646283144,0.6896564819442506,0.8759898218654352
63031,0.6326412901352702,0.697047716385281,0.3767938281194716,0.35070770114837435,0.21951321256276843,0.9363754160220517,0.7034901802738065,0.43381019725576775,0.07507230122056294,0.6377478454649581
110818,0.6936975464418105,0.30018669842222834,0.6326392791825014,0.44169434405611585,0.10583598290890489,0.47886409330986557,0.728384606046222,0.9898673712184048,0.044435180359431566,0.8336262354888385
16377,0.02482991542581576,0.976289875335153,0.7464744698797356,0.2084748066361982,0.4955898429102067,0.7539250217256837,0.7597339579875992,0.7585193651949044,0.06402293793517881,0.9463377833920779
92174,0.4834229074391367,0.9473556830414316,0.684615025491805,0.04489614892207837,0.2487978858085998,0.9679708758030706,0.11316558510219528,0.9422768510283882,0.27486570037305263,0.2859280033292351
222821,0.5429636148056716,0.06525466592546116,0.7953006832762511,0.06873775558227105,0.08957070114997887,0.7736544700458369,0.28503861616605497,0.7867650561637546,0.8440435767483491,0.9064940178934475
15349,0.7438203031339806,0.5723948201060655,0.07634634021527284,0.5034031394896433,0.5566436492502148,0.7661414903560189,0.6667644013786854,0.06026836273513282,0.6417244940257584,0.5765758515726052
15997,0.893915122908558,0.392097573589574,0.20080799069226368,0.4017454368976345,0.052030668831413454,0.010755781029256754,0.7195680831200428,0.77392784159826,0.8871315696073846,0.7316156040206245
24273,0.8338848955537117,0.3835164703427407,0.8637605519145994,0.28602992793490956,0.30400489806365993,0.3028137898284428,0.7937441491320147,0.30168295055493694,0.2716305264483624,0.41745049821125996
52623,0.5003899714050971,0.8530604417795037,0.8660250021417712,0.15117733454985002,0.21672230051577393,0.7259812317007754,0.44125683548014016,0.11424850009574274,0.19970000206833025,0.8748107170906657
74137,0.9668685578601346,0.9364696856902954,0.8344090309709853,0.017088237799314943,0.8821473782351085,0.25377037840983263,0.08579218138014881,0.28628218895925145,0.8909544427954177,0.8250855574184202
70401,0.7965103579596002,0.285542907563564,0.47993675386035284,0.5292031246592094,0.6752931838249848,0.9860645927185543,0.9228111872873764,0.4192597626076592,0.28814622460993744,0.9052017247608101
201,0.20773764182512863,0.6195262061416458,0.7837033285146684,0.20254148815342915,0.7540047314677936,0.9097974883061041,0.3187937851562403,0.7071925797808171,0.6934145469395625,0.14200926354409
127073,0.24279700232804188,0.9815201967659393,0.18945848325686496,0.6559158904719324,0.5644214686789011,0.12647203673410246,0.7843492367108775,0.7706787670959347,0.24815836411475964,0.8124374599755136
35082,0.9069566290887651,0.9482640755437113,0.3002910668229529,0.7740045851528878,0.22356672067848066,0.8497192328311831,0.03870928293343994,0.30834539162257607,0.11660531366495189,0.5432915219809091
155214,0.21709903024841468,0.8260725302340866,2.8975038378886287e-05,0.3737845692386814,0.6482537815771805,0.38119996070146384,0.7912053310335262,0.3035041811456562,0.8663813918482484,0.7290858642775254
35785,0.15928463011200616,0.4384973936070375,0.7343721165434097,0.2927048359529285,0.195951275592741,0.007314890102428692,0.6162953779028045,0.8807363939752755,0.6100486367546577,0.9562456843727772
21919,0.5331315179959687,0.8187785978930092,0.14631067646787674,0.33490974176722726,0.30923737745965113,0.27427051648137507,0.6031419236178961,0.6208655472373035,0.5839152068111171,0.18779060459277175
59,0.6292499086380724,0.9444222744326469,0.3508692773818802,0.003146707828722405,0.5678192347822818,0.28406500145591806,0.14334294876455456,0.015897633435535248,0.13440906484188075,0.4438181464714374
1189,0.6636406236799259,0.725424281568278,0.5905763092749602,0.1764535535704082,0.12239716800034206,0.4995743370923657,0.2724508743280914,0.7319454043334384,0.44539400351942066,0.6600572316803368
426,0.04785955496227935,0.9676696284955254,0.6559831533065791,0.14138005883212704,0.9578393354424019,0.9378808701969572,0.5322806305762832,0.37542514592211707,0.18238513006150542,0.28668444042400953
50627,0.8767092028226576,0.9052386339932524,0.7104654018569239,0.12647466246510009,0.7544040438769785,0.542466891606415,0.7352208919965187,0.0615216318932545,0.6576283738193391,0.997687297375435
245,0.1748864268520727,0.810626690912013,0.7173088310568104,0.038249609694654414,0.4750148004824841,0.33075928691790196,0.5773285068855999,0.004493436690679393,0.46812782824605476,0.04306327558662441
92463,0.6581682778041225,0.38741354754540075,0.6753384121656055,0.1690176733854193,0.46443524314173984,0.31370742791153156,0.5181946863910285,0.26040470644791225,0.9826977463038716,0.9431226053321179
