,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
119,0.3272057580546861,0.3530027486880879,0.3290489592462146,0.2685166084334949,0.2123420548018246,0.4721972094916987,0.3362515857407594,0.3272108735783687,0.170143603567504,0.0206711216958155
136,0.332476301924776,0.3924237750395692,0.265405142056609,0.3126082436149344,0.1744669097368179,0.181695420255381,0.3990390707981055,0.1435865703240038,0.2521570835511578,0.0408981631030411
274,0.3619248054153796,0.3359585102324234,0.3289223870557898,0.257578596795406,0.2384102955637425,0.3819134419137012,0.2293523495812723,0.2669757536643817,0.2697843765308229,0.0324203389173715
323,0.3729164973905577,0.3096151864157277,0.2867780271210158,0.2935206898834497,0.2434393713971824,0.4445649155006287,0.2629587625320598,0.2964398922225514,0.2342001478683332,0.0434291300569333
6,0.3018135219337426,0.3618146372722579,0.2808909913610435,0.3108995757032488,0.1918942663790885,0.4528911130034083,0.2732633328369998,0.2765805199783249,0.2721107413984511,0.0643153919522301
153,0.3347171538486259,0.3729967129673323,0.3031662729623579,0.2752415667804497,0.2482065358504676,0.1977994782669596,0.295063844025667,0.3132587596530329,0.2816368039107703,0.0360830508651335
100,0.3230639289081191,0.3777279622823031,0.3364432847632864,0.2505004750512773,0.2007249782083881,0.4807296361814188,0.2331999219820329,0.2657174438140549,0.234363898480482,0.0233783111102265
54,0.3113811442771687,0.345137331447342,0.2992697024704007,0.2962334164964758,0.2226774656583898,0.4396347416738365,0.4772923489938905,0.1761640824215888,0.2813695937523355,0.0352183108490192
11,0.3023896512205759,0.3812423836737583,0.2869569392443076,0.3029201815815748,0.1992358607919203,0.424761242140258,0.3779449921469234,0.1910661400279492,0.2279195009564433,0.0233349726065168
192,0.3424830794141055,0.3641723595023298,0.3072292836939616,0.2765164268193998,0.2677636059710457,0.3669899010708016,0.3265216220300312,0.2646542382748524,0.2167025358174418,0.0664010305618314
78,0.3173567987643402,0.3434568218437517,0.3226790668325807,0.2774809328217166,0.1847952833182101,0.2486534251403563,0.4195574905628774,0.3069906519628173,0.2736629040378873,0.0606280585778016
211,0.3472763263232891,0.3488866846892915,0.2826609639016667,0.3039508436102908,0.2198941588330506,0.4967151084442556,0.4417504839897351,0.1892234970523017,0.1630277020507172,0.0614768128921123
75,0.3168553675478216,0.3885037054438082,0.2713195963461452,0.3082370777645686,0.1974662096724996,0.3605812451883815,0.1728509608591519,0.2539662108751732,0.3082951082940325,0.0328322353974482
336,0.3759430998810754,0.3515723529326059,0.3144962733176804,0.2721158282007827,0.2112200692266933,0.4281642494240311,0.1673510294704287,0.324176746013438,0.16717368060891,0.0779089052212509
125,0.3291181135278291,0.3946605022396532,0.2664654701230713,0.3160236853223961,0.1873713202234257,0.474967667753069,0.3346794079706573,0.2322002983331844,0.1414500913371758,0.0531605446090184
151,0.3346668094452997,0.3898448843405238,0.3110785018183453,0.2838760183556923,0.1880400619201848,0.315469209854577,0.4812812114143867,0.2330680525721596,0.1310360760200996,0.0257649746441591
345,0.3789398158717222,0.3590644834235146,0.280976222459478,0.2964769252543117,0.1786681910115636,0.2531479479337264,0.4186018629253511,0.2183660895028474,0.1953957964861148,0.0260401135097938
337,0.3761133307048762,0.3710077909601951,0.2776878191281896,0.2970701218302458,0.2381560253974581,0.4400538201382934,0.3589826977305204,0.1459302265097806,0.1462578083968957,0.0825082984656613
123,0.3290601395179348,0.3780457443373832,0.3122802723022306,0.266645410723235,0.2601660296556328,0.4607814565390832,0.2318237798548227,0.1596727577788198,0.3140883545880645,0.0768188736463276
148,0.3342083421737775,0.3580473668414612,0.2941638979772278,0.2877230365471486,0.253432957121477,0.2233589961987037,0.4068761224760102,0.2411644843527882,0.2914890297336737,0.0273758409151147
149,0.3342691392499015,0.3167411955048387,0.3399338983271507,0.2560321039158589,0.2307469160909878,0.2761745167026628,0.399807379257775,0.3249657826291644,0.3221538827184151,0.0232718491828945
237,0.353337697480619,0.3128071551072792,0.2909364414398147,0.2983349373541857,0.245457295320913,0.4837745440175757,0.4023270436381925,0.2435128566785458,0.2404340771001187,0.0491395387795099
46,0.3099932381334626,0.3378839936487836,0.292175690495112,0.3049352628240797,0.2092083255961162,0.3808432195693346,0.4935253689320969,0.3185196320481051,0.2266382257277179,0.0308254604685732
51,0.3110641658826603,0.3465389799270646,0.269201497707796,0.3063588708556856,0.2601845999971934,0.3293772106159522,0.4856335662924837,0.2291131299300588,0.2616725463507916,0.0609685967674909
394,0.3978388460317527,0.31013975634391,0.2991836197346966,0.2779319589784983,0.1862823714170398,0.3137184876606932,0.3359428162291368,0.2409403891319264,0.2661505084153557,0.0201253198533695
