,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
68,0.34568502285562064,0.3657914894855002,0.7332083110616593,0.6045047806704031,0.016362679163730295,0.5743154334106721,0.8130790061099913,0.4550213202126375
91,0.46419301059716606,0.7389331785562427,0.39456804614756913,0.7626401931890977,0.777037810364794,0.2134083922590331,0.8244567516963381,0.6909452196119702
154,0.7756859538254062,0.051014365435769204,0.7893543102926286,0.8861657042163092,0.7305868964004903,0.36901358715084137,0.8721317941025073,0.29680625016988943
196,0.9859637268617862,0.33229077215458575,0.4681046618480532,0.5482486227143761,0.9746529398837228,0.9137081065127469,0.1318843148760239,0.42951205020296923
