,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
0,0.38574766028783736,0.2053385908855496,0.30528586668775837,0.3322957433351492,0.2225514717118202,0.0718878160236461,1.1054981173450602,1.199504958930279
1,0.34602053998991045,0.15190358980178695,0.3854116401912866,0.4134406257360962,0.6165190900237149,0.025981138837399928,0.8749819876866797,1.1740207148030635
2,0.2773401766047966,0.21733805268147088,0.33972096721428496,0.26269002467224467,0.3183229990417436,0.03314335573824993,1.0535193626592876,0.783746982075912
3,0.3951724466491876,0.15210082230603586,0.2919665623469273,0.36276973566425924,0.5322072290366104,0.027709175828449253,0.6596318751453659,1.2442439524358415
4,0.21831886806560752,0.22119243803074673,0.35125982177132964,0.38689544769875395,0.4845500019860342,0.017006056170846832,1.086787898566893,0.803818479091784
5,0.2222107426748164,0.21971042821126957,0.3224124736691082,0.44128163432748635,0.616513646084583,0.08209039637106132,0.8217614298792039,0.9818982830087406
6,0.276811826683948,0.19786829630301386,0.3948270317174668,0.2521453082267958,0.5562792550399727,0.08097237357157215,0.9953192971647167,0.7574871581551089
7,0.3151781177048785,0.23127201365271316,0.3259774901797731,0.3285873826995767,0.4068314897169937,0.0442039867274724,0.7475759613853489,0.772805000946915
8,0.3639952419886746,0.23654573074787189,0.2394476738983162,0.40730533996716045,0.2015598266258885,0.02829774214656907,1.092241575125361,1.2451566357075607
9,0.37315227737871415,0.16959179186034246,0.3295828535357648,0.4206532627973021,0.4570951812089982,0.08210327703132977,1.0633411002287232,0.7788225961697449
10,0.2355644780554197,0.2368772400106527,0.24689377275766322,0.4498905871645197,0.5858021943383248,0.017484495851634696,0.9169879971950203,0.8901214429304255
11,0.39645529809470437,0.18304467857743018,0.28253708410993444,0.25280793759191095,0.4486623949221228,0.06950342002886849,0.6802498495243171,0.9764864204162919
12,0.26775312089562536,0.18544911480761173,0.34774280978568506,0.44449578609097923,0.1863574243442705,0.04440719841126668,0.9478813311615909,0.8077704082883125
13,0.2120129367275431,0.1848841290067304,0.3959693915978142,0.3772873385966957,0.2411792645513913,0.05997555462338573,0.9453750180852024,1.0309685039956844
14,0.31518227761861684,0.16350323185142399,0.39194020210147285,0.41859741125912486,0.0974403077774435,0.06636772384323106,1.0380988529234734,1.192961763402964
15,0.32289184110279984,0.22871548440882722,0.25728694038797617,0.42737856570778765,0.2255015141467644,0.021963257471122086,0.9124172179770915,0.7815754174770213
16,0.3552463394924723,0.25506986889713684,0.3079041466810915,0.2500190473129999,0.5851010543254292,0.06284026980535393,0.9989850813427557,1.2328135290433788
17,0.2928386021194332,0.2608399767834364,0.2789136092295138,0.4025280386378195,0.5030869663563926,0.030823932283240395,1.0348795280835628,1.0929918654967812
18,0.2063446818804542,0.19006410903680487,0.39343738704695597,0.4141311160683623,0.526926625480006,0.08284528461652853,0.6306612148923968,1.1415827192992387
19,0.27527593335323686,0.2230345715597878,0.3459890366929099,0.4185593922142036,0.48260167782404095,0.054933684338231856,0.678005837952076,1.0489437593233606
20,0.33225102294040265,0.2787924855382079,0.2123133790811602,0.2705853003930418,0.5654902462238205,0.022327604539584343,0.739285386847511,0.751129838475837
21,0.3105927658842931,0.18146496287114888,0.3960146750165966,0.37112184182521707,0.5225384500575385,0.027791705455289355,0.8360020868794831,0.7483045373685482
22,0.3946695957939334,0.24160822071983168,0.21891182837521284,0.3582618666956379,0.48131185498590345,0.07901314232171229,0.7569951548521034,0.8945150892978457
23,0.23874589316892247,0.23072868558080759,0.2746696478566315,0.4052733333511699,0.3259667552461428,0.07882502930032415,0.6336939514142228,0.9596123507914466
24,0.3290235289885579,0.24720071221044315,0.24653283880873728,0.44775633523909486,0.5210808978266379,0.06775136193527832,0.7441346593054391,1.1426174752884355
