,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mapd_liq_density,mapd_vap_density,mapd_Pvap,mapd_Hvap,mapd_Tc,mapd_rhoc
0,0.3054407607992991,0.3995672175831363,0.2794129941999181,0.301666193304402,0.1856443283435379,0.2231496414796078,0.3506980254106728,0.3208342909883875,0.1842695225036855,0.073236574291776,1.3685446709924756,1.9017820750848864,3.5517682663265884,2.4291486228711032,0.5437804112533391,0.07390715545572549
1,0.3085657281785031,0.3934484199324989,0.312885158296206,0.2794306797079631,0.2211689258436396,0.3655426758760585,0.4727877769172585,0.1724320978311486,0.1862846713799649,0.0792273480750937,0.37062462372080857,2.7969754756419323,4.2750052953344255,0.6678655819559012,0.5437804112533391,0.07390715545572549
5,0.3261655007012475,0.3370797852993841,0.3201553541112943,0.2794298240460106,0.2089174986828837,0.2857928386501334,0.3947233675630913,0.2676072275285133,0.2973625153354386,0.0770848345769293,0.3470195045908503,3.4905559350912068,2.562397016018916,4.797267143684094,0.5437804112533391,0.07390715545572549
8,0.3328259955946153,0.3855712094423045,0.3108972205996301,0.2897231307281782,0.1911545986810648,0.1814530716581185,0.4539091361157877,0.1279583800527564,0.3014018922964068,0.0417450705534759,1.4302654054476394,3.0365180960798996,4.4395290199482815,0.6994251146436479,0.5437804112533391,0.07390715545572549
10,0.3445753533354218,0.3807040859285595,0.2500670385407879,0.3175603567821048,0.2239631467311355,0.3901011656814082,0.232128470254454,0.1544868492659315,0.2614222848859198,0.0594035027600664,0.17801651385787065,3.17969406992961,3.148384243871706,2.497821937813537,0.5437804112533391,0.07390715545572549
11,0.3518949794963807,0.3262089895962247,0.3259617434995778,0.278934445539966,0.1760576121652757,0.4685926051625589,0.453606757582177,0.1600313122733705,0.2509452181658376,0.0734046672084665,0.14881838758007107,3.87791920896423,4.715865992469679,1.4464676349521166,0.5437804112533391,0.07390715545572549
14,0.3569384783863696,0.3661715437300553,0.3350188446344825,0.2548060519628761,0.2676513204344471,0.4712565902031229,0.3712059172951265,0.2162381906592114,0.1521255185758753,0.0390834709606799,0.40570479112282554,1.3731445223550849,2.684609335254644,1.1770987013579461,0.5437804112533391,0.07390715545572549
18,0.3797280593332395,0.3547784529619329,0.2775482869408947,0.2987542833857701,0.23709316586637,0.45182121082236,0.2811927898765513,0.1902642196819019,0.1818328969700312,0.0697862930875697,0.3727767617536515,2.6117737703477513,4.640750493901123,0.9695223267440258,0.5437804112533391,0.07390715545572549
19,0.3803860686233091,0.3276526316483371,0.3143029693249359,0.2770190559090688,0.2226071922555574,0.4720810641121226,0.1776921037987144,0.3187246178700166,0.1898491401062018,0.0401909833591615,0.8487390864216385,3.7971888408230834,1.7187748530471645,1.7802795417989923,0.5437804112533391,0.07390715545572549
22,0.3817172715670968,0.3169502975408108,0.2863422299833966,0.2935300124306558,0.2480852037379271,0.3012021473503925,0.4216779916486442,0.2303321976629459,0.2568893920669948,0.0678770074017392,0.5051922425373178,3.948202501113586,2.4791179409951556,3.4492486181644355,0.5437804112533391,0.07390715545572549
