mode_index,sing_value,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,temperature
0,2813.960661072769,2.1781867251799346e-06,7.538840574028427e-08,-0.0045787029904926085,-0.09154884797697455,0.0,0.0,-0.990894470443324,4.9612106895443145e-06,0.007376949011188766,0.016892840087572115,0.040145991989094125,0.0028779182197411577,0.0,0.0,-0.009418083419922355,0.01475154572330064,-0.08637079033423568
1,600.831531148988,4.538222537465543e-06,-1.3127834741111233e-05,-0.01013419660177456,-0.902303683033074,0.0,0.0,0.11461772272390716,-6.367188391993848e-07,0.010824362499534279,0.024796655241332587,-0.11112639292240307,0.004136978779671205,0.0,0.0,-0.013793047798044418,0.02166285506608778,-0.3985603855116711
2,303.0312435940721,1.2983054327149735e-06,-8.337961426059179e-06,-0.008803411488351794,-0.40326399488165404,2.220446049250313e-16,0.0,-0.04578303484524167,7.163594152982629e-06,-0.016110617432456006,-0.03688023278816468,-0.056299340565769206,-0.006315913973505345,0.0,0.0,0.020571763510187545,-0.0321779232097454,0.910448646381581
3,168.8830343617526,-5.563965204406983e-05,-6.388968286576147e-05,0.32850249302650014,0.05336774383604605,3.469446951953614e-17,0.0,-0.043747848719958585,-0.00013459913018608642,-0.21773214173483005,-0.49843696232085005,-0.5611048085031495,-0.08444265984547301,0.0,0.0,0.27780742785759094,-0.4349193238493097,-0.05636001527159125
4,124.31612651350719,1.0250628403050135e-05,0.00011337136136443243,0.011449867851408327,0.10421224726254782,0.0,-5.551115123125783e-17,-0.029104922267454866,6.834362671773261e-05,0.17326087216601693,0.3966976254255008,-0.7916523379879221,0.06700302254424233,-9.51749873573547e-36,0.0,-0.221104120508057,0.34585538201446847,0.03267187520951825
5,48.524024258633276,-6.451625103840312e-05,-0.00023105744113956737,0.9443269609812761,-0.03371508684280897,0.0,0.0,0.011570172618320908,-0.0003139140164901044,0.07373231795760982,0.16839377479142606,0.2032669830913687,0.029022950721616442,-1.1507014023609127e-33,0.0,-0.09414088258810034,0.14707675838631873,0.023001388681494234
6,0.06865458454548634,0.06860325228448758,0.5065427045877346,-0.0001975195852080662,-7.530575605227408e-05,3.6270899478330065e-15,-2.371540464007893e-14,9.758505243928628e-06,0.18059314157234752,0.09579042868868196,-0.05654316730584038,-7.552984836461246e-05,0.6967800655530209,-1.5627757876841841e-19,0.0,-0.32138560945879224,-0.3239290709279417,1.5105772698066622e-05
7,0.04071229430655483,-0.0905756590423083,0.24151914889213297,0.0005259621430303701,-6.099109531629288e-06,-2.525882064272067e-13,-1.0346443753833645e-13,2.3197358217652564e-07,0.7429057471826176,0.18256158208304218,0.19003049646676093,0.00024159838274143489,-0.5019511176129072,-9.215718466126788e-19,0.0,-0.04558233861717035,-0.2410026364640705,-2.7891640875157137e-05
8,0.026518592636633944,-0.15043229233357053,0.2878408055089174,0.0001360301685235151,2.132376355966359e-05,-7.712770309573069e-14,-9.331381153887541e-14,2.2473589398330773e-06,0.27328317871030344,0.10097378771907814,-0.12758990174823384,-0.00011840554376036858,0.25981462515640746,0.0,0.0,0.696687098185504,0.4903902793420518,1.504876818647638e-05
9,0.020698615973855417,0.09218526784773264,-0.33305289852894404,-7.042855857426061e-05,1.7272006590872413e-05,3.3804610586468664e-15,7.555940465323041e-14,3.307296243981739e-06,0.49016139024532857,-0.2887193597229986,-0.46890648118005207,-0.00015339340821410655,0.10907846082581701,0.0,0.0,-0.40327123546608257,0.40318912325439965,5.870325442879076e-06
10,0.009817109838739537,0.2908871165921585,0.14056892851833383,-7.654568496185364e-05,1.5400899724838518e-05,-3.1025451779627226e-13,-3.9903859703300723e-13,-5.1974778123298204e-06,-0.17769326359207954,0.7329613951516204,-0.486734066869788,-2.3990333266370872e-05,-0.22229446965301422,0.0,0.0,-0.13986814499596537,0.14467125208509665,-8.597385618758224e-06
11,0.006876874645640078,0.047082439835406005,0.6865702049896868,0.00023498035358492791,8.38147061987815e-06,-3.0576003900539654e-14,2.095709885266265e-13,8.418032125812047e-07,-0.23269351827860202,-0.47019621937891615,-0.09563325755400559,9.531343520561425e-05,-0.3476694450941945,-1.1102230246251565e-16,0.0,-0.20163597842632874,0.28371983387916966,-2.495732841889531e-06
