split,kernel_liq_density,mse_liq_density,mapd_liq_density
0,RQ,13164.218705516194,12.348471226776665
1,RQ,37366.84884724652,20.443764035210364
2,RQ,39255.10225751226,17.83592194186569
3,RQ,1511.3481275021845,3.963686558878135
4,RQ,21.646982813826728,0.4018309134658893
5,RQ,5.41748089064893,0.23977307060691785
6,RQ,195.11941152756216,1.4445018673755643
7,RQ,180.20096332103572,1.1441413940855496
8,RQ,92.03910109636762,0.8705167148236409
9,RQ,146.45240378949765,1.2679266439137864
10,RQ,225.77300253315804,1.5745734044683706
11,RQ,294.84638680232564,1.817650657710871
12,RQ,127.21851986872039,1.0257550101536523
13,RQ,31.68709851564531,0.5038102398109665
14,RQ,162.76516910757724,1.175002301732441
15,RQ,226.75922100150396,1.5656885640865141
16,RQ,216.76893691208193,1.5498618844730794
17,RQ,211.74448946462877,1.5117450207430239
18,RQ,30.476366829239804,0.49593474671900994
19,RQ,288.47770653458093,1.453296009983049
20,RQ,8.715251216955846,0.2583984071676648
21,RQ,465.8433342907967,2.2808309324954776
22,RQ,1097.9485240596705,3.450740349404528
23,RQ,254.06837554093173,1.3704089805823558
24,RQ,720.983579632128,2.7023475839660853
