,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature,liq_density,liq_density_unc,surf_tens,surf_tens_unc
0,0.20766331540162405,0.34292250203026264,0.2618677769751711,0.1933617958279989,0.15052206147824104,0.2195524842757794,0.2050720034217099,0.1877780882535728,0.09152526388962758,0.10562567819490998,0.04727487009166447,0.0643861128466806,0.34005332845229164,0.7463386300041893,273.18,998.1328546462274,3.3002423346531553,1.69497,0.18027756377319948
1,0.20766331540162405,0.34292250203026264,0.2618677769751711,0.1933617958279989,0.15052206147824104,0.2195524842757794,0.2050720034217099,0.1877780882535728,0.09152526388962758,0.10562567819490998,0.04727487009166447,0.0643861128466806,0.34005332845229164,0.7463386300041893,293.16,772.5461315229768,9.20890392904537,1.120365,0.16583123951777
2,0.20766331540162405,0.34292250203026264,0.2618677769751711,0.1933617958279989,0.15052206147824104,0.2195524842757794,0.2050720034217099,0.1877780882535728,0.09152526388962758,0.10562567819490998,0.04727487009166447,0.0643861128466806,0.34005332845229164,0.7463386300041893,313.19,,,,
3,0.20766331540162405,0.34292250203026264,0.2618677769751711,0.1933617958279989,0.15052206147824104,0.2195524842757794,0.2050720034217099,0.1877780882535728,0.09152526388962758,0.10562567819490998,0.04727487009166447,0.0643861128466806,0.34005332845229164,0.7463386300041893,333.18,,,,
4,0.20766331540162405,0.34292250203026264,0.2618677769751711,0.1933617958279989,0.15052206147824104,0.2195524842757794,0.2050720034217099,0.1877780882535728,0.09152526388962758,0.10562567819490998,0.04727487009166447,0.0643861128466806,0.34005332845229164,0.7463386300041893,353.19,,,,
5,0.24904913098429407,0.27186414131695036,0.3957614646223324,0.23351034374456997,0.23281126726209989,0.33833956737446547,0.39977137247677097,0.6019838347264174,0.38889175732788267,0.6011668810403331,0.026988318060997794,0.04624729887175044,0.35121795698366365,1.0136422406257763,273.18,997.3835144409034,0.1122719638472671,26.8118,0.2449489742783178
6,0.24904913098429407,0.27186414131695036,0.3957614646223324,0.23351034374456997,0.23281126726209989,0.33833956737446547,0.39977137247677097,0.6019838347264174,0.38889175732788267,0.6011668810403331,0.026988318060997794,0.04624729887175044,0.35121795698366365,1.0136422406257763,293.16,971.3317503076894,0.3013875218238589,24.977850000000004,0.2
7,0.24904913098429407,0.27186414131695036,0.3957614646223324,0.23351034374456997,0.23281126726209989,0.33833956737446547,0.39977137247677097,0.6019838347264174,0.38889175732788267,0.6011668810403331,0.026988318060997794,0.04624729887175044,0.35121795698366365,1.0136422406257763,313.19,944.4248873448668,0.16679509197368772,22.866950000000003,0.23979157616563596
8,0.24904913098429407,0.27186414131695036,0.3957614646223324,0.23351034374456997,0.23281126726209989,0.33833956737446547,0.39977137247677097,0.6019838347264174,0.38889175732788267,0.6011668810403331,0.026988318060997794,0.04624729887175044,0.35121795698366365,1.0136422406257763,333.18,917.6974940004467,0.2114746189672174,20.985400000000002,0.223606797749979
9,0.24904913098429407,0.27186414131695036,0.3957614646223324,0.23351034374456997,0.23281126726209989,0.33833956737446547,0.39977137247677097,0.6019838347264174,0.38889175732788267,0.6011668810403331,0.026988318060997794,0.04624729887175044,0.35121795698366365,1.0136422406257763,353.19,890.9313935314547,0.12843984866129723,17.6537,0.21213203435596426
