,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,mse,mapd
0,0.2364256092380429,0.29329691053580603,0.23191966206266407,0.2704625352631718,0.3027798261574386,0.3611476474233431,0.35303472370203176,0.34508233843287667,0.0305202022485232,0.03808270207021459,1.0758638848119688,0.8221451948026954,51.6013960232284,0.6236059877365223
1,0.2817031398992032,0.30195017931117113,0.23605869436667398,0.2797851523821018,0.2999919024409442,0.314272531609343,0.6052396587676984,0.16581922007896993,0.05334717193854158,0.026532818096506417,1.023713853441167,0.4854619245947604,23.59275203686351,0.4324273119237441
2,0.3013709686931535,0.3354410501061049,0.19183303685186165,0.22434367689057805,0.35123927851679515,0.21748706734189344,0.20160632645973964,0.3987188037984384,0.07669948535968948,0.07638292681353838,0.8198234610260547,0.5909760644964692,31.423802838704876,0.5260538590231265
3,0.3025658634685991,0.31248239844649617,0.1923616727485894,0.15656403114645961,0.3477350357111562,0.33363641207024014,0.13237621000230482,0.20356156893783886,0.01794639029201274,0.05971373217958863,1.2434235653896786,0.417355038984163,89.20692744389807,0.8193871375525548
4,0.3077108619242566,0.2286939798682325,0.22405776571262986,0.1649493928045739,0.3375770770870985,0.3692281636886833,0.28929664473436684,0.12855354888970996,0.04784576135402385,0.0235061724758689,0.8955665510814113,0.7653759776717022,77.5909750361238,0.894079316650689
5,0.3119476082429823,0.33178345523288993,0.22790242123779353,0.2171514022391155,0.2666434900706573,0.2624131677512995,0.1688560368474194,0.361379607339258,0.08303450134012944,0.05395913633440459,0.9283434610125286,0.40141088705775885,69.61322148965982,0.7505800833570602
6,0.31506655326639427,0.35000299773850563,0.2690281828717227,0.1840094470224647,0.2766100204201719,0.3165349164050346,0.5547814594262401,0.3553142372592808,0.04322886254613235,0.023025562117585767,0.8240797023579716,0.8143834488744164,66.72414240554593,0.8564727687594174
7,0.3374416765419066,0.3866039173360236,0.26044178080852715,0.2179646773829143,0.23653337884568051,0.24124454291000214,0.5357532758096872,0.6172668288483996,0.06125203768692218,0.02681215738912885,1.119818589110991,0.4104386669422171,10.552663179657623,0.34696310300931915
8,0.3516574829122473,0.3530105526614161,0.22333624518950473,0.23890646151917316,0.3050278933796804,0.29399328582379836,0.12288030468994923,0.6051524559384472,0.07047480069483399,0.030288489375725813,1.0668456074002084,0.6415196583632238,7.309030851577157,0.20577325065475532
9,0.3563540715837078,0.30427501443184213,0.29167105342240784,0.18886443533146774,0.22569101975338263,0.2927183122947393,0.6026275014125794,0.5560477126409851,0.07526812704925222,0.0465499974759971,1.1963546725117786,0.5999640374427895,16.770935500072607,0.4308976029116692
10,0.3772387513968407,0.31646699475379225,0.19936927892815665,0.28876329613206175,0.2530491852900489,0.2560728588896971,0.24304286157305863,0.6221482144757101,0.018524471809782013,0.05798449086641495,1.103272956931806,0.7999756111628905,8.834906015851796,0.29036158023764375
11,0.3841470307641006,0.3933011776497457,0.16626325940581071,0.24345667087969386,0.25855931850603886,0.240706592586565,0.5602952342753988,0.1026783218923634,0.057843479202588075,0.06941692070236757,1.3205059147526543,0.5154728120099586,45.23825959168455,0.7157109833864554
