,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
0,0.28894099983256366,0.35440764522227536,0.18751225062606885,0.1826551519277796,0.3972304335432034,0.27890273933793075,0.4942208584884131,0.2301928090273742,0.07054380025532099,0.044303738617423774,1.0279936814838535,0.4970619209783685
1,0.30521669247893957,0.32510822082620494,0.2190060013590141,0.28780046861627706,0.34054706172896165,0.38505722072643656,0.47240807563217263,0.3280372596415222,0.06753331767161093,0.034785750345814076,0.7598384927621382,0.4828458780940421
2,0.3077108619242566,0.2286939798682325,0.22405776571262986,0.1649493928045739,0.3375770770870985,0.3692281636886833,0.28929664473436684,0.12855354888970996,0.04784576135402385,0.0235061724758689,0.7413966273020196,0.7653759776717022
3,0.31506655326639427,0.35000299773850563,0.2690281828717227,0.1840094470224647,0.2766100204201719,0.3165349164050346,0.5547814594262401,0.3553142372592808,0.04322886254613235,0.023025562117585767,0.6842071483232678,0.8143834488744164
4,0.3302876373246735,0.38752453549513044,0.2624012180267859,0.19502050646452518,0.2833042310515427,0.2908711413242362,0.5724975248993887,0.5071114713760909,0.07313645041357095,0.042792357943379475,1.0253279334203926,0.8114091311731596
5,0.3374416765419066,0.3866039173360236,0.26044178080852715,0.2179646773829143,0.23653337884568051,0.24124454291000214,0.5357532758096872,0.6172668288483996,0.06125203768692218,0.02681215738912885,0.9207982577256835,0.4104386669422171
6,0.3563540715837078,0.30427501443184213,0.29167105342240784,0.18886443533146774,0.22569101975338263,0.2927183122947393,0.6026275014125794,0.5560477126409851,0.07526812704925222,0.0465499974759971,0.9820271244463133,0.5999640374427895
7,0.3634483000263471,0.3442308282981318,0.27895101378663734,0.15020411845091677,0.21598456752304945,0.2570416499710047,0.5790830181375939,0.5224978622724921,0.06527835731645898,0.07964479865224189,0.9984068115767759,0.6441594013941431
8,0.3800794280550036,0.2508766185857224,0.2174311425651363,0.27675909631361506,0.2578832435148984,0.27982319244086307,0.6004134214123733,0.08464090256690626,0.03932727551443255,0.07742741195621737,0.9131413897313563,0.6837384770870043
9,0.38698246181415685,0.27350121357756163,0.17233502404126802,0.1969606405991159,0.2939262292351884,0.3443430988956411,0.3698655682251273,0.179465635938638,0.07346490208186301,0.06331620306877715,0.865218637437474,0.360286544027653
