sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
0.0,0.0,0.0,0.0,0.8649776788447485,0.391365066087761,0.0,0.3140811999252318
0.0,0.0,0.0,0.0,-0.3413052399604063,0.0,0.0,0.9399525164472775
0.0,0.0,0.0,0.0,-0.367864578718746,0.9202355052083799,0.0,-0.13357494779320353
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
