split,kernel_liq_density,mse_liq_density,mapd_liq_density
0,Matern52,1.468123468345392,0.12681952807867442
1,Matern52,0.2313655348810836,0.05076076813164643
2,Matern52,0.024185709280847477,0.016533542205391393
3,Matern52,0.20434558954813814,0.04840313638771786
4,Matern52,0.2853770268086328,0.05765972999407402
5,Matern52,0.290339094526134,0.05708684764473051
6,Matern52,0.0020827222338669596,0.004873115787653834
7,Matern52,0.19509809263165065,0.04754765004804075
8,Matern52,0.13947927157824927,0.040494464985810524
9,Matern52,0.32126466346798455,0.06195193356424167
10,Matern52,1.660223717342181,0.1364198406808679
11,Matern52,0.6733317166242722,0.08738739250413018
12,Matern52,0.705424386607834,0.09013086536461089
13,Matern52,0.2334886739830437,0.05216538154994133
14,Matern52,0.0332383051165728,0.01982646875510066
15,Matern52,2.3530413549946694,0.1602212762652034
16,Matern52,0.46867383677181473,0.07228184917333964
17,Matern52,0.012265316428881515,0.011813115502145833
18,Matern52,0.9975575084481281,0.10764002139311692
19,Matern52,4.634804702663358,0.23491291921241114
20,Matern52,0.4502264032340812,0.0705396319166988
21,Matern52,0.1057146829741999,0.03439564099600292
22,Matern52,4.249790449979225e-05,0.0006935817914906586
23,Matern52,0.027450513430454133,0.017731514095637353
24,Matern52,0.00091495448625168,0.0032578042288035907
25,Matern52,0.03785481250121906,0.020468283532584272
26,Matern52,0.011398850315331853,0.01133574276916538
27,Matern52,0.024115888779734362,0.016650693733021627
28,Matern52,0.028058450394367777,0.01814759310466922
29,Matern52,0.012620806554957217,0.012295381530501661
30,Matern52,0.7091601793484134,0.08946202787830888
31,Matern52,0.251038827609306,0.05364489951901466
32,Matern52,0.18549932965871588,0.04653374689898368
33,Matern52,0.028332528215527644,0.018337602353482994
34,Matern52,0.033219453385834076,0.020031811670037945
35,Matern52,0.7114898725043416,0.0887428667680963
36,Matern52,0.2851516070764276,0.05651993796435188
37,Matern52,0.00010698119270004762,0.0011026421707128614
38,Matern52,0.22432545403331755,0.05086317741966785
39,Matern52,0.5267635335782288,0.07846233983828291
40,Matern52,0.03744074087911849,0.020464626606813235
41,Matern52,0.09330392549241613,0.03250175121121909
42,Matern52,0.33036154351557595,0.061575393497505376
43,Matern52,0.034452496482403845,0.02000046767566803
44,Matern52,0.1578147319956467,0.0430821413805847
45,Matern52,0.20859207151569725,0.04865997055925855
46,Matern52,0.02155901652167538,0.015750810240335335
47,Matern52,0.09790496049985577,0.033809270232773005
48,Matern52,0.17487704830149248,0.045547950186744526
49,Matern52,0.09864381784230498,0.03445577177334666
50,Matern52,1.2486401453774123,0.11799166350200523
51,Matern52,0.5165386206249281,0.07637157526415358
52,Matern52,0.12051808259336981,0.0371861182076037
53,Matern52,0.021764251066513546,0.01592062528859536
54,Matern52,0.05417523371790226,0.02530458495836008
55,Matern52,0.001166687825822547,0.003617440390376587
56,Matern52,0.009808440554305374,0.010556615391307063
57,Matern52,0.0029665303213661093,0.005843217279623651
58,Matern52,0.0034833332811230787,0.006374546421979432
59,Matern52,1.605671949912057e-05,0.00043582380441309094
60,Matern52,0.00802596445003626,0.009547474280222783
61,Matern52,0.009824491810446576,0.010634077341236088
62,Matern52,0.04364981972779237,0.022562609153902888
63,Matern52,0.011323657169758831,0.011573533638610994
64,Matern52,0.004691278960493457,0.0075010193883688105
65,Matern52,0.09760150166814241,0.03322636964722058
66,Matern52,0.08286930523981027,0.03079020104908403
67,Matern52,0.08828276231976397,0.03194056842930461
