,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens,is_pareto
11,0.33616495051771156,0.3663966649832805,0.2553689003538479,0.2065558368231005,0.23553616444965744,0.30640079590921143,0.24038643688902403,0.32188979381185123,0.07306144237336812,0.07437946600132542,1.0526334820302103,0.8097009394167767,3.704643840543446,0.1779422915407369,1.6579955504126702,0.0027212830957991318,33.45574394449999,17.029448454521106,5.69431,-17.029448454521106,True
13,0.3420429086450484,0.3761769335391658,0.17670783036066598,0.2766326391130591,0.36435514563362714,0.2412508378741525,0.47589675151116817,0.5170436654088257,0.06839085324739427,0.03031624808340007,0.6240062779223027,0.6476344390666695,3.7142548430368683,0.20275447896228047,1.886673115909889,-0.20275447896228044,7.688083472000008,8.188322170305826,2.7284400000000018,8.188322170305828,True
15,0.3545477454559204,0.21721813247276656,0.19678351711988595,0.19883293423708495,0.3702876105944099,0.37885115068023645,0.3882669039842556,0.586476999221801,0.08218570920192886,0.018691072981649137,0.8662858995412468,0.7749588103940948,1.007856343168283,0.09192344134617719,0.8600015905747341,-0.08216732585201947,146.63664063500005,36.19809241822991,12.061060000000001,36.198092418229905,True
17,0.3656392542540049,0.39848306002571776,0.2264461181641261,0.1592100339947204,0.2534214584313764,0.3667091070522599,0.3002199111071384,0.2928507128321707,0.05317085360034425,0.07367976540338017,0.7357893463209279,0.40201345735456784,36.93949118292515,0.6471591932538913,6.024887590862113,-0.6471591932538913,0.11540024749999878,0.8184997852259963,0.27636999999999856,-0.6771026393420301,True
22,0.3800794280550036,0.2508766185857224,0.2174311425651363,0.27675909631361506,0.2578832435148984,0.27982319244086307,0.6004134214123733,0.0846409025669062,0.03932727551443255,0.07742741195621737,0.9131413897313563,0.6837384770870043,28.01852222315182,0.5538387298837326,5.169367783160146,0.5538387298837326,4.018078963000002,4.903341461852784,1.6147799999999997,-4.903341461852785,True
