,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,mapd_liq_density,mapd_surf_tens
13,0.3420429086450484,0.3761769335391658,0.17670783036066598,0.2766326391130591,0.36435514563362714,0.2412508378741525,0.47589675151116817,0.5170436654088257,0.06839085324739427,0.03031624808340007,0.6240062779223027,0.6476344390666695,0.20275447896228047,8.188322170305826
17,0.3656392542540049,0.39848306002571776,0.2264461181641261,0.1592100339947204,0.2534214584313764,0.3667091070522599,0.3002199111071384,0.2928507128321707,0.05317085360034425,0.07367976540338017,0.7357893463209279,0.40201345735456784,0.6471591932538913,0.8184997852259963
22,0.3800794280550036,0.2508766185857224,0.2174311425651363,0.27675909631361506,0.2578832435148984,0.27982319244086307,0.6004134214123733,0.0846409025669062,0.03932727551443255,0.07742741195621737,0.9131413897313563,0.6837384770870043,0.5538387298837326,4.903341461852784
