,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens
0,0.20249470539447745,0.3966999795292917,0.20724445242162065,0.28689681737809036,0.3597293983391757,0.3001988821896483,0.5701514673058259,0.5511936806397577,0.017613681632297404,0.043422239091076675,0.7133530058772511,0.6882801295707502,89.855307222183,0.9510328945748048,8.886485276982944,0.9510328945748048,69.99119714699997,25.03195124493204,8.331079999999998,-25.03195124493204
1,0.21673197478246048,0.33875046991053304,0.22218293234294514,0.2330082196061779,0.3146868209377529,0.39435628830865305,0.5550239464971062,0.25106892740490416,0.07984718172854176,0.01921633998230099,0.9583870310854021,0.39584853111599905,18.282497475436635,0.3818930334352307,3.5435515897157073,-0.2833411930180305,90.90950413749998,28.571400192365292,9.51995,-28.571400192365296
2,0.21916499098556547,0.39731259302063104,0.17567613366389037,0.1547401208093551,0.3944917879895973,0.3866325399888114,0.47259052599050455,0.28541944189343743,0.027244511291945883,0.07913893224952792,0.6251709195658282,0.4898252612696614,4.322442528740013,0.18783291143250627,1.7523179284926982,0.03308175330854307,26.179340237500003,15.29796042723024,5.07781,-15.29796042723024
3,0.26082626770842066,0.31703124929728704,0.21621347380306505,0.2556052182799789,0.2684843872816429,0.3552612309479888,0.09084303757836723,0.5103162363160629,0.0724202776163406,0.04460281672550679,0.7172205388502005,0.45890538496464195,84.70208595617733,0.819791101151448,7.669996439510124,0.5686672682987679,321.86995617749994,53.89157154639014,17.937429999999996,-53.891571546390125
4,0.28894099983256366,0.35440764522227536,0.18751225062606885,0.1826551519277796,0.3972304335432034,0.27890273933793075,0.4942208584884131,0.2301928090273742,0.07054380025532099,0.044303738617423774,1.0279936814838535,0.4970619209783685,64.35910455149585,0.8511108181400251,7.939613073715828,0.8511108181400251,2.0201139145,3.759865957402954,1.2618899999999997,3.583509005947853
5,0.2966979312813627,0.21316834609772203,0.2739962163233053,0.1698491644712332,0.20613618867991151,0.2760593244888748,0.5793330707460249,0.47772793836989896,0.05382853847038645,0.020221099569742836,0.9389551668920773,0.5103781677568008,39.39895764303974,0.588269811177256,5.483715984895116,0.04180033891041324,396.5028656079999,59.776476313206594,19.907980000000002,-59.7764763132066
6,0.298170412753758,0.2821945150725118,0.2075759348420677,0.17660448641228865,0.3712061512143867,0.21617625415128977,0.45081813297595885,0.5453786897415572,0.03982119360538998,0.04706848990437099,0.7831892015866131,0.6607217956376149,57.22514005439971,0.668072556923332,6.193762599452407,-0.668072556923332,153.59181899899997,37.1789862832103,12.365779999999997,-37.1789862832103
7,0.31049469669596447,0.2063222819916382,0.19168628673856572,0.29477164487718277,0.33577870010877786,0.39450152139020345,0.2868072147336955,0.415387156464581,0.018499803888870847,0.0726234631965918,0.7608050246515602,0.803370211005143,41.180016739136526,0.6403279229795061,5.98390792901589,0.640327922979506,22.05893527849998,14.026426881515972,4.664589999999998,-14.026426881515974
8,0.31506655326639427,0.35000299773850563,0.2690281828717227,0.1840094470224647,0.2766100204201719,0.3165349164050346,0.5547814594262401,0.3553142372592808,0.04322886254613235,0.023025562117585763,0.6842071483232678,0.8143834488744164,5.632203218784456,0.2050608424892824,1.9209806356754142,0.1988475386724044,9.717216812999995,9.022194599133531,3.0145199999999988,-9.022194599133531
9,0.32762360112592537,0.2905544302439095,0.24247339196121387,0.26965512427699456,0.25047889105092747,0.3887348223992394,0.21143150406807304,0.12532474727546772,0.06206323768301271,0.0802324248327932,0.7118059441234496,0.7258931540498035,53.32459966132677,0.7249140648713961,6.734614403262117,-0.7249140648713961,54.98213937249998,22.088126970860326,7.35145,-22.088126970860323
