split,kernel_liq_density,mse_liq_density,mapd_liq_density,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,Matern52,278.67540727874695,1.7714484048521126,Matern32,20.77596319331045,18.081865404210912
1,Matern52,71.01375709257059,0.8937297846509086,Matern32,0.33886521562079,2.1244128076216477
2,Matern52,24.397668477573184,0.5047966130235568,Matern32,18.998910219942758,15.152315917480207
3,Matern52,339.4061610720913,1.9213598393290905,Matern32,0.162732875032506,2.47387294655526
4,Matern52,191.52672989029335,1.459918107909897,Matern32,2.8405503047936063,4.24662465109436
5,Matern52,13.443000069424722,0.3531024997873013,Matern32,71.61656644839044,63.23725788093719
6,Matern52,436.09314703262754,2.2418531769496868,Matern32,15.042938828694275,18.002085212225953
7,Matern52,56.90607097352581,0.8009441982919165,Matern32,2.3487730941941405,5.072830058494797
8,Matern52,1.869411963620114,0.1247219698093539,Matern32,76.38159382580892,28.715965628898356
9,Matern52,82.97368224186233,0.9782304414715146,Matern32,99.87835497680352,38.54695330873218
10,Matern52,53.98049706284458,0.7822670692373034,Matern32,37.7372011116432,23.88913722267966
11,Matern52,47.73480066670452,0.740559512743481,Matern32,1.5025614066395614,3.975274992898558
12,Matern52,0.7211174385216997,0.0836786033396597,Matern32,3.4989614847939285,7.762745715533309
13,Matern52,26.221978194586903,0.4479238883636476,Matern32,137.1420643834063,32.5168567705712
14,Matern52,156.78999509701484,1.3525498869909929,Matern32,1.5779653320752014,3.1079129234159857
15,Matern52,0.2495941299484597,0.0466111477357005,Matern32,1.3252645335740307,2.168132055022497
16,Matern52,9.167674328958224,0.2881639139622748,Matern32,84.59631735264841,49.82196412459823
17,Matern52,2.859970244726399,0.1679765674567802,Matern32,0.3555659040176553,1.7353563538238674
18,Matern52,2.503697991730033,0.1664898771668429,Matern32,0.5728221897992999,1.82267547549994
19,Matern52,108.25470466486142,1.1084297756811672,Matern32,541.384487633962,30.79727186188884
20,Matern52,65.52798288669047,0.8236648920162227,Matern32,22.793306024390045,16.600330185775146
21,Matern52,1.342154971280353,0.1181053476012301,Matern32,5.630217171440512,5.51188354593553
22,Matern52,9.789238914602208,0.3310389641959529,Matern32,20.675355049667356,13.667892092537452
23,Matern52,2.3289430426925803,0.1342308237463942,Matern32,0.1978157328471746,0.7089021370617745
24,Matern52,48.290291967424736,0.7442375088003187,Matern32,2.923273035020448,3.854569830881909
