split,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,Matern32,20.775963193310446,18.081865404210912
1,Matern32,0.33886521562079,2.1244128076216473
2,Matern32,18.998910219942754,15.152315917480209
3,Matern32,0.162732875032506,2.4738729465552596
4,Matern32,2.8405503047936063,4.2466246510943595
5,Matern32,71.61656644839044,63.23725788093719
6,Matern32,15.042938828694275,18.002085212225953
7,Matern32,2.3487730941941405,5.072830058494797
8,Matern32,76.38159382580892,28.715965628898353
9,Matern32,99.87835497680351,38.54695330873218
10,Matern32,37.7372011116432,23.88913722267966
11,Matern32,1.5025614066395614,3.975274992898558
12,Matern32,3.4989614847939285,7.762745715533309
13,Matern32,137.1420643834063,32.5168567705712
14,Matern32,1.5779653320752014,3.1079129234159857
15,Matern32,1.3252645335740307,2.168132055022497
16,Matern32,84.59631735264841,49.821964124598225
17,Matern32,0.3555659040176553,1.7353563538238674
18,Matern32,0.5728221897992999,1.8226754754999397
19,Matern32,541.384487633962,30.79727186188884
20,Matern32,22.793306024390045,16.600330185775146
21,Matern32,5.630217171440512,5.51188354593553
22,Matern32,20.675355049667353,13.667892092537453
23,Matern32,0.1978157328471746,0.7089021370617745
24,Matern32,2.923273035020448,3.854569830881909
