split,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,Matern32,0.26358547572221,1.9640017187176304
1,Matern32,0.794126581573507,3.5534502281857003
2,Matern32,2.9798761749560994,6.537927137388371
3,Matern32,0.8981048454125652,4.018947674801961
4,Matern32,0.025485852517666177,0.6739413524405256
5,Matern32,0.23158010195921222,1.9208731359391045
6,Matern32,0.6942316660613476,3.530704489933427
7,Matern32,0.1234190719892702,1.4960078120403337
8,Matern32,0.046551876923852764,0.9190750404573995
9,Matern32,0.4794445498190704,2.9671723746700174
10,Matern32,1.5582557254052993,4.107841470654494
11,Matern32,0.480086241104208,2.3563346473506397
12,Matern32,0.21966000594974683,1.6865417901803275
13,Matern32,0.2765747623096156,1.9457054663583446
14,Matern32,0.05072538104773259,0.8484475915780675
15,Matern32,0.32787996155809646,3.528573183808186
16,Matern32,0.6722602199052435,4.937565008324872
17,Matern32,0.008007593129478357,0.579154461956741
18,Matern32,0.0913414136485711,2.078700210887559
19,Matern32,0.034320792808881534,1.3199578102003635
20,Matern32,0.8354939967577255,2.5108465703340497
21,Matern32,0.1823903550873502,1.2261556103592788
22,Matern32,0.5330606742898466,2.0805835088436164
23,Matern32,0.3294324761739071,1.6736516183803247
24,Matern32,3.42011290186751,5.787824820617367
25,Matern32,0.2185226385572468,3.2791378224196497
26,Matern32,0.2861128678182784,3.9439713125133116
27,Matern32,0.004077893629822036,0.4791637107229774
28,Matern32,0.05325305153826129,1.7807753605193366
29,Matern32,1.1932551956582462,8.466447394858664
30,Matern32,3.398245222076758,7.827159336671318
31,Matern32,0.019644948056236906,0.6518059322887156
32,Matern32,1.9968678807281648,7.151670658545023
33,Matern32,0.005254828719428414,0.3604074766192068
34,Matern32,0.26517803526064115,2.6021663115800413
35,Matern32,0.04445077161411487,0.7039704444336743
36,Matern32,0.4296650154097756,2.269433356274411
37,Matern32,1.3263976216368631,3.891289810556578
38,Matern32,0.008251167072003915,0.32399170693799306
39,Matern32,0.5493848735727588,2.770103913831466
40,Matern32,2.200990724764906,4.8610759141407165
41,Matern32,0.2577879229918206,1.6633001683790443
42,Matern32,2.049223407573934,4.544796407367134
43,Matern32,0.6315143757948486,2.7179563234608173
44,Matern32,0.41992759330602036,2.182415895003566
45,Matern32,0.12347330422982314,1.276255810954535
46,Matern32,3.988626149544362,7.945221254258401
47,Matern32,3.424275746796619,6.741544722485354
48,Matern32,0.03415833590384188,0.7258934800101701
49,Matern32,0.48311613261333486,2.8710328131774747
50,Matern32,1.4429188101892765,4.693513311228898
51,Matern32,0.0004450374449810761,0.0813199930699971
52,Matern32,0.30914450292271073,2.14141480275241
53,Matern32,1.5637955154685208,5.1643038359706
54,Matern32,1.914597744751694,5.4009668568133264
55,Matern32,3.1793498603217767,6.519034032790157
56,Matern32,0.2331763020295447,1.7470895476413562
57,Matern32,0.06194540673040078,0.9078446775826244
58,Matern32,1.1269519224454547,3.788785888390346
59,Matern32,2.0103030612685555,5.128029951538415
60,Matern32,0.5471427666148203,3.2198906695462
61,Matern32,0.7548804226349163,3.8832768972839533
62,Matern32,0.16679907319795848,1.7784192437529858
63,Matern32,0.6837255217913193,3.6132621160911587
64,Matern32,0.000768683771512087,0.1265595473367602
65,Matern32,0.21151676206086556,1.2355221110085792
66,Matern32,0.24931800623533182,1.343058371049115
67,Matern32,0.7502702863427912,2.447728736618674
68,Matern32,0.7124928024102315,2.3444712738374887
69,Matern32,0.1483878803371518,1.1199326514470154
70,Matern32,0.05823322156804876,0.6356474419106838
71,Matern32,0.8041720374481117,2.457540142648698
72,Matern32,2.274796323282318,3.997129296690353
73,Matern32,0.45333038009859433,1.9025471996252437
74,Matern32,0.13999066638478888,1.0678956685215146
75,Matern32,0.1700942960378227,0.8843601587022524
76,Matern32,4.230797051937966,4.307939097002208
77,Matern32,0.17773293059956163,0.9358713433691334
78,Matern32,3.540765937495113,4.3605486726923885
79,Matern32,0.4228293731180148,1.468850066415229
80,Matern32,0.3707853399999264,3.093869417536442
81,Matern32,0.22828716287685924,2.4888218270200775
82,Matern32,0.007538812211991508,0.4717361123570031
83,Matern32,0.31624040090443256,3.2336953678947276
84,Matern32,0.3155734057307215,3.1889961209410824
85,Matern32,0.10461378517196744,0.9552388860730664
86,Matern32,0.04414814143256478,0.6229678344220364
87,Matern32,0.0030276954856999234,0.16622761520969895
88,Matern32,0.005522285387347413,0.22869442569416568
89,Matern32,0.0561886509333199,0.7359833021236901
90,Matern32,0.24610561283864288,1.2859843566142415
91,Matern32,0.032072542938874134,0.47562198707869197
92,Matern32,0.017151641357424214,0.35701869439701267
93,Matern32,0.7797801466178027,2.4964953865399964
94,Matern32,0.45312755129321997,1.88097016658775
95,Matern32,1.743533809102263,1.7001820705876107
96,Matern32,0.43158734780649155,0.8691982546614627
97,Matern32,3.9484651839139655,2.588078002850468
98,Matern32,0.6670046553348977,1.09047197009818
99,Matern32,8.878204232947985,4.169649538109248
100,Matern32,1.1731428783115592,3.740000394774644
101,Matern32,0.09751526667886572,1.0794788665545036
102,Matern32,0.2961707878403547,1.8696496650816814
103,Matern32,0.6159792746673972,2.7271631722831766
104,Matern32,0.5819577792806997,2.8021347576132962
105,Matern32,0.5956254159396691,1.8843641567465879
106,Matern32,0.5647624237113188,1.8080234834172308
107,Matern32,0.0035127060078299836,0.14602438642481483
108,Matern32,3.290740321770017,4.683919273994344
109,Matern32,3.3733952682639208,4.514741838190921
110,Matern32,0.48507072286292985,2.069886361093199
111,Matern32,0.5373644633702449,2.299314877023827
112,Matern32,2.206369088027464,4.520777752200531
113,Matern32,1.2298018646998443,3.49384641310472
114,Matern32,6.979894218773995,9.32045757648064
115,Matern32,0.8223386084212033,1.5804194477734648
116,Matern32,0.2432279663414255,0.8561137952770143
117,Matern32,0.03457236692263869,0.3281617708593178
118,Matern32,0.19458542659309405,0.7956752524981601
119,Matern32,0.34464422543549156,1.0598163534802056
120,Matern32,0.19872050514061584,0.9903125605707226
121,Matern32,0.18357312180643773,0.9641490514972224
122,Matern32,0.08771228089893895,0.6843544303749893
123,Matern32,0.10071065717368563,0.7434952526342545
124,Matern32,0.19225742569494264,1.0424822740449649
