,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
0,0.9568745226669766,0.8655139309951521,0.18612157154877404,0.8438739640500471,0.2884991685754439,0.8906322327730187,0.8449736734771721,0.4058938579080862
1,0.09101465285623977,0.3926603252357814,0.4834848378659034,0.20360787193949612,0.5537256520617294,0.8727746184705868,0.48247725870521024,0.4322325132396276
2,0.505022498582828,0.9860366904039313,0.21688910385279417,0.18005519926159055,0.36892345650882197,0.4341989398307108,0.5869373019786349,0.49478028996019313
3,0.9048215986061321,0.33742555589864315,0.8276689698733736,0.15041416113403575,0.8518538687275449,0.9524294117670025,0.9775156328230326,0.8837624253898633
4,0.21494102987228747,0.9490379892800734,0.7015398393955908,0.803996966380065,0.828152318446989,0.9749813287897396,0.5458497613509913,0.8142276945946928
5,0.618662003477181,0.5355983392300958,0.11745104595065788,0.23576424876817065,0.2518014141652874,0.4112911452631907,0.03954252197468477,0.5522942808931175
6,0.31746113881849825,0.5956433031165356,0.7181936797049292,0.3770090796639639,0.2847037417882725,0.06306184099444635,0.7283848182687089,0.21924900135464775
7,0.1709183094809046,0.20810276914224843,0.2251062605779439,0.0020500415349469486,0.4069747187308507,0.07681001709605834,0.521617748780936,0.3242460599041581
8,0.6127984326640591,0.2538021801908524,0.1779875085094801,0.7095164795303412,0.7801608597447559,0.8339249798132207,0.3666411741869436,0.7934978995926046
9,0.32062961486925246,0.8166889263083077,0.1843419209209585,0.7807746283956273,0.43527525914427506,0.38048041605902033,0.22215140426070362,0.8742727002311953
10,0.6240376825251583,0.6603604715762773,0.7622383675616636,0.5140972375077554,0.5905797155290177,0.8817921414738876,0.31215152862763096,0.07311856081935039
11,0.23294522358921432,0.3038025539365908,0.3748097135665438,0.8706189059594537,0.9126613489159295,0.7972618240039313,0.6683891834510989,0.6612433754007253
12,0.1448740156459912,0.983139073637174,0.44484824852807947,0.28438553948897494,0.45016425882301314,0.17171119634980744,0.14285889876805258,0.5573812994604476
13,0.8606359539571762,0.28827894666501985,0.08704854508855142,0.21158157813330228,0.6782229311148825,0.022404507567520052,0.5961737630836074,0.6054541034300472
14,0.5892446886096159,0.9253329030384628,0.4049741056709228,0.29623511248201123,0.6509473658484137,0.5243161797422871,0.882905481745434,0.13592371861002475
15,0.9349286440515769,0.06685769026066855,0.8060348817095098,0.5524349820858889,0.21137075289724458,0.25386788258651427,0.6040073942600366,0.8231843652472484
16,0.04910296986216427,0.7282696928044377,0.8552593796929459,0.9571333364119444,0.7382996596628958,0.46864237690095606,0.6852398025464623,0.04777760895176443
17,0.9900980262455971,0.31742238665446865,0.032394169354868885,0.93551729738142,0.3562861629089248,0.587096735680736,0.9378667524808187,0.6556090607029086
18,0.7479417692504655,0.5603862021191577,0.0696564232393907,0.4078500156904942,0.3324024259006107,0.6252453090220907,0.5787450037666761,0.010969804263689455
19,0.15161764400000702,0.6914145704785943,0.6568518890857991,0.7501421964576922,0.7433365927039434,0.013008622201603148,0.11898544123893241,0.7047464797236387
20,0.7689354590251233,0.015422678014380459,0.5307991559142081,0.4344379712925371,0.046981104873415676,0.4926040175255519,0.5320265756475586,0.5417036249669547
21,0.6434667025455556,0.3951932457763177,0.9476707998246944,0.9318594957256755,0.6618238690805015,0.6140805530174516,0.32969067290921816,0.6329424158825101
22,0.5461798495578076,0.010923891058541142,0.021350053754989676,0.22943397523737388,0.23043322569234476,0.20598981711001357,0.6806115431667523,0.1173834792351241
23,0.11542182282449634,0.2947667388102306,0.824848555830342,0.49489892213321923,0.08873615661023772,0.2287571511339551,0.20906248332822017,0.982164720908073
24,0.22480507079483478,0.6220480606608257,0.6191699442347639,0.7666106314571635,0.034894623227780544,0.24344714901473402,0.18030829356567693,0.7223080181006138
25,0.10094206298626625,0.2967098695919414,0.7669462460719323,0.2640437365995755,0.577128026258711,0.939801567907705,0.06099167797454063,0.36519964541486916
26,0.9707299546432908,0.8297464517701697,0.25830669958309893,0.00840998401068859,0.3294364150413856,0.13686694090335938,0.6360127091231683,0.018431392639988782
27,0.7756859538254064,0.05101436543576935,0.7893543102926285,0.8861657042163092,0.7305868964004903,0.3690135871508413,0.8721317941025073,0.2968062501698895
28,0.161953328712537,0.6195187716118598,0.43669404269492523,0.2468402263766024,0.3158805725549899,0.28098243650434834,0.3933641589603367,0.2513897633353672
29,0.6856636330621382,0.515535261209046,0.344192438365265,0.8298664882495685,0.011745962782888857,0.7089266186362813,0.23218145137866464,0.5452759773509658
30,0.5031034018787371,0.11373612724807847,0.6927174497501906,0.7267137804336463,0.2494945051607267,0.6530970761824973,0.1943313940558074,0.02168776889192873
31,0.895847237338684,0.0781157310929561,0.3681413802361279,0.9273023917052629,0.12392471110180953,0.07376295204191614,0.22835073858358793,0.10771287150930892
32,0.034592342698487134,0.881236339318165,0.7771047271278537,0.5985015306355475,0.399612267138245,0.3211840952429926,0.3043446050585434,0.2793339667882516
33,0.3843465787709636,0.09959368844442004,0.17046803817299871,0.848653778501633,0.1884679471039657,0.45083602844998966,0.08690038270144099,0.8040642830672964
34,0.017825932938117055,0.9755803876763893,0.4081231299149027,0.3164455922340173,0.2695159614558177,0.5913633761163073,0.2611176323796738,0.05087116609148934
35,0.6566289950478239,0.15814633602586872,0.2096789399991695,0.19240611882969852,0.216212700468089,0.03904580898255162,0.05866881386693528,0.41231939978810317
36,0.8262583421855103,0.9005170663462042,0.24937129241232917,0.5190786489356676,0.6060023151430594,0.5567773918848826,0.2363951360409501,0.9350161441748435
37,0.46530410020654556,0.9357848746657921,0.8111144209547341,0.9180249039239677,0.8017938544469508,0.2740777717877671,0.941202527673596,0.7862115466774081
38,0.1663935239318264,0.5777760048778661,0.2131090983560459,0.6929011453381503,0.7548333038244438,0.6607783994179425,0.8922881506122262,0.6830624068049913
39,0.29225985615866984,0.9313917989074016,0.918092695653008,0.77084679663294,0.7704026832684732,0.008062838513446777,0.7193109192282503,0.34119813352004913
40,0.680035255706257,0.5242600592561897,0.6764366216196928,0.1858733829984998,0.9003971402750182,0.29438309292861214,0.16454095043424197,0.8550606420907674
