Run,Iter,Min Obj,sigma_C1_min,sigma_H1_min,sigma_H2_min,sigma_O1_min,epsilon_C1_min,epsilon_H1_min,epsilon_H2_min,epsilon_O1_min,Min Obj Cum.,sigma_C1_cum,sigma_H1_cum,sigma_H2_cum,sigma_O1_cum,epsilon_C1_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_O1_cum,MeOH-sim_liq_density-sse,MeOH-sim_surf_tens-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,48,4739.959101333796,3.847629437280452,2.005781304271653,0.0,2.9502660861611,53.07897190892808,5.587043132854125,0.0,113.58112113517576,4739.959101333796,3.847629437280452,2.005781304271653,0.0,2.9502660861611,53.07897190892808,5.587043132854125,0.0,113.58112113517576,7.167221051674787,82.31377236804593,231.84422135353088,78.0,702.0,2.5167025798241e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,46,4756.715987807896,3.839721780064327,1.943787120941136,0.0,2.9714855456818907,45.77655616443238,7.584325024656756,0.0,118.17367708660348,4756.715984267506,3.839720982265849,1.943781863551659,0.0,2.97148042616368,45.77673424528486,7.584352821109729,0.0,118.17389198725476,9.630698979868471,118.2135826759908,194.33773469924927,66.0,594.0,2.421768618024053e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
7,5,4799.969015817135,3.86231447882468,1.882516770449301,0.0,2.992102975258575,60.41586899601322,7.541597316965303,0.0,84.60527181299352,4799.969015817135,3.86231447882468,1.882516770449301,0.0,2.992102975258575,60.41586899601322,7.541597316965303,0.0,84.60527181299352,3.494331543012556,151.86592089465773,52.94295954704285,15.0,135.0,2.3549822376362168e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,14,4857.793017366812,3.872675051997045,1.8064231301664928,0.0,2.9623222936731928,66.80249276363972,3.8604024116844777,0.0,103.40509543983794,4857.793017366812,3.872675051997045,1.8064231301664928,0.0,2.9623222936731928,66.80249276363972,3.8604024116844777,0.0,103.40509543983794,4.761809573555541,67.25193262594725,96.54773426055908,30.0,270.0,2.3420026981343688e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,12,5006.563245410917,3.8106087677784695,2.3700189641827234,0.0,2.8903311844747943,48.69250155889178,6.163248168106698,0.0,111.45161261789382,5006.563245410917,3.8106087677784695,2.3700189641827234,0.0,2.8903311844747943,48.69250155889178,6.163248168106698,0.0,111.45161261789382,1.3556613120000152,54.936671173214606,72.44178748130798,22.0,198.0,2.7315921428730683e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,39,5118.748368340721,3.838244566734087,2.339764041901505,0.0,2.813202263787218,43.25617774486675,5.817032932195986,0.0,131.0755564135739,5118.748368340721,3.838244566734087,2.339764041901505,0.0,2.813202263787218,43.25617774486675,5.817032932195986,0.0,131.0755564135739,11.79595428234726,19.110476868450483,191.16432309150696,61.0,549.0,2.706328237593434e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,97,5426.703638021124,3.728538230619424,1.9232277821966128,0.0,3.042159803890625,56.93899010869293,7.173334889404716,0.0,110.0789521848962,5426.703636285468,3.728538003160416,1.9232268799644443,0.0,3.0421606771209,56.93897497529347,7.173332520929611,0.0,110.07893130344084,82.48260179977241,466.2310662915749,350.5158908367157,129.0,1161.0,2.145360173923602e+21,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
