,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
110583,0.29648819286760164,0.8018429431048045,0.7947680784183954,0.13257842045755855,0.45258250001626804,0.7434048997464119,0.7085803231819918,0.37711601622100915,0.7015351103276124,0.4484873468343089
262999,0.18774010598453725,0.8287261785616811,0.3967154481499074,0.4854165543107978,0.9176661331848407,0.5640224151553267,0.5449691987339071,0.9005243717822203,0.6369317392390276,0.055811566767667506
331913,0.044928508066551194,0.9442514881753654,0.5129687511852267,0.4634992791117791,0.09416606397061039,0.7442167566251102,0.4997742425580593,0.36286572388863114,0.5980996223045331,0.9257055558816751
73345,0.4437172584803336,0.9469972222862404,0.5516513450146613,0.39654673225830606,0.3008021379969737,0.5127147805994189,0.27263123987025595,0.5649598535685745,0.6475205214893736,0.030272449805998695
9682,0.8951368164042209,0.8685258420102274,0.4477898623079562,0.40859258226056266,0.7881555323870947,0.9705092317725443,0.19831499623170978,0.2146246598605467,0.06773823388661336,0.13624961226500074
305071,0.21051024511038,0.9620927071414972,0.13377084451582677,0.7563207729459582,0.21349090310910795,0.5499162714516421,0.7108492412803726,0.34610440622217226,0.29458988656765916,0.6125106463952628
75877,0.7963936826413519,0.9251795134194273,0.6856240070870773,0.13526677151080269,0.7296858289936987,0.40920691371016815,0.48494612347407146,0.41626961819682734,0.1187872754495514,0.06481365254111952
309186,0.5240048337782922,0.9126042116901009,0.4047629093581205,0.5113856602496071,0.653506442168761,0.5644407008548262,0.3105993127586165,0.21254375107649837,0.760716238736056,0.31189053895284113
215415,0.11030894027554643,0.8177382372915796,0.09382191084078807,0.7857921317724027,0.19075195122487026,0.6634842587613194,0.26807443130330166,0.12642959419330854,0.9955129103130559,0.738097880869652
249109,0.6987756043614753,0.5159768251501244,0.4259739754721391,0.5504229457217474,0.23881446808120496,0.8119046213931256,0.3197034425244154,0.34829499404860914,0.6868253503748785,0.4873626155462821
216842,0.7663986417019213,0.9747864633044535,0.529655394790834,0.4034859304686171,0.31015936940139893,0.8759644581998569,0.19064713873689568,0.2887094313961061,0.16701075793663345,0.25007397559031735
50493,0.33081918506402963,0.8077681981199591,0.747203596473458,0.18347745718560668,0.691803586371994,0.6559150233101371,0.869939092565986,0.5035415598667075,0.4091168762103963,0.7817468926144124
329975,0.1500534551465611,0.8876600761300316,0.40517347821835575,0.38027252146768425,0.8976893886021726,0.4233439941199346,0.5825551875815799,0.8841002293736178,0.44628636346206635,0.49555753480422593
127201,0.8528833627115773,0.5071219920408352,0.6762991414925235,0.27159476228693025,0.16018570707118007,0.5727809113304536,0.027711472120432346,0.433831968071461,0.9165774453668294,0.3608952757288979
130949,0.3180606643999322,0.9381440026097303,0.5541688390212275,0.4808574764114709,0.3599064691220861,0.9503415312794189,0.2702433481869866,0.6826627586281379,0.6106315125488445,0.19854756548458075
241096,0.3174440349070034,0.8376407203327785,0.44840879149776935,0.4872593274821489,0.8078569492584309,0.759285373165387,0.5100138765972522,0.4643720434226878,0.7365352804761572,0.1422618563587063
127539,0.03295359888576421,0.9474675469057638,0.4478900693450765,0.5424306621682576,0.1426238369339702,0.3146619688490026,0.47828657192030083,0.28169074852401527,0.949332579100125,0.38402329804253477
169783,0.8013983041995352,0.5286498969666784,0.6581333711072961,0.3285470461012721,0.04757682760807786,0.9386248885441211,0.09943123586911026,0.2808429827319875,0.7394566354819592,0.5861567336254274
2429,0.8082370808228019,0.15841232777218184,0.4942037649845328,0.45775210774860525,0.6059280333400162,0.8369453854211795,0.0802310295229223,0.5115004247828273,0.9191895736779425,0.18936629487107434
104120,0.4485945687975191,0.9138767262931292,0.2826691007656693,0.6221942951070527,0.6643785274380166,0.6648735657512519,0.5685191814888779,0.3426950918658765,0.3803838792227276,0.2848052297106941
160284,0.07947064055884429,0.8312016478394358,0.19481191948552237,0.7341811864468115,0.0999904216645,0.4529308929866688,0.5194750736689965,0.2238596521469635,0.8650919987648338,0.135802632666343
150763,0.8153338942395274,0.3265659361121238,0.20191425883864178,0.636724019281213,0.5258494585748351,0.7962261759194356,0.16001172786607726,0.3193483736633025,0.8445805883975591,0.22586561222918672
273652,0.18441724883406,0.929657392897929,0.17623575858384008,0.7980959083062602,0.6445962925085861,0.6781525900634645,0.3730445365404826,0.7578613639622028,0.617878064781676,0.4716198242178903
308770,0.32311540774859493,0.8588257732712056,0.4889276621853571,0.5013706278810213,0.633032524518234,0.8180115429690691,0.8323930702804474,0.2347496810897476,0.4920611782331399,0.6550782072286758
65860,0.6207216358353853,0.5519002963991094,0.331985002206168,0.5652525325833132,0.8689128633227476,0.8094208015814426,0.4004647285893428,0.65975483387489,0.5949340233910724,0.19390277290620772
130952,0.6058821025671411,0.6971230832886459,0.7723335393839397,0.12098751048507668,0.64674789106461,0.8625417640638404,0.35688549185836693,0.4058115833914677,0.6871014033242705,0.04501981233838137
326103,0.3576661270089278,0.9902693265317618,0.7001871141402872,0.05122571674035744,0.6208217063430475,0.47003154690531124,0.40553837065440884,0.7987322084614636,0.2890959145060857,0.3211550079966302
95340,0.07798015806036812,0.8985864673791171,0.67068461533294,0.12936382364799098,0.9890483659601382,0.26378098920831616,0.9602625601941105,0.8216170993651185,0.3722584612573608,0.4116807207494328
181638,0.36602056622866896,0.9820602034550961,0.6515594777636854,0.16819101446318102,0.6703886022488011,0.04579931134196515,0.8496806868347568,0.7418433501768855,0.1979651962183427,0.30765182549019643
49919,0.6678087550055204,0.44407553395014976,0.1870899335113052,0.6117007644576747,0.8334369991445137,0.8324755945872666,0.04271465833930518,0.3628365966374263,0.9697664219032373,0.08458810357328776
169046,0.7083813024501232,0.8099644495100932,0.7937792755808953,0.01363017788324018,0.8832361377835123,0.1435670138494487,0.5687536851979368,0.7412478903716342,0.31966226237563383,0.8672275880660278
5898,0.9069334764839764,0.6020521242554887,0.30849793016856675,0.5408250715965198,0.4618857482103743,0.9209244554320459,0.5931844520795292,0.13193301043636857,0.14843722670238846,0.6601995581484895
264340,0.04854876015001569,0.9440045248602315,0.6889857358153669,0.253261607643064,0.48470555742744054,0.782081373993466,0.4626560648821395,0.5596275625845348,0.8070951567965072,0.4621711515910514
91835,0.37905452927679484,0.9527499415104618,0.37496060540423026,0.6269212328637939,0.6807190153980203,0.9235815608888607,0.2894153060993387,0.5791161035534786,0.5793437181722386,0.35950859347761366
