,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1
56053,0.5312656277720944,0.7391694061336278,0.20631513585519107,0.6731093097105334,0.02423385915224431,0.28537149625907826,0.4411449969100258,0.7772793078646163,0.500678052605801,0.9551153763619589
11155,0.4532256170380565,0.632465156519755,0.4168804415746004,0.6268977512422956,0.4576863459007087,0.6804641491460237,0.885341090080357,0.89327803132401,0.4688218359684967,0.26931029861850736
17194,0.5858430909372072,0.7236694251740373,0.8087749938820792,0.11275859300219687,0.2930018059235959,0.4525093973583295,0.2825930639325484,0.8985689580285487,0.583314329359058,0.2689858547963429
1927,0.42531478811453594,0.7473074746299911,0.037335591049752384,0.7478281210766188,0.7282252979654757,0.20499049799181548,0.9445589730121473,0.1237854638904889,0.7012350515212966,0.6087114704514028
75049,0.6426635255149257,0.5323970554177986,0.3503344358657735,0.4730547621585027,0.9780429777010549,0.34235992806115373,0.6193098385254795,0.71417712721719,0.6563387220607428,0.8196677308521537
34747,0.19574027192445279,0.606940076785763,0.0878236834225947,0.8741905053696906,0.6258987604937717,0.6894719315346469,0.860025491160965,0.5967633290229066,0.8951832851025019,0.801645970565094
87621,0.5455162784040857,0.8300544489854762,0.8378176588579725,0.19824748062275782,0.05680791532143547,0.03171737255002971,0.7408861673903755,0.6193962006033285,0.8855731219147893,0.3044994259692815
30589,0.5234189823275823,0.4839523576242788,0.9392460649477871,0.07670127042578027,0.6164822688334597,0.8349413517493502,0.5929061929801457,0.9888873575151903,0.43018577779739203,0.8941692690133698
1352,0.2968312426619975,0.8508669712743745,0.18592538330242317,0.7222859932821571,0.09599041461760555,0.01993370182849947,0.9632358702092096,0.8551290038991758,0.35989399355375085,0.3475246525170759
2491,0.44382269416187015,0.5323771774155337,0.8843132627106034,0.11750591382905619,0.0027437703601897534,0.6525024142077629,0.4619818869912771,0.7888694292806558,0.8689326101682611,0.22575115371122048
109608,0.18987961541740073,0.7191963433837406,0.9548288505353117,0.0342103573792608,0.580200682219727,0.5125108558606246,0.941863205081157,0.6936183316467461,0.7876934712742164,0.25102425594102545
73551,0.9016985248916632,0.9951800058169699,0.5508145767331383,0.2238232611215938,0.9817907047402893,0.47995003414095033,0.16264207740717593,0.6431559848163498,0.12417221020159322,0.27499768706515926
155383,0.5119491796164396,0.7985217856339188,0.5112413911072622,0.5209785543248707,0.1966274751378754,0.7219117294108567,0.5302019925709387,0.7675277859524511,0.2548845383440914,0.6810585627682547
134235,0.12345508942169615,0.8640003962783854,0.4076430884089446,0.48447454629433284,0.650671134152917,0.5057442098016963,0.3242337834318769,0.8891291419411876,0.7352075372444766,0.8570149278125083
81858,0.9243022982360846,0.9887851188002306,0.7274170864859726,0.08051526848341314,0.011022287261736432,0.23407980364112208,0.23597700748334588,0.6128912740670542,0.23382090620433102,0.401559943288898
112144,0.5823407195340274,0.2741997719624749,0.7677922355088758,0.2518274260094318,0.8660267391947928,0.7725623804609311,0.38042411217398087,0.8029333562777058,0.9909076966586553,0.5868887687712415
127443,0.5957613828724236,0.6389333353942486,0.03618476073252222,0.7816844716215898,0.3237470989218546,0.039145272981416776,0.9785402037889581,0.01246145236861672,0.9447132312697134,0.7182978237843548
