,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
33485,0.3385947319173202,0.10848016197082017,0.6136778154876673,0.01151694529301322,0.4225532719596961,0.12930485442359102,0.9702211431318919,0.7533775321021283,0.20894216249741562,0.13479280658159148,0.456934577770517,0.03647242022574631
38153,0.2976058400558573,0.04506729667453904,0.5139848204330549,0.576697646688886,0.0391641952786395,0.6408976549719142,0.27139767781366847,0.16072854380938806,0.8093462664728501,0.19354663970939126,0.4119592762244217,0.7226801213060541
9845,0.5976286468101373,0.054680257044534414,0.14550343539826102,0.8668986818309871,0.7694610072625665,0.03743996912127608,0.6902968430747998,0.8686415541873033,0.05940211365726099,0.058543678827793696,0.5849667608230249,0.7687829445353934
10400,0.37569942068392737,0.9170462701046908,0.6894936494153557,0.6717033907885837,0.47831591325321626,0.5345781943478237,0.9811716919138207,0.9682705338304041,0.13152910624179573,0.09217903902641561,0.33532286153353763,0.6497174864472557
6649,0.13197492094092894,0.5310842596099501,0.3773079869455679,0.29883431926288867,0.8321952379835815,0.022146476364883688,0.7185134443413078,0.8440979114663486,0.7099825576372678,0.7766813413576782,0.13558609111115866,0.6418690411949235
34318,0.655803674377155,0.9331932114852608,0.3351195888622315,0.8408178213197307,0.9293753569057478,0.3934954495616294,0.8338368130663655,0.9871639621339304,0.01673963305422789,0.6804639060104237,0.7886512561658171,0.2275932887771078
36409,0.020139816731266344,0.03863915271067914,0.566176097393966,0.1166152219630399,0.11404422897454901,0.862173938183838,0.9326649761618097,0.5688266072276639,0.6861064391907016,0.1651337601632422,0.07399224773947022,0.01828094460570075
3691,0.6130563732954534,0.47214777980473654,0.8320853991617161,0.1289040521748627,0.1884640984391256,0.5792400490844172,0.6145722924156897,0.9631528429639897,0.7079987350169437,0.24019843350911352,0.13084968945005465,0.521513004056974
40199,0.934720235055633,0.10200876514951969,0.10213370686495708,0.9276975698745334,0.25288192873269266,0.2414799488163752,0.6908334383568812,0.030351046639174237,0.8434658719233914,0.42367079346665065,0.25657452796454977,0.998801293043549
18622,0.06336617545277387,0.44723174876078653,0.08419807252433205,0.9262719256816125,0.962693881986374,0.8549360919319026,0.0417084183338198,0.46606968845538727,0.8702257871436498,0.2645962288103688,0.9616201992695006,0.19389717260507378
15459,0.9693233729885523,0.9634597520442427,0.24430324674182594,0.7297275693533399,0.6943063220198618,0.9114340129141427,0.9166247416756745,0.9339991804722597,0.36824665948569085,0.33704326778089755,0.954037505538323,0.8005369729614362
10472,0.8616080308318121,0.6804952522666529,0.2324084487609798,0.8053879903407563,0.3276590364272126,0.0853104006230018,0.7528968481667687,0.12827249152512107,0.04808712947137325,0.8503093544803103,0.186034910198978,0.9782620073585637
1250,0.9859383185014197,0.13860517633551167,0.7046757291778458,0.4240188643717867,0.0010010413385353675,0.532230565022936,0.9391847743739093,0.36138144238501996,0.2992013684690472,0.46179956135475186,0.12628527715526705,0.022855667821940054
41063,0.5211891008021386,0.3335760288601976,0.7182326183345515,0.5826824620628545,0.013739980495224728,0.4467010996494353,0.6407589880402336,0.16470238918095498,0.051344251165019714,0.9831878348465004,0.3903693068583732,0.45014147616109385
42003,0.883518445257639,0.03057782709630123,0.024120467223038285,0.6705180836287781,0.5553505128250649,0.5544124172420177,0.9234501374999953,0.5393750667478532,0.4205020273370139,0.5471734361174063,0.8036336782740571,0.14175796059164178
44420,0.5350535902039711,0.08562040773470368,0.021160212768100973,0.83988047295947,0.98219832047661,0.18500624322410886,0.7295859397388573,0.769576959062361,0.5334582672800506,0.8698118006518326,0.03835536094234263,0.9869316744001995
6560,0.07913874260790224,0.8499890237177585,0.5911335777087637,0.05687348225116726,0.4121360043063362,0.8545982612634502,0.9028173987352005,0.4227220936740296,0.9786815437197992,0.5616032049251765,0.41132512295716256,0.25202209927890123
17723,0.21321854049367162,0.45029804591292716,0.7571619772430285,0.38273925355261296,0.03196038899742018,0.6140881103581339,0.9982713948503394,0.9371616700670411,0.9043906179562216,0.5472769954075485,0.9605320743041192,0.2175721849856658
22598,0.6448012793331305,0.6918333036350641,0.34136259544983105,0.004245330404904231,0.9014922298023629,0.7437399529102118,0.6759417790249318,0.8661859213125429,0.28302738943965405,0.017960993547838842,0.02395508518368781,0.9768315599431818
22795,0.9437253694342059,0.26791778782408227,0.19893122418992212,0.3289560605750555,0.4205619025766574,0.00989791302760592,0.5345125696160304,0.9539014499471288,0.6350641405578779,0.8024018458927866,0.9719238296049705,0.00627442692460424
13968,0.08144580875968727,0.2672528060684173,0.7529150262773497,0.9030700686755223,0.16415193162501537,0.9597666215634512,0.9957662880220192,0.9993336644306186,0.8543315027311267,0.8354265608269577,0.6221720750647532,0.7993812925633758
28319,0.91460610149415,0.7059614145738345,0.7304320531282071,0.9143815479890858,0.3264130553743051,0.8620165146698201,0.7825188690287709,0.7603791765654424,0.8729385992266718,0.23309942922582247,0.02503751576072823,0.7296448331054073
27753,0.6807102509731658,0.08628341176170581,0.5994003000076273,0.5347927439916411,0.29660016339944223,0.9055721219229352,0.4121475160106,0.9806294117004066,0.4980699697338472,0.060871258639431866,0.3300632935914257,0.07469969561808688
44872,0.5716364324422986,0.654698227668336,0.6029229706865331,0.10203233875953806,0.45985163020815417,0.638459652135126,0.6780622591056735,0.29968963512180213,0.14220399021554775,0.3546156933760448,0.1588833527107827,0.10460441478286792
22810,0.6495304862135061,0.9722714168853154,0.17466817940123333,0.828988622270011,0.8335000432662317,0.025540184453616898,0.8194451116502212,0.6126764935366663,0.834288162230606,0.9329027704584908,0.007774458954122569,0.2965458155797246
