mode_index,sing_value,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
0,214.94166117790186,-0.6460689690490798,0.6076470347124785,-1.4359162725875384e-08,-0.3603364475710502,-0.2126891831274477,-0.09778207849894607,-0.06375928993890843,-0.15701701321945494
1,92.12084740169881,0.19536053395997913,0.7108443096551422,3.025997428878528e-08,0.43133364187506024,0.38276191370942136,0.1759716013994369,0.1147430257884424,0.2825725916218768
2,41.87649442583598,-0.7346604933628323,-0.35026577290746247,3.936676435734726e-08,0.36217033370863866,0.3343741959081968,0.15372573390020977,0.10023765705053815,0.24685057253204334
3,20.587531900594993,0.06857921328368101,-0.05271941734850884,3.07900620149709e-08,-0.7436004191230952,0.48794778759658414,0.22432993951777297,0.14627529753434879,0.3602256839351836
4,1.0542561770981562e-05,5.0737871547917763e-08,8.829968765846342e-08,0.024483620651890203,-6.001012605546463e-08,-0.21959801548097918,-0.19908219021422502,0.9541425803945768,0.03399237758765662
5,1.4914672391947167e-06,-5.401794743068504e-09,4.114666404024617e-09,0.7225397175373678,-2.6804040267377688e-09,0.07643920174019414,0.49579841283692877,0.11890937521103226,-0.4605843020920796
6,9.497449392139698e-07,-1.8102662572800818e-08,2.943087880005671e-09,-0.661748713339794,1.005551636501831e-08,-0.11244110934155384,0.6570786134228513,0.13936986412879862,-0.3134794635668998
7,6.275404735948117e-07,1.159548848403753e-08,-2.8207527804279913e-09,0.19855867972445684,2.3768428668889663e-09,-0.6258180561861448,0.41026217074979154,-0.08586779464546786,0.6270868236152537
