sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
0.05564507135894164,0.006439043963897849,0.6930910726464271,0.048578169587912993,0.30787092045243686,-0.315204836846738,-0.4887748118292173,-0.14914919806244512,-0.11471675897288469,-0.00531562080130741,-0.1172841987373778,-0.17860130045220948
0.7799734756973424,0.3011801494190905,0.11932683333230348,-0.007713877371634928,0.2819483886540154,0.4300718789491347,0.13590797541078423,0.018213355594410764,0.05423192868861771,0.006656330186778635,-7.707960716364777e-05,0.019714562015762743
-0.5066627841027913,0.24051007515866812,0.5272914537154988,-0.009434347066459837,0.13907808306857408,0.33818121565055553,0.5156578626852958,0.04491885101825157,0.06113610621021077,0.009834457284863275,0.011581296043706684,0.041521007945824216
0.005319821995462317,0.8049202604316726,-0.12000488975110747,-0.05376324504931384,-0.20638788644106554,-0.4173324409525883,0.1250994382376079,-0.29006367121151333,-0.08558282663702743,-0.0071739146786303064,-0.016705679500396257,-0.10285582150975932
-0.32514986620795483,0.17717212723859824,-0.44448587758738894,-0.04217297215885106,0.6954183126620224,0.22643683208086499,-0.256263471522753,-0.21480743315839057,0.00427874547912868,-0.004743252646718313,-0.08313550743326988,-0.09947642680114098
-0.13630288091049544,0.22244832523476862,0.08478457186307602,-0.08210540549289386,-0.49832524782604115,0.5666217979298676,-0.559991469734032,-0.11265427126553945,0.09502054859706617,-0.014803973806783726,0.0850023059737676,-0.07658554812860985
-0.06228908090183962,0.2858951996221899,0.016960715378064338,-0.2649052014365553,0.12475384609157866,-0.1817136651014472,-0.2608305450084294,0.6334030354232305,0.29361642869048793,-0.03170597056659368,0.04746590378695216,0.48645383042821017
0.02472512440393578,-0.09635508114322582,0.06864986641166558,0.11743226367251286,0.01903162836824613,-0.04780294450391954,-0.015481175381509518,-0.6141610790606249,0.3159557983800909,0.032761317021586515,0.12457998378812928,0.6892741550806664
-0.04232519461766262,0.15631690399254225,-0.05014848233396376,0.9328513507070438,0.0018297608134307103,-0.011512534736388226,-0.0796939388888248,0.21370370766715918,0.2122218697581099,-0.016339408689885794,0.03811707033048648,-0.04618220710260758
0.01876103190526041,-0.04810477135916847,0.025116123709128538,-0.12630407090105497,0.10691544489803884,-0.12336682037330929,0.03118585953954935,-0.042648431985048134,0.4217722997076323,-0.016988694337623424,0.7959681405215745,-0.37358120413623314
0.02849750007433678,-0.06602316031160946,-0.003207228059794015,-0.12620133728590163,-0.06698021957045479,-0.06430210148639534,0.0733236527938063,-0.07035962932173981,0.7444787612000593,0.04391952923897413,-0.5635393850797211,-0.29358071448620837
-0.007864337048645358,0.02248658054285343,-0.005987975586035556,0.005006620261222037,0.0009551020264785917,-0.005063535787146066,-0.02901054881070352,0.04003821313838496,-0.023925147772841843,0.9974840902155436,0.036418200499945756,-0.005210899664851933
