sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
0.5727135451466377,0.22996644246130496,0.2597954790472548,0.12737712595528147,0.42259816356106855,0.4152395304368624,0.32169293938408794,0.15383153338351258,0.1246276221148865,0.09944034336712532,0.13127418577675992,0.12074396907339453
-0.02584457264574591,-0.010377583608650437,-0.011723664281452389,-0.005748086451924453,-0.019070381558231132,-0.04829932277032781,-0.2047860978864585,-0.006941880691833124,-0.005624011188368799,-0.004487395661052964,-0.00592395183613391,0.9768751097075756
-0.3641939187247642,-0.146237821774973,-0.1652063875811292,-0.0810003111470027,-0.2687341444142253,0.5974203659326118,0.5823029027744429,-0.09782291818656112,-0.07925187425091126,-0.06323504486923301,-0.08347847600522869,0.13076610343534661
0.031394427135889864,0.012606064159692136,0.014241201704958299,0.006982426431268296,0.02316555230350597,-0.6843480212227154,0.7179830334230195,0.008432578799968157,0.0068317089966993105,0.005451023099830178,0.007196060980043419,0.11847421727342762
0.2866327110504493,-0.22232068571427924,-0.21456764929514255,-0.12251140135129297,-0.34400981273617326,-2.3753736785852698e-09,-1.4893677516360808e-08,-0.1297723961368223,-0.01929479694195045,0.2286358221005148,0.7871064906858677,3.4247763974939553e-09
-0.18079406128596007,-0.08331060361882697,0.0797448618397032,-0.27564499046780566,0.18155051303700476,2.0542790985483896e-09,-1.2692028771404088e-09,0.036393031926133156,-0.11159596039113578,0.8981125103386487,-0.15712627345348984,-3.0664018800247387e-09
-0.637140450066964,0.19180275554477286,0.22308524391299975,-0.0005310571169076843,0.3555348722730018,-4.323343500681156e-10,-1.7460729316331932e-09,0.13123601080468414,0.22497400789766356,-0.08283125997960793,0.5535288465717579,-1.6596733116673306e-09
-0.039508998829335375,0.37024762507189535,-0.2525148313769837,0.31255591570504704,-0.29666517661635916,-1.184428738715021e-09,-5.638587827528033e-10,-0.09139493144994866,0.7170077065250978,0.2783951357818272,-0.10924116109616656,-7.630336425326301e-11
-0.05838225216057915,0.6189276182689978,-0.46394627256159343,0.22128653828894362,0.09282788104016022,-9.427230941334301e-11,-5.804521468001301e-10,-0.04225060857108903,-0.56737599865776,0.08457000849909195,0.09917913344733126,-6.187972989276631e-10
-0.10889663618300045,-0.3174599489417136,0.2672749360060458,0.8383469127618487,-0.13040077510314635,-8.109409592805738e-10,5.310558006458325e-10,0.103130931354196,-0.2184756492464468,0.18664281401810467,0.05377513741363207,1.0301392088976036e-10
0.004127460289273127,0.45659181895097556,0.6210140259210761,-0.17875465225213633,-0.5776369340344549,3.966396423321958e-10,-2.0844403344392165e-10,0.09413164763960698,-0.1737910759708822,0.027970135825296043,0.01960529553055843,-1.749796381891172e-10
0.008409183720998439,-0.053817077959814295,-0.2580758833683122,-0.06859323610086769,-0.15260410166853156,-2.2921373776518725e-11,1.47322362878016e-10,0.9495388966804313,0.026814552388778678,-0.006917539113287336,-0.0067685605224227915,-3.7256859013575163e-11
