sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
2.0565539144131924,3.7724241865651935,1.8921728100923385,1.5460925365089495,0.0,0.0,3.296173757092504,3.3102474944208007,31.23254418830708,46.177570728188726,7.789041805285048,5.480193580793947,0.0,0.0,106.22435453810958,99.18671182404398
2.795892266759412,3.060056555925267,1.5430744262150176,2.410932353629984,0.0,0.0,3.530029254810587,3.0614932648047177,43.47503022699729,65.69038459853604,8.225775043475313,9.197971206309912,0.0,0.0,129.9575697843768,118.68457660510964
2.060041645648925,3.636336474595341,1.564890446843106,2.787240864045104,0.0,0.0,3.2337726156802686,3.557373777974275,19.14642649487001,73.71139763386498,6.377520917851852,4.738753915717235,0.0,0.0,127.03253502096037,125.24523426373064
