,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature,liq_density,liq_density_unc
0,0.20069559066731038,0.3896391893274457,0.38473933100265034,0.23882479741643314,0.1525513956248575,0.20583219634074645,0.3950309429457521,0.3530167258217408,0.3636860367504337,0.6132371492491451,0.07090342209372436,0.04195402493569424,0.5922762716914527,1.0640786037133385,273.18,920.5684365658034,0.5698563244703125
1,0.20069559066731038,0.3896391893274457,0.38473933100265034,0.23882479741643314,0.1525513956248575,0.20583219634074645,0.3950309429457521,0.3530167258217408,0.3636860367504337,0.6132371492491451,0.07090342209372436,0.04195402493569424,0.5922762716914527,1.0640786037133385,293.16,895.0207136383727,0.5658282595440309
2,0.20069559066731038,0.3896391893274457,0.38473933100265034,0.23882479741643314,0.1525513956248575,0.20583219634074645,0.3950309429457521,0.3530167258217408,0.3636860367504337,0.6132371492491451,0.07090342209372436,0.04195402493569424,0.5922762716914527,1.0640786037133385,313.19,869.4632649625696,0.29865565384327464
3,0.20069559066731038,0.3896391893274457,0.38473933100265034,0.23882479741643314,0.1525513956248575,0.20583219634074645,0.3950309429457521,0.3530167258217408,0.3636860367504337,0.6132371492491451,0.07090342209372436,0.04195402493569424,0.5922762716914527,1.0640786037133385,333.18,844.9423886939364,0.7610386871997364
4,0.20069559066731038,0.3896391893274457,0.38473933100265034,0.23882479741643314,0.1525513956248575,0.20583219634074645,0.3950309429457521,0.3530167258217408,0.3636860367504337,0.6132371492491451,0.07090342209372436,0.04195402493569424,0.5922762716914527,1.0640786037133385,353.19,815.3118284912598,0.9468689681939211
5,0.20073966018909178,0.2800343492209112,0.3585593068764374,0.1580305999515154,0.2711723963210405,0.3592390007593494,0.372146253289461,0.09837490530701536,0.34972359384067714,0.4775564560191869,0.07300292229654894,0.08224193330715301,0.6259560777943001,0.7150389811230439,273.18,1051.0983547010883,0.4559072989564804
6,0.20073966018909178,0.2800343492209112,0.3585593068764374,0.1580305999515154,0.2711723963210405,0.3592390007593494,0.372146253289461,0.09837490530701536,0.34972359384067714,0.4775564560191869,0.07300292229654894,0.08224193330715301,0.6259560777943001,0.7150389811230439,293.16,1023.1514556530904,1.2319374911339454
7,0.20073966018909178,0.2800343492209112,0.3585593068764374,0.1580305999515154,0.2711723963210405,0.3592390007593494,0.372146253289461,0.09837490530701536,0.34972359384067714,0.4775564560191869,0.07300292229654894,0.08224193330715301,0.6259560777943001,0.7150389811230439,313.19,991.6250702111734,1.0577501775065428
8,0.20073966018909178,0.2800343492209112,0.3585593068764374,0.1580305999515154,0.2711723963210405,0.3592390007593494,0.372146253289461,0.09837490530701536,0.34972359384067714,0.4775564560191869,0.07300292229654894,0.08224193330715301,0.6259560777943001,0.7150389811230439,333.18,961.1570317673712,1.123792938889513
9,0.20073966018909178,0.2800343492209112,0.3585593068764374,0.1580305999515154,0.2711723963210405,0.3592390007593494,0.372146253289461,0.09837490530701536,0.34972359384067714,0.4775564560191869,0.07300292229654894,0.08224193330715301,0.6259560777943001,0.7150389811230439,353.19,928.9163363219166,0.6740683696515191
10,0.20169768753204423,0.39413175877732004,0.3697408755982594,0.15456615794480982,0.28846532329281227,0.20641988892607124,0.3882636271375485,0.46621271482569615,0.43215145719583514,0.34456235262977214,0.048822742890655954,0.05376641197659948,0.39128759709646804,0.7198988831044443,273.18,1012.0629579711084,0.12846318798040574
11,0.20169768753204423,0.39413175877732004,0.3697408755982594,0.15456615794480982,0.28846532329281227,0.20641988892607124,0.3882636271375485,0.46621271482569615,0.43215145719583514,0.34456235262977214,0.048822742890655954,0.05376641197659948,0.39128759709646804,0.7198988831044443,293.16,985.6721911333123,0.23171644307058029
12,0.20169768753204423,0.39413175877732004,0.3697408755982594,0.15456615794480982,0.28846532329281227,0.20641988892607124,0.3882636271375485,0.46621271482569615,0.43215145719583514,0.34456235262977214,0.048822742890655954,0.05376641197659948,0.39128759709646804,0.7198988831044443,313.19,959.1863041404532,0.8388745808029313
13,0.20169768753204423,0.39413175877732004,0.3697408755982594,0.15456615794480982,0.28846532329281227,0.20641988892607124,0.3882636271375485,0.46621271482569615,0.43215145719583514,0.34456235262977214,0.048822742890655954,0.05376641197659948,0.39128759709646804,0.7198988831044443,333.18,929.3460169399037,0.5975255971675333
14,0.20169768753204423,0.39413175877732004,0.3697408755982594,0.15456615794480982,0.28846532329281227,0.20641988892607124,0.3882636271375485,0.46621271482569615,0.43215145719583514,0.34456235262977214,0.048822742890655954,0.05376641197659948,0.39128759709646804,0.7198988831044443,353.19,901.1006103173964,0.7039734830593143
15,0.2027087272647266,0.38571466933044674,0.2626576554115246,0.2378750630224064,0.19284784140819833,0.28305923053538184,0.32634511632587804,0.43209747659140496,0.4375698286752158,0.3345574642310534,0.01999186487546178,0.028562111525091576,0.5276633246386894,1.0562183518235826,273.18,989.8434970250181,0.8760773233262936
16,0.2027087272647266,0.38571466933044674,0.2626576554115246,0.2378750630224064,0.19284784140819833,0.28305923053538184,0.32634511632587804,0.43209747659140496,0.4375698286752158,0.3345574642310534,0.01999186487546178,0.028562111525091576,0.5276633246386894,1.0562183518235826,293.16,950.4258035555309,0.5365344746103257
