,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,temperature
0,0.506196392583976,0.9124353367094672,0.8441949085054792,0.9789208039692523,0.0,0.0,0.3146947197411253,0.7029681181724045,0.1527564136230144,0.18856460078721554,0.9680784855242122,0.25333811148271823,0.0,0.0,0.462513346524514,0.9890120528129345,0.5000001525878901
1,0.8153600171085494,0.6386079105106021,0.6905070716847844,0.5565976890994672,0.0,0.0,0.4349836162904318,0.10106516318967156,0.5487726207439042,0.2642875989711875,0.8260025420085778,0.9415683567500108,0.0,0.0,0.7453039008428353,0.12865731012453865,0.7500001525878901
2,0.4544648748250367,0.7509105680337762,0.03538070142889094,0.01949353578779086,0.0,0.0,0.48075422417535,0.15044860638191077,0.7047786312285999,0.2683379029301768,0.1540375269347578,0.44265233646555335,0.0,0.0,0.17414360443504223,0.04256485359259304,0.5000001525878901
3,0.36919301059716625,0.8689331785562425,0.7945680461475693,0.14264019318909768,0.0,0.0,0.09445675169633823,0.11594521961197023,0.6709776430920136,0.8571895004920322,0.3593112894607873,0.47229044344837817,0.0,0.0,0.7956806830620654,0.0630497730028939,0.7500001525878901
4,0.2427984326640591,0.9638021801908524,0.26798750850948017,0.8045164795303411,0.0,0.0,0.036641174186943515,0.11349789959260463,0.1806296148692524,0.1366889263083077,0.8093419209209585,0.02077462839562718,0.0,0.0,0.16215140426070368,0.6442727002311953,0.5000001525878901
5,0.9294359418690977,0.25644256616478084,0.8452844226496224,0.5668588555088477,0.0,0.0,0.7605417519069778,0.2556134276075818,0.5368556605663268,0.7078526343100832,0.1214752602966759,0.46878041419581584,0.0,0.0,0.7023004880781148,0.4486996259572996,1.00000015258789
6,0.26047798496781366,0.2505628792643615,0.5281999170258278,0.6765339101868671,0.0,0.0,0.043251978935078546,0.44517422155175695,0.38329269269696936,0.5121066678114385,0.5202744875559416,0.12351203064607977,0.0,0.0,0.6363333474098923,0.4509665614589433,0.5000001525878901
7,0.8112487087615352,0.313280809374928,0.7037149579913617,0.8528118930513716,0.0,0.0,0.49779333902478284,0.6218008837205917,0.7593214274750827,0.1443098105597052,0.4591313929374336,0.9285833429732088,0.0,0.0,0.22908130440859414,0.02917476080311408,1.525878900565658e-07
8,0.31661811379771687,0.7922643359981987,0.6669104357905777,0.06449809653798026,0.0,0.0,0.36023884030788533,0.5959143402896082,0.0017963682069475967,0.45740590710588097,0.7099243391163119,0.385546418662273,0.0,0.0,0.5515346413078077,0.9259392800952706,0.7500001525878901
9,0.04993090538841325,0.9200151017577395,0.5484351400677103,0.6674510508139747,0.0,0.0,0.9279884826066569,0.7710510046458318,0.2898049879951652,0.5908134803944405,0.3500486630616864,0.3272041889095083,0.0,0.0,0.06908524497630693,0.6983833213639681,1.00000015258789
