,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature,liq_density,liq_density_unc,surf_tens,surf_tens_unc
0,0.20399489304712093,0.15588459773360197,0.0,0.3436572084730172,0.5379517145886181,0.06958553280989263,0.0,0.9074940173633292,378.15,1061.4337322200026,0.10832908457983119,34.111200000000004,0.229128784747792
1,0.20399489304712093,0.15588459773360197,0.0,0.3436572084730172,0.5379517145886181,0.06958553280989263,0.0,0.9074940173633292,383.15,1054.1515454853215,0.13302481138421463,35.00145,0.13601470508735444
2,0.20399489304712093,0.15588459773360197,0.0,0.3436572084730172,0.5379517145886181,0.06958553280989263,0.0,0.9074940173633292,393.15,1040.1222938558951,0.0922035341832182,33.77425,0.14404860290887933
3,0.20399489304712093,0.15588459773360197,0.0,0.3436572084730172,0.5379517145886181,0.06958553280989263,0.0,0.9074940173633292,403.15,1025.7035616661537,0.12725742154326242,32.4,0.2
4,0.20399489304712093,0.15588459773360197,0.0,0.3436572084730172,0.5379517145886181,0.06958553280989263,0.0,0.9074940173633292,413.15,1010.9523391815148,0.32910889159160445,29.6902,0.19364916731037085
5,0.20416762140009193,0.2438689952379759,0.0,0.28961148064878267,0.10020142058620242,0.04302101568498978,0.0,1.0945294583887863,378.15,1066.7805868863393,0.6067774589175686,21.2423,0.2872281323269014
6,0.20416762140009193,0.2438689952379759,0.0,0.28961148064878267,0.10020142058620242,0.04302101568498978,0.0,1.0945294583887863,383.15,1060.4783632933545,0.3089167796159403,20.04705,0.23979157616563596
7,0.20416762140009193,0.2438689952379759,0.0,0.28961148064878267,0.10020142058620242,0.04302101568498978,0.0,1.0945294583887863,393.15,1046.7828359378905,0.5210621628021367,20.45015,0.229128784747792
8,0.20416762140009193,0.2438689952379759,0.0,0.28961148064878267,0.10020142058620242,0.04302101568498978,0.0,1.0945294583887863,403.15,1032.844187569113,0.3947880823533551,19.374750000000002,0.2
9,0.20416762140009193,0.2438689952379759,0.0,0.28961148064878267,0.10020142058620242,0.04302101568498978,0.0,1.0945294583887863,413.15,1018.2205041811401,0.5837439718753749,19.5259,0.19364916731037085
10,0.21988109894507593,0.16214813979694578,0.0,0.3394834896324487,0.34604489109176967,0.0792542961648662,0.0,0.8673084273172628,378.15,1059.0079872836022,0.12545481723625648,33.93225,0.2
11,0.21988109894507593,0.16214813979694578,0.0,0.3394834896324487,0.34604489109176967,0.0792542961648662,0.0,0.8673084273172628,383.15,1051.2897229779962,0.08814608205487758,32.49595,0.2
12,0.21988109894507593,0.16214813979694578,0.0,0.3394834896324487,0.34604489109176967,0.0792542961648662,0.0,0.8673084273172628,393.15,1036.7815135176397,0.09217624161942864,31.54935,0.19364916731037085
13,0.21988109894507593,0.16214813979694578,0.0,0.3394834896324487,0.34604489109176967,0.0792542961648662,0.0,0.8673084273172628,403.15,1021.6364594054957,0.12665443414812538,29.08105,0.21794494717703372
14,0.21988109894507593,0.16214813979694578,0.0,0.3394834896324487,0.34604489109176967,0.0792542961648662,0.0,0.8673084273172628,413.15,1006.5965025366806,0.20694017243446214,26.7705,0.21794494717703372
15,0.2341117766662888,0.18688867584052266,0.0,0.3386033545022974,0.6040039943449022,0.07932366783344157,0.0,1.0300195939300352,378.15,1062.2241733189537,0.10801707339872259,42.017050000000005,0.18708286933869708
16,0.2341117766662888,0.18688867584052266,0.0,0.3386033545022974,0.6040039943449022,0.07932366783344157,0.0,1.0300195939300352,383.15,1056.178929355992,0.0636876474721922,41.99835,0.21794494717703372
17,0.2341117766662888,0.18688867584052266,0.0,0.3386033545022974,0.6040039943449022,0.07932366783344157,0.0,1.0300195939300352,393.15,1044.4669570648302,0.09854405309385306,41.9923,0.20615528128088303
18,0.2341117766662888,0.18688867584052266,0.0,0.3386033545022974,0.6040039943449022,0.07932366783344157,0.0,1.0300195939300352,403.15,1032.0647138117408,0.22343941677367513,38.3128,0.2738612787525831
19,0.2341117766662888,0.18688867584052266,0.0,0.3386033545022974,0.6040039943449022,0.07932366783344157,0.0,1.0300195939300352,413.15,1019.8931350799523,0.2705049481235671,36.695600000000006,0.25
20,0.2349007995038536,0.23947461085783442,0.0,0.3135876909962904,0.6141780127155992,0.039917324333548686,0.0,0.922127262694785,378.15,1056.9132707268654,0.24001527803369593,32.258900000000004,0.21213203435596426
21,0.2349007995038536,0.23947461085783442,0.0,0.3135876909962904,0.6141780127155992,0.039917324333548686,0.0,0.922127262694785,383.15,1050.248845578956,0.19191263553953314,31.6775,0.20615528128088303
22,0.2349007995038536,0.23947461085783442,0.0,0.3135876909962904,0.6141780127155992,0.039917324333548686,0.0,0.922127262694785,393.15,1037.6690386833548,0.27964328157342466,30.936300000000003,0.23979157616563596
23,0.2349007995038536,0.23947461085783442,0.0,0.3135876909962904,0.6141780127155992,0.039917324333548686,0.0,0.922127262694785,403.15,1023.8551081764559,0.34885629529942075,29.916750000000004,0.2345207879911715
24,0.2349007995038536,0.23947461085783442,0.0,0.3135876909962904,0.6141780127155992,0.039917324333548686,0.0,0.922127262694785,413.15,1010.7375788210106,0.08172510646451124,28.48015,0.17320508075688773
25,0.25266216646012923,0.1514451900752932,0.0,0.34735377804656853,0.4427005887865777,0.025909210260743217,0.0,1.113965717165511,378.15,1064.2196623303803,0.177206706307959,44.6071,0.16583123951777
26,0.25266216646012923,0.1514451900752932,0.0,0.34735377804656853,0.4427005887865777,0.025909210260743217,0.0,1.113965717165511,383.15,1058.174784968825,0.07470336587004862,43.874,0.229128784747792
