,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,mapd_liq_density,mapd_surf_tens
11,0.38116971217040574,0.23872376144987376,0.0,0.2907951836393932,0.4018299469152519,0.05077360192197511,0.0,0.9239916840898628,0.2845423192671889,7.725735647786834
16,0.38869251367020596,0.16627096784944503,0.0,0.2856648369051079,0.5500068067784385,0.02629373254094198,0.0,0.8307000716041073,1.169673938304166,6.011900738136348
17,0.3887635137639257,0.1772912100305822,0.0,0.2930776483962904,0.3457169984169953,0.06051044215514775,0.0,0.9653398738632031,0.9326520050544485,9.39217909988248
19,0.38949386120229756,0.19908183117509404,0.0,0.2913665764416338,0.4429980582507011,0.04628788499153403,0.0,0.9470250704618928,0.556555811054909,7.108803973949213
23,0.3926766861912836,0.23748312642077707,0.0,0.2695757125079928,0.3617791235231968,0.0484001973518349,0.0,1.1126669459770495,0.7163308978229186,9.751729324177019
