,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens,is_pareto
9,0.3772671207422644,0.18467819579852912,0.0,0.3230990706933719,0.5745961771229269,0.06993803100792528,0.0,0.9791694590924629,4.824519720588567,0.23014811206148061,1.77695567827559,0.07382977371680396,167.59777614350003,52.698953727045094,12.062230000000001,52.6989537270451,True
11,0.38116971217040574,0.23872376144987376,0.0,0.2907951836393932,0.4018299469152519,0.05077360192197511,0.0,0.9239916840898628,7.0963469978338924,0.2845423192671889,2.208439495881339,-0.2041384779747065,5.569389090500016,7.725735647786834,1.9316700000000027,7.725735647786834,True
16,0.38869251367020596,0.16627096784944503,0.0,0.2856648369051079,0.5500068067784385,0.02629373254094198,0.0,0.8307000716041073,88.06327017846979,1.169673938304166,9.059079004335786,1.1696739383041663,1.6586902814999989,6.011900738136348,1.0736899999999987,-6.011900738136349,True
17,0.3887635137639257,0.1772912100305822,0.0,0.2930776483962904,0.3457169984169953,0.06051044215514775,0.0,0.9653398738632031,73.05648294067271,0.9326520050544485,7.358489792950036,0.13420986596877102,3.755428789499996,9.39217909988248,1.666669999999998,-9.39217909988248,True
19,0.38949386120229756,0.19908183117509404,0.0,0.2913665764416338,0.4429980582507011,0.04628788499153403,0.0,0.9470250704618928,20.632256700231885,0.556555811054909,4.322353543153054,0.5565558110549089,4.805549321,7.108803973949213,1.7086000000000006,7.108803973949213,True
20,0.39009968576088117,0.18904620765584723,0.0,0.29711678137003344,0.5110323159606207,0.06366136362132743,0.0,0.7051061678008604,6.171109141545598,0.20728442104317968,1.4622147961127894,0.1747160687822104,9.704372005500003,11.136849753901432,2.6409100000000008,11.136849753901434,True
23,0.3926766861912836,0.23748312642077707,0.0,0.2695757125079928,0.3617791235231968,0.0484001973518349,0.0,1.1126669459770495,44.81437398076394,0.7163308978229186,5.741545777392162,0.4454074816932045,4.652899189499997,9.751729324177019,1.775549999999999,-9.75172932417702,True
