,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature,liq_density,liq_density_unc,surf_tens,surf_tens_unc
0,0.33012665756146925,0.2728204313855712,0.0,0.2958268677165874,0.507618814033566,0.05355140618029984,0.0,1.0713555972981292,200.0,885.8928015219693,0.2500280630772699,37.41545,0.304138126514911
1,0.33012665756146925,0.2728204313855712,0.0,0.2958268677165874,0.507618814033566,0.05355140618029984,0.0,1.0713555972981292,250.0,831.6579253308443,0.30581172110606425,30.55775,0.229128784747792
2,0.33012665756146925,0.2728204313855712,0.0,0.2958268677165874,0.507618814033566,0.05355140618029984,0.0,1.0713555972981292,300.0,778.4279840065926,0.29644961780025963,22.29625,0.2
3,0.33012665756146925,0.2728204313855712,0.0,0.2958268677165874,0.507618814033566,0.05355140618029984,0.0,1.0713555972981292,350.0,724.2686970133822,0.35841796438698476,18.313550000000003,0.16583123951777
4,0.33012665756146925,0.2728204313855712,0.0,0.2958268677165874,0.507618814033566,0.05355140618029984,0.0,1.0713555972981292,400.0,665.3490809730795,0.1218436733105501,12.36215,0.16583123951777
5,0.363638787756139,0.18328510206884788,0.0,0.3350064487645956,0.5373661625518948,0.06118170808138028,0.0,1.0518170015851636,200.0,886.581791575362,0.19678861741911807,50.8215,0.20615528128088303
6,0.363638787756139,0.18328510206884788,0.0,0.3350064487645956,0.5373661625518948,0.06118170808138028,0.0,1.0518170015851636,250.0,838.0120538698583,0.1412917765429329,42.85365,0.14053469322555198
7,0.363638787756139,0.18328510206884788,0.0,0.3350064487645956,0.5373661625518948,0.06118170808138028,0.0,1.0518170015851636,300.0,787.2192600986949,0.0943838418626917,35.0642,0.18708286933869708
8,0.363638787756139,0.18328510206884788,0.0,0.3350064487645956,0.5373661625518948,0.06118170808138028,0.0,1.0518170015851636,350.0,730.9939028050889,0.2503555459746184,25.982100000000003,0.18027756377319948
9,0.363638787756139,0.18328510206884788,0.0,0.3350064487645956,0.5373661625518948,0.06118170808138028,0.0,1.0518170015851636,400.0,664.9177043294011,0.7288378047001344,16.73825,0.18708286933869708
10,0.3647024688055693,0.25981005661695294,0.0,0.30485441409710773,0.6179214586029165,0.03611843461037399,0.0,1.1214084939693634,200.0,876.4930834062859,0.19959741678203616,45.108000000000004,0.2783882181415011
11,0.3647024688055693,0.25981005661695294,0.0,0.30485441409710773,0.6179214586029165,0.03611843461037399,0.0,1.1214084939693634,250.0,830.8872910308532,0.13202497314510964,37.8161,0.18708286933869708
12,0.3647024688055693,0.25981005661695294,0.0,0.30485441409710773,0.6179214586029165,0.03611843461037399,0.0,1.1214084939693634,300.0,786.3591197554182,0.1253646256508093,32.2484,0.21794494717703372
13,0.3647024688055693,0.25981005661695294,0.0,0.30485441409710773,0.6179214586029165,0.03611843461037399,0.0,1.1214084939693634,350.0,740.1079854679222,0.1706700560719088,25.561850000000003,0.16583123951777
14,0.3647024688055693,0.25981005661695294,0.0,0.30485441409710773,0.6179214586029165,0.03611843461037399,0.0,1.1214084939693634,400.0,687.9408374345575,0.19597570061161704,19.8677,0.16583123951777
15,0.3701229015274675,0.2399448734415759,0.0,0.31379820781687134,0.549830011506357,0.07462103060255694,0.0,0.8222260179691092,200.0,873.0882486116882,0.1520150235394052,47.476150000000004,0.229128784747792
16,0.3701229015274675,0.2399448734415759,0.0,0.31379820781687134,0.549830011506357,0.07462103060255694,0.0,0.8222260179691092,250.0,827.8003096612917,0.12754552379692738,39.719300000000004,0.17320508075688773
17,0.3701229015274675,0.2399448734415759,0.0,0.31379820781687134,0.549830011506357,0.07462103060255694,0.0,0.8222260179691092,300.0,782.9116519407862,0.17044294652877925,33.466950000000004,0.17320508075688773
18,0.3701229015274675,0.2399448734415759,0.0,0.31379820781687134,0.549830011506357,0.07462103060255694,0.0,0.8222260179691092,350.0,734.3912945808005,0.08794217196411024,26.178350000000002,0.16583123951777
19,0.3701229015274675,0.2399448734415759,0.0,0.31379820781687134,0.549830011506357,0.07462103060255694,0.0,0.8222260179691092,400.0,679.0301461934757,0.09670629932468357,18.653850000000002,0.20615528128088303
20,0.37183879354115057,0.1889340283202977,0.0,0.32053473840096186,0.5293006245992637,0.029881639849324494,0.0,1.0816869434146257,200.0,884.6165627499,0.10789015385755041,44.13635,0.19364916731037085
21,0.37183879354115057,0.1889340283202977,0.0,0.32053473840096186,0.5293006245992637,0.029881639849324494,0.0,1.0816869434146257,250.0,835.7262205713417,0.12453696333939832,35.70595,0.16583123951777
22,0.37183879354115057,0.1889340283202977,0.0,0.32053473840096186,0.5293006245992637,0.029881639849324494,0.0,1.0816869434146257,300.0,784.5917459188199,0.27693800003757263,29.7464,0.17320508075688773
23,0.37183879354115057,0.1889340283202977,0.0,0.32053473840096186,0.5293006245992637,0.029881639849324494,0.0,1.0816869434146257,350.0,727.841700966098,0.07677741279820771,22.09915,0.16583123951777
24,0.37183879354115057,0.1889340283202977,0.0,0.32053473840096186,0.5293006245992637,0.029881639849324494,0.0,1.0816869434146257,400.0,659.5807962703591,0.5553735415034793,14.552000000000001,0.14747881203752625
25,0.3745199660609325,0.2608869488959461,0.0,0.28659363340074057,0.4743030180167497,0.041907767744904297,0.0,1.109252001483474,200.0,879.4654755529428,0.45452017478566437,37.92945,0.37080992435478316
26,0.3745199660609325,0.2608869488959461,0.0,0.28659363340074057,0.4743030180167497,0.041907767744904297,0.0,1.109252001483474,250.0,831.2298197664294,0.3022717462544573,30.656150000000004,0.229128784747792
