sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature
0.0,0.0,0.0,0.0,-0.45947147479157857,-0.20789101094194012,0.0,-0.16683823833083827,0.8472498413414146
0.0,0.0,0.0,0.0,0.0,0.9711909468490795,0.0,0.0,0.23830263271392596
0.0,0.0,0.0,0.0,0.0,-0.04476280789623084,0.0,0.9821996076079529,0.18242867604636157
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8881925263437269,-0.10754423907012203,0.0,-0.08630720158506831,0.43829138680166985
