mode_index,sing_value,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature
0,29.919966228912088,0.16216603477587846,0.1205229016260242,0.0,0.7872830397389204,0.2807304800474459,0.12701842885067607,0.0,0.10193577419442568,-0.48376403021739606
1,7.4707877818087844,-0.2847299062144127,-0.13891103144314199,0.0,0.6144094094091654,-0.33454792293913493,-0.15136844608297376,0.0,-0.12147736588011074,0.6103623627373992
2,4.246214683247066,0.8825970544278614,-0.39505089195189463,0.0,0.04782055809846321,-0.03683912341813176,-0.01666805654822915,0.0,-0.013376613321070067,0.24669119886849164
3,1.555903591532006,0.12893100699725207,0.5769741154740687,0.0,-0.0064457810101120425,0.4990408908101483,0.2257942823996609,0.0,0.18120632890594734,0.5635383883234804
4,0.8943360880351546,-0.3114968581256214,-0.6908064984986563,0.0,-0.018924563383240812,0.554126017143357,0.25071793503283374,0.0,0.20120819461524095,0.12246667509177123
5,1.3536070097107342e-07,-5.5639301188712223e-08,7.879587667005601e-09,0.0,-3.4499323187749734e-08,-0.4797150344968613,0.8285784129244139,0.0,0.2886716115473207,5.2186863410151884e-08
6,9.459355899886923e-08,2.4624373541282775e-08,-2.18063207274652e-08,0.0,1.2251159717827299e-08,-0.1472650532786173,-0.4003640354449805,0.0,0.9044454893497169,-7.786426562396324e-08
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
