sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature
-0.20947035730382296,-0.2778938331357006,-0.11924673848006538,0.6378304061775528,0.34961458946964913,-0.09889063562397395,0.1326600566041598,-0.2964883505107319,-0.27221794814756106,-0.11935930338851349,-0.05910501864197772,-0.0201401071835366,-0.17428690225378646,-0.058494977741385644,0.3070670206635448
0.8990858703437133,0.040107381573332795,0.02142712346430675,-0.031040573616490177,0.1984929830588633,0.10020233562775291,0.2842121702479331,-0.15754635603565673,-0.12213712667778959,-0.07462819652633114,-0.06509479217834332,-0.0037470808461256546,-0.06868939763845211,-0.020401024552135154,0.06085490359050032
-0.10335736925650332,0.7176644061314649,0.07096709738610986,0.4434791419431758,-0.15406788023200865,0.24285657390814977,0.39585598012573614,0.11990428282672637,-0.03503118980358468,0.020090147246330684,0.06257649592682958,-0.028914263045709966,0.053716812128272465,0.010080580317772097,-0.0969535464077357
0.01933644288133457,-0.3841980657981881,0.039687205408753444,0.24343642096985701,0.2657221574447105,0.5806323068725711,0.07074262025867006,0.23576202847294547,0.5133073060594538,0.07703480790030369,0.06273956882864401,0.01476555853366353,0.04304923341192288,0.02090823127979659,-0.21676662986588496
-0.21273124220858103,0.049676019424654765,-0.17290225139356266,-0.37552082756659516,0.5513837384994951,-0.21851620482861642,0.5238270277628813,0.36290191522035536,-0.05064286199857525,-0.03354504026978318,0.1123508928911795,0.008072152766507286,0.005590315305913258,-0.083629406900179,-0.009886150102126293
-0.14885374791195036,0.0989751087197631,0.11737305037951458,-0.280061289607157,0.20755023732447436,0.6569647396732943,-0.24454572171231376,0.030163603113428857,-0.5434329300986598,-0.007936832871135523,-0.0021686037853746645,0.014311109429499183,-0.12321569314153731,0.005437637476452392,0.1721626529821168
0.14454665771034306,0.12895880405891724,0.49613612961384396,0.2596814267112009,0.3901387150269917,-0.30273765218702403,-0.43159019944575466,0.3784130506673446,-0.12623219593367307,-0.08513405876247218,0.06743424488542799,-0.005574573004655619,0.11898407215260327,0.04865159821635362,-0.1768630317273623
-0.0620896239115754,0.4582112175460483,-0.0920435503792507,-0.12351690601899049,0.43345226504484285,0.008473046812614168,-0.2858824273131511,-0.42221062825261385,0.5095056854727512,-0.08168337961764983,-0.03341760866366514,0.033375357684841477,-0.1069081413929211,0.041904598343205125,0.1811945552858821
0.1883909189580202,0.09801137380149229,-0.5081417812649467,0.14542687733279638,-0.11569676542323992,0.0012747611833805977,-0.27345946102151686,0.5627061364429092,0.08476081232702126,-0.04283386053288465,0.06818974625736436,0.03942729426264112,-0.1996117152251536,-0.06702426393213565,0.4595425656355261
-0.047784434072229334,-0.07298073285064369,0.5470665044404157,-0.08420483708654662,-0.1135281195533596,0.010121117117667,0.21172388081397653,0.09285635100598681,0.21616877144579047,-0.021661318714142508,-0.06408820688389778,-0.017225462613003305,0.22777228549878614,-0.00026686486600913545,0.7183978149288899
0.06833857519674613,0.025534101929504817,-0.2570236326206871,0.06904918184332712,0.16037699306054726,-0.006741253174097897,-0.08241105523401307,-0.09103077777730516,-0.12792183038970292,0.6267113858993822,0.09733038691307583,-0.008332516465871872,0.6339745497837161,0.20863665789060157,0.1373962403861137
0.006229409311754989,0.01690520702413764,0.22028036574517687,0.0007511460491717966,0.019126979281805435,-0.1112101864934571,0.056136747181577344,0.040790292126829455,0.04105107872164068,0.7205862596055501,-0.030636711703074287,-0.0038125620540601164,-0.6361669401833057,0.07974811119152721,0.025527359810222288
0.043639904652097446,-0.041600964050177366,0.08117356178242628,-0.005671695653245904,-0.060594278819314416,-0.004862876715404103,-0.011410048383641156,-0.16420982879158186,-0.001085026355032447,-0.018176679929112573,0.9606558180510488,0.05099260728059169,-0.06961375415922569,-0.15721546614460016,0.05999198850949058
-0.01119518408928997,-0.044830547546123284,-0.026642853511890736,-0.013445414775708773,-0.026447154170597367,-0.01831810517391207,0.08612016609943167,0.031035580941787513,-0.01969684011290018,-0.20706187737631127,0.13881762126158143,0.12023052164820501,-0.12183100704683125,0.9458172778566388,0.03402880474182105
-0.006001309359992658,0.00733337747154678,0.032273651924398086,0.030199267283213833,-0.01013269025965918,-0.010800494257124295,0.025003633025321683,-0.010397814668612086,-0.022405688385692225,0.034886730753791693,-0.06947495038143095,0.9889997484251805,0.03634784271847134,-0.103964317226019,-0.014418332377434702
