mode_index,sing_value,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
0,2834.357306394922,-0.06019637216869486,0.003942581684192814,-0.2719595251122492,-0.0777284487785724,0.0,0.0,-0.8371715361481414,-0.46043422436796,0.04539208480612318,0.03202487410132154,-0.018632578861946244,-0.007062129020966496,0.0,0.0,0.00047918740223376957,-0.004241658455435128
1,966.8113061424162,0.12772637988031424,-0.030480827255114334,0.32812841280613936,0.08676377062032745,0.0,0.0,-0.5423914001166723,0.7526551172049731,-0.042220889938311766,-0.03477505091853615,0.035066656125464384,0.003387049867303885,0.0,0.0,-0.05146509610107193,0.0009061927712578162
2,578.5916355630559,-0.9122990376734642,-0.0011813534198407902,0.396265949613258,0.027244004519830313,0.0,0.0,-0.039041716413863725,-0.05444978585958267,-0.04080355143217655,0.007363054870645775,0.060392330795311665,0.006712995462843685,0.0,0.0,-0.005823728481584101,-0.0023955649422953513
3,443.77584583282925,0.3793609218134012,-0.04667546592680512,0.7815746056978247,0.10631334945014989,0.0,0.0,-0.043393109195413365,-0.4637587064919127,-0.06931914171074874,-0.05116125027544327,0.05970463529350353,0.011524715905883148,0.0,0.0,-0.06053896000254857,0.0022703299302506597
4,181.86530280333497,-0.03405359370063748,-0.8155972740678936,-0.13124921075433255,0.555205742306349,-3.3306690738754696e-16,0.0,0.00661958886757652,-0.03236297013060585,-0.027874351042803457,0.042047859142380684,0.022287747569190098,0.05475338570092061,0.0,0.0,-0.03209728857938737,-0.0007563775371902011
5,90.8657116666265,0.01972325287238239,-0.5665062253569233,0.10277233839110538,-0.8048841242322969,2.220446049250313e-16,1.734723475976807e-18,0.017763143823610217,0.042559077836097525,-0.0038490541371589276,0.10536663558765275,0.020906469298440786,-0.051483784956339956,0.0,0.0,0.060506206054532274,-0.016990406345225046
6,50.04889740498309,-0.02637157500816633,-0.03724465475529361,0.10730162381811867,0.016962089251701843,-1.6653345369377348e-16,-4.163336342344337e-16,-0.005625063238926739,0.008394969061105994,0.20473584206934195,0.02712895883095036,-0.9712150722068982,0.0006112365204959172,0.0,0.0,0.003548960851353658,0.009459243406819213
7,39.11250968289846,0.002055496441779762,0.029907393071397944,-0.06551380122113303,-0.012385896889273357,4.371503159461554e-16,3.226585665316861e-16,-0.013386312565375487,-0.01472360347586333,-0.967574823089296,0.09471289979910615,-0.20968101467713993,-0.03672090881578036,0.0,0.0,0.059334083828422486,0.015912827836553095
8,29.74714821225176,0.03899062264423718,0.08478217436087593,0.07460109632002943,0.09498736911443224,-1.1102230246251565e-16,3.885780586188048e-16,-0.006855075669047042,0.017840990734107262,0.09457986334141258,0.9108486934090577,0.05277761170859053,0.05416547123950196,0.0,0.0,0.3624222209923046,0.0260492553502017
9,23.337245817962444,-0.00836380247514216,0.03132722491489722,-0.035342068253597,-0.04745401892903707,8.049116928532385e-16,1.2212453270876722e-15,0.030256330090195818,-0.0014001272700275257,-0.016733003935109014,0.37436469403000927,-0.0024306805429357625,0.016621198839521446,0.0,0.0,-0.923966835253483,-0.010222404582740414
10,5.878258350030421,-0.0012236984766754659,-0.010094237820708537,0.008557427121923198,0.08102184921883407,4.371503159461554e-16,7.754213937616328e-16,0.0036800075997792106,-0.0021450482871538503,0.035525866859948504,0.05090573442990697,0.009453470342650996,-0.9813393170191365,0.0,0.0,-0.0005987030960045734,-0.16208217958332555
11,2.941630934133713,-0.0042505594380619505,-0.013937053254433946,-0.0015407496354974118,-0.0036817666039458555,1.8735013540549517e-15,3.1225022567582528e-15,-0.0014169092947935898,-0.001709696742773905,0.017025061477726918,-0.011449488961937012,0.013109476858684296,-0.16286939883097026,0.0,0.0,-0.019050718523201275,0.9860449576110863
12,0.0,0.0,-4.589799294375359e-33,-3.7441938604726604e-34,-4.052912411475661e-32,2.6385039717366892e-45,3.4994795086841574e-45,-5.958600038143385e-33,9.636959659457287e-34,1.1940690906608392e-32,-1.0581847683464243e-31,6.707530950868792e-33,4.985305024059871e-31,-0.9229299804232912,-0.384967857406126,1.1354619993866438e-31,3.16051610622005e-31
13,0.0,0.0,-1.2814835598160648e-32,-8.646554483264285e-33,5.678064201708786e-32,1.1780826405128193e-16,-6.004728921543261e-18,7.294111922543127e-34,3.4000113172419295e-34,3.067243667289221e-32,3.450835973363695e-33,2.1264758981754696e-32,-7.441239765008512e-32,0.38496785740612605,-0.922929980423291,4.3623920934016775e-32,-2.8871474877476276e-31
14,0.0,0.0,1.188670997330291e-17,3.313072361255283e-17,1.2195836927155257e-17,-0.4221134307040454,0.9065430224866666,-2.7479688264510528e-17,-1.6362783510503574e-17,1.2669250827591386e-16,-8.829914329246577e-16,3.380483560256148e-17,7.654389227992052e-16,5.551115123125783e-17,1.1102230246251565e-16,6.971878960695159e-16,-1.794312042802996e-15
15,0.0,0.0,-1.7965768378841788e-17,-9.582520478889538e-17,2.3501369953272694e-16,0.9065430224866668,0.4221134307040457,-1.6235091934608372e-17,4.5513884315708995e-17,2.882924586312796e-16,-5.434385730559075e-16,3.243512254212494e-17,1.1437424259281722e-15,0.0,0.0,1.2200842313181427e-15,-2.8333064003232856e-15
