sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
0.19884981286368023,0.03669289627194883,0.3195195540036363,0.03583926892097408,0.0,0.0,0.8747402249104953,0.2940175689702686,-0.037533669574229094,-0.048805892466140206,0.01591758615488369,0.007647359866996343,0.0,0.0,0.0002581528674073251,0.003960172240304876
-0.21410489996493345,0.025617454642471067,-0.3978503918202244,-0.07613573115060562,0.0,0.0,0.4572358323391749,-0.7540505447505189,0.07767368949948109,0.07461184354887143,-0.010701267933667453,-0.003953014634093288,0.0,0.0,0.0037857777196256136,-0.004451828231323034
-0.5559249820217127,-0.1471927998448615,-0.5659824066883667,-0.029866278868161334,0.0,0.0,0.15801674722145131,0.5615339516632927,0.04008654836046379,0.06554721097785787,-0.035899924754078535,-0.020328047746647537,0.0,0.0,-0.00964806430589255,-0.008090486817388914
-0.6460532479237509,-0.4207968461874481,0.5415672132905536,0.17090054603400123,1.1102230246251565e-16,0.0,0.00017757516812372254,-0.1667264538967534,-0.17936639695020282,-0.14929235940914878,-0.019590803032309978,-0.0145932216910656,0.0,0.0,-0.013187394062176578,0.0037746523221345173
-0.43310554448315236,0.8303699098785846,0.2530148928226711,-0.13408867457029464,-4.440892098500626e-16,0.0,-0.027296208723026294,0.03487347726354509,0.16511974436564353,0.04272619335717416,0.06665208779418086,0.052412279147340264,0.0,0.0,0.050180979878692626,0.01225205731696129
-0.00433361975378402,-0.2943325458467001,0.17816633414930727,-0.2720098455962524,-1.5265566588595902e-16,-8.326672684688674e-17,-0.006123596309090151,0.01949390305086468,0.8875642890475011,0.0763285945616763,0.05208338302777041,0.03548112203345818,0.0,0.0,0.0979990716329174,0.005256842434111909
0.01386074280046665,0.1299627121729843,-0.07933774391745052,0.8973017444943981,-1.7208456881689926e-15,2.220446049250313e-16,0.0029190427698225635,-0.014885902993203859,0.3638146242554648,-0.0747330167038758,-0.1143251868793143,-0.07765646453362621,0.0,0.0,-0.11823508439644868,-0.014702021070256482
-0.011178068639990798,0.003925768559635418,0.04092722101023441,-0.14235459095466638,-4.427014310692812e-15,5.551115123125783e-17,-0.0019112561931971615,-0.0004673760874644309,0.053427785318533746,0.043690904890727675,0.02153838711188419,-0.003391369218977275,0.0,0.0,-0.9862394411001163,-0.00297299450337136
-0.010001274403569401,-0.032678988114136345,0.1474648592243278,0.06108711377855238,-7.771561172376096e-16,2.220446049250313e-16,0.0004917671660744014,0.004828934339359015,-0.07160410913150449,0.8822504144157877,-0.42320325630752925,-0.09180170015398033,0.0,0.0,0.023686747827864032,-0.04181417372175321
0.012280294233467432,0.068844823129108,-0.0011310723881002953,-0.19850286731861885,-7.771561172376096e-15,-1.1102230246251565e-16,0.0005873174367262979,-0.0014214410393016304,0.057988419036563085,-0.41365471167947554,-0.8487569674078999,-0.2358222229220322,0.0,0.0,-0.003951518524475629,-0.0722049120491002
0.0034519947244673783,-0.019792056061754368,-0.022594186895428067,0.046522264286803984,-4.003741782554471e-15,2.7755575615628914e-16,0.00048345726516798096,0.0001824649030098737,-0.005292351808292179,-0.02496969977082987,-0.2788911618818333,0.9111506159119616,0.0,0.0,-0.019282167928455732,0.2965168644819222
0.0012038400910415208,0.003296495691065996,-0.002057714677652651,-0.011669709999307066,-1.3773704399255848e-15,2.220446049250313e-16,0.00018152760216247213,-5.641648967556507e-05,0.0032350395637907522,0.014879891713454026,0.0007162659784606062,-0.3082476231389989,0.0,0.0,0.0006411471102812643,0.9511034820108412
0.0,-3.524114611145921e-32,-3.8540524150372066e-33,1.177564223702903e-32,-3.716010005038118e-17,4.351100860361618e-17,1.4969443535842011e-34,-3.56336622661263e-35,-4.685012351484855e-32,6.027375846706909e-32,2.697312788831487e-31,7.666473680609415e-32,-0.07386200269957874,0.997268471655054,1.4102021318615604e-31,-4.4211545654357e-31
0.0,-2.1422692580655874e-31,-7.004963989913915e-32,2.726567816790577e-31,-3.344793681422998e-16,-8.522254772561385e-16,2.4785481991319762e-33,1.3142689478567686e-32,-5.829776505940219e-31,1.1294909908744748e-30,3.040922989044071e-30,-1.5557128503435922e-30,0.9972684716550542,0.07386200269957904,1.7465505010435756e-30,2.7083012903176395e-30
0.0,2.18639232879352e-16,7.288492373846576e-18,-2.9991063992848903e-16,0.2613172891317448,0.9652529587630575,-2.2453383003772522e-18,-4.193069995945861e-18,3.764450938328772e-16,-9.612980832811074e-16,-2.033940253936308e-15,2.5557324603339757e-16,8.881784197001252e-16,2.220446049250313e-16,-1.1191243229619086e-15,3.829121851005731e-16
0.0,8.044610617202751e-16,1.3169157647427199e-16,-4.569705952501719e-16,0.9652529587630571,-0.2613172891317446,-4.501239409197956e-18,-2.4268286975323495e-17,1.3640157147367017e-15,-2.4076628484705814e-15,-7.960641201562388e-15,1.2599872571505276e-15,2.220446049250313e-16,0.0,-4.494835708315484e-15,1.964945307991447e-15
