,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
41629,0.061345556665290873,0.0723765303726462,0.40974578693642205,0.7960955682726649,0.3647520207498749,0.8630198474895352,0.8263812528473115,0.02726635481488166,0.2592328144712957,0.3371634358721433,0.4089802594401323,0.8111865935245682
16119,0.3139386991415063,0.7687727167661569,0.5745744578872912,0.08841761775527462,0.048724083882816696,0.08877427546190139,0.2701844181877942,0.9989409186510311,0.8156713894945592,0.4855793276856912,0.9710450726062628,0.5730202961355687
19023,0.7477265185779148,0.1331719954376246,0.09850872028728296,0.025663038422042008,0.9524543473905261,0.8042292280404826,0.9306116221351891,0.6370261184824956,0.3265844345193865,0.9370228864008828,0.047668797051429075,0.662250014410491
18011,0.5637043458308887,0.2558468071052347,0.07451391400434963,0.13056612371098283,0.7045043952673018,0.3562678087592344,0.018477667319550927,0.4847903730519656,0.5823007114357827,0.3954733877035528,0.49185813980428933,0.025260882809438955
24012,0.5874207462050156,0.018345397123164398,0.5032259875076438,0.2801379818120538,0.5761769095220586,0.05611215568866529,0.9660508045406292,0.4466205234796189,0.049463119932648056,0.4100107298511366,0.7604711443731093,0.021833462214710164
37765,0.0543930780440109,0.4878216368512023,0.2659602189045398,0.9312997439145155,0.11483092964198914,0.30666358887359374,0.47874241686713637,0.16215480357961076,0.17326238858350873,0.8659190571766694,0.9876321047825796,0.29924277507137315
6824,0.8415525770370681,0.9909285390312159,0.1642999241102917,0.47153229900350585,0.10579420447205418,0.1622716285420209,0.14695485138511918,0.6985883791168389,0.0220551621672469,0.9288501946364085,0.9440560028106234,0.0632694646191783
11049,0.8411215895248758,0.04916578011523745,0.23014482674498402,0.47249581640097266,0.46546853121137194,0.7278850651024105,0.9055552558674077,0.09130221934820809,0.20181258240557984,0.28856043781019536,0.3699882976939699,0.003125611179545699
31896,0.11664835856904342,0.005554987153172146,0.5525702184172389,0.5895830278556576,0.21109976746624998,0.5368004106144694,0.8852174889027029,0.4752504438158466,0.07601693569133378,0.7602067088689702,0.883313287381578,0.9949141014739624
11656,0.8219729793110814,0.2923201488794868,0.2324268459833589,0.8081495900595892,0.0718182028018114,0.016378999153559927,0.2576987411457198,0.16042127549147597,0.8646930801372282,0.09892293658932019,0.3671023334519465,0.8031451311712398
13686,0.5245437995249985,0.7751375885567827,0.4504954125337995,0.820557146473684,0.503982981590581,0.9517275767335138,0.34950598427686347,0.11580501048856016,0.22047085172008232,0.37746982896377085,0.5929109285320601,0.06225616991576147
33524,0.5715088142198572,0.14413589201859453,0.0005306217064469446,0.957218538969386,0.5072184980542992,0.13135335786624264,0.04528555226661332,0.2507188157291775,0.760455359163874,0.6644493575249599,0.6530849903002994,0.5179039999171317
4488,0.9263050595577216,0.607194992617706,0.1756615467258311,0.2655498663191908,0.7959872751474631,0.9751496041955061,0.9201159755471517,0.3859793040707658,0.9945400729689793,0.9038315040205134,0.9639927724081235,0.5589999657387908
17037,0.48019936608391484,0.9990661625799423,0.010797294872208178,0.3653282492945764,0.9089366774687682,0.0606162056866662,0.5696475889097514,0.2688408635626663,0.9583691920613329,0.9557830716729306,0.04073927203158959,0.5305423942181657
269,0.9834732991457841,0.3113036084316234,0.5259026029079515,0.24476937967708942,0.4756331325068806,0.7275809935487154,0.7379971866260384,0.6116713270901633,0.8774317460472449,0.1963704856139852,0.9608020551582631,0.17620824918600494
31707,0.8241906704547413,0.9104545553342486,0.25027434592831166,0.5115246609131407,0.6205303342628962,0.8901422989319505,0.04814580119596267,0.8719190413378558,0.46993691451971925,0.7862324474108872,0.020666545137044422,0.9913954408793235
10399,0.7688118048640588,0.5011738290676234,0.5619730735403937,0.2626263392867854,0.442821647444933,0.03290693941039297,0.3775460112168396,0.9413079954847998,0.4270176897069038,0.023195152055423742,0.7373638925835472,0.3676333662478891
30366,0.5524734834798225,0.03161140995819135,0.2779085782571048,0.9651442991812188,0.6788935005438896,0.9725076069510177,0.37684586337948905,0.6147629907965159,0.02812688849924411,0.8418244308015889,0.27506362072464297,0.9437205456666732
37274,0.4495112401878295,0.8117112807158513,0.5355193753549723,0.2549705652791476,0.6385663429376104,0.06166561428302994,0.9937139668928789,0.40083592218519015,0.9593671214765269,0.6742564168877171,0.621292233537047,0.4621384168850615
42074,0.5208284704436675,0.4639640221498282,0.2614309881300156,0.10737252947904316,0.8986782299444869,0.9783933951045969,0.39685419651051534,0.5375626363867936,0.6637890736474221,0.8423834949477516,0.41798444604175866,0.44476344995223155
5734,0.03134960177920645,0.112176939417814,0.5629148510191826,0.09285242033727201,0.27914214632342094,0.9744226280877354,0.024811842333602993,0.29030460087414867,0.5974779741779018,0.993327611288043,0.7621841049397708,0.984483973020913
29505,0.5366447578870096,0.11269855916033109,0.19171107473887894,0.8525572973813199,0.8231699179825295,0.5103151819938249,0.4708646086160246,0.058738748312023845,0.16910058258980568,0.6431355031008423,0.9841635948166771,0.9432249010091416
23326,0.9028650853254652,0.9986723121724215,0.37956312241850304,0.07339219125466516,0.6799103451251012,0.8992210160884839,0.5361311171269375,0.8980552239745443,0.2033301151299713,0.10764078436594415,0.5404239247141962,0.7273783475173844
44196,0.1416279134148575,0.7179685483700977,0.653037681139148,0.04449277855973401,0.1948875357685472,0.8858151607803117,0.8575810682007561,0.557700481928921,0.804867862063655,0.6060731921608232,0.05898021038953081,0.3572611704343307
6471,0.993855195029044,0.10797178121179236,0.6634889572926604,0.021647921901588353,0.3861872358065492,0.9941250903881884,0.6690224986465554,0.7228235553719417,0.5526264477806718,0.12772241941200255,0.1944437406320621,0.5904629559765086
27388,0.9814660438342829,0.4513554267383706,0.4238667281157254,0.06060967332810527,0.26859507999949706,0.5719857541199812,0.4440651035973869,0.07888977300091007,0.31971217901287,0.1546426088671937,0.9786334265932567,0.9736413083523927
26303,0.8318352651936064,0.4966097257500041,0.46452836993904456,0.5482955682990953,0.6995359098606518,0.7517420500452576,0.7335294749810239,0.18608798605755061,0.008352571056245761,0.5858569475342147,0.7015092316833091,0.7730207507512644
20685,0.8812851044475842,0.6164391951991529,0.6356429146993108,0.25296331603965355,0.24729402405841813,0.48117230568812097,0.540902991907684,0.06827760776401699,0.9974750645806093,0.12624323371510146,0.4357876977743511,0.48690566844943844
37100,0.23082699197206882,0.6874016866020856,0.32216868769284474,0.6299936722313974,0.8909892924813649,0.6868529176179179,0.4450721913528849,0.2703637508221859,0.45740164190857296,0.07330819434181036,0.26585284132567066,0.8513015439239735
24949,0.18644199118484542,0.4388777635000454,0.40698418038969425,0.9999336656766097,0.9930833575408842,0.8258864556356869,0.6087797339576293,0.7369291438961044,0.8022074879764605,0.7170380194269423,0.968407743798921,0.9670136534111125
32705,0.9818919537927048,0.21266430914830667,0.03007955667740462,0.2750166908489174,0.4060213565393716,0.40255332206776495,0.3290241628522659,0.8890525173223472,0.1137983188648632,0.7062910753821501,0.5404994695243067,0.9982287399843232
34287,0.06383290915076495,0.3123785722263162,0.46504049939896036,0.3245076376505105,0.07296744638784995,0.2837850693395468,0.9158096088032694,0.04937540361773875,0.9657940175327211,0.9413544259725982,0.0952057516002175,0.36539483354081065
14721,0.34447447849079976,0.6695272702355237,0.7491974652810981,0.005021079346793305,0.07451112798298454,0.05053949586081817,0.8936443293981676,0.7727749628424683,0.4804394205136689,0.6928124452056441,0.2531860415820791,0.9228671405275022
