,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
0,0.3381574641910784,0.27822035701063036,0.0,0.29346154940971386,0.6085214420490251,0.06759035315534116,0.0,0.9994200567633615
1,0.3755876965620597,0.2299383958472192,0.0,0.31068627536467874,0.47371201149852266,0.07120025723117586,0.0,0.857744311030121
2,0.3765318923788151,0.15193877318185198,0.0,0.3243550747756767,0.6044405056491076,0.0651185697165025,0.0,1.0845499833604033
3,0.3772671207422644,0.18467819579852912,0.0,0.3230990706933719,0.5745961771229269,0.06993803100792528,0.0,0.9791694590924629
4,0.37906201252112,0.15911963530799755,0.0,0.31821518729895576,0.5308106412597604,0.07634587974555716,0.0,0.9300780195003726
5,0.3798027985316317,0.18232788201250238,0.0,0.31337089052981615,0.5561207575842712,0.051811522809408775,0.0,0.8888897327776768
6,0.3846764470127809,0.15036092407853058,0.0,0.2950294725312258,0.6042961662244302,0.023919726474109282,0.0,0.8275970951097026
7,0.38541006346006557,0.18135570832316616,0.0,0.295083316500461,0.49598944321317434,0.0268549032427076,0.0,1.021666594392284
8,0.38626868249601476,0.1709524656981552,0.0,0.28938309653812144,0.3796881699586393,0.025578047351746812,0.0,1.0985518465285526
9,0.3877282625108444,0.15459469748960042,0.0,0.28739072333109605,0.5411087766009601,0.033500213029102284,0.0,0.7097583703971216
10,0.3882343230880755,0.21384739238069372,0.0,0.2903281583957892,0.5071930148193462,0.04735797480688336,0.0,0.7595719493612059
11,0.38827038579811557,0.15172798332420526,0.0,0.29747681965318956,0.40550720519625305,0.07281085888674159,0.0,1.0035893942476242
12,0.38840492484953804,0.17052313169188435,0.0,0.3111639149086802,0.5350964099065177,0.0798617622105955,0.0,1.0264813391880325
13,0.38869251367020596,0.16627096784944503,0.0,0.2856648369051079,0.5500068067784385,0.02629373254094198,0.0,0.8307000716041073
14,0.3904881012790702,0.2249327877880224,0.0,0.2756356865658457,0.48954695605933524,0.03014728848949132,0.0,0.6590122786975412
15,0.3926838546120457,0.1614887544104329,0.0,0.2865126888002548,0.48350520775817335,0.04150483629837948,0.0,1.0949921545804469
16,0.3944962589770271,0.2144993143802884,0.0,0.2890074538003771,0.3766057531571971,0.07498484395266779,0.0,0.9826688714122919
17,0.3959752089188501,0.15976532507417934,0.0,0.2843251649879424,0.5693657334102504,0.05870034443818668,0.0,0.644909674487978
18,0.3982960437831383,0.15399094290147186,0.0,0.29024199248173416,0.6091182091325239,0.08275291991811388,0.0,0.7187728146107935
19,0.39829646995026025,0.1568373200112386,0.0,0.28021183953105194,0.43115986726567757,0.07708470189594213,0.0,0.7699923206204107
