sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
3.385013818527952,3.7475866077273583,1.772097869077078,2.69379056294601,3.637400471330014,2.3411542211450724,56.47419067005573,58.08371760213244,7.895963919567289,3.382098747276897,75.00425716932953,78.39068298151683
3.807476689663601,2.537198482490956,2.1872782473224888,2.775417025169218,2.6209084134393907,2.8882343727489146,70.32342093091397,12.066776958271785,4.846053660499241,9.345639379721913,110.44566912044957,82.43303292921813
3.4222047931695654,3.726202496824589,2.5265733098509564,2.169487219287131,2.566441951886402,3.07231760805378,29.25979353424029,44.295846803333234,9.118724223654596,9.293537998385922,128.78488141261255,97.36258387737372
3.250950080895081,2.322640680808757,2.195916619350477,2.0098870838850766,3.564135837753156,3.913790323475625,35.89965613351151,41.29406700325892,6.666454339275748,2.910841565534458,103.20101447489138,96.12095514064042
3.652716913903937,3.9713818753642527,2.2597086555756487,1.6045658834583825,2.5409432369313443,3.674947769211183,36.84447713378685,35.90502708485303,6.440617327197265,8.881042291667432,89.03085125361092,48.21932249261167
