sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,sim_liq_density,sim_surf_tens,is_pareto,Min Obj
0.3361649505177115,0.3663966649832805,0.2553689003538479,0.2065558368231005,0.2355361644496574,0.3064007959092114,0.240386436889024,0.3218897938118512,0.0730614423733681,0.0743794660013254,1.0526334820302103,0.8097009394167767,0.05483777545324181,361.3681025072804,False,361.42294028273363
0.3420429086450484,0.3761769335391658,0.1767078303606659,0.2766326391130591,0.3643551456336271,0.2412508378741525,0.4758967515111681,0.5170436654088257,0.0683908532473942,0.0303162480834,0.6240062779223027,0.6476344390666695,0.05432513955087952,85.26687479470446,True,85.32119993425535
0.3545477454559204,0.2172181324727665,0.1967835171198859,0.1988329342370849,0.3702876105944099,0.3788511506802364,0.3882669039842556,0.586476999221801,0.0821857092019288,0.0186910729816491,0.8662858995412468,0.7749588103940948,0.013384038433323215,1651.908389632636,True,1651.9217736710693
0.3656392542540049,0.3984830600257177,0.2264461181641261,0.1592100339947204,0.2534214584313764,0.3667091070522599,0.3002199111071384,0.2928507128321707,0.0531708536003442,0.0736797654033801,0.7357893463209279,0.4020134573545678,0.5295859682942241,1.5543769756090784,True,2.0839629439033027
0.3800794280550036,0.2508766185857224,0.2174311425651363,0.276759096313615,0.2578832435148984,0.279823192440863,0.6004134214123733,0.0846409025669062,0.0393272755144325,0.0774274119562173,0.9131413897313564,0.6837384770870043,0.3953426977492303,33.234188500428665,True,33.629531198177894
