Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_H2_min,sigma_O1_min,sigma_N1_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_H2_min,epsilon_O1_min,epsilon_N1_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_H2_cum,sigma_O1_cum,sigma_N1_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_O1_cum,epsilon_N1_cum,DMF-sim_liq_density-sse,DMF-sim_surf_tens-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
2,75,0.6067891001362279,3.6592096499794446,3.967999329718943,2.221626979869153,1.657931172345256,2.5685996955306094,3.4314510848094164,38.06541226608393,33.9485063168677,5.770864732582701,8.443874926649293,90.81382601984392,50.830355817595006,0.606787407381242,3.65921619008991,3.968002436567032,2.221619896702033,1.6579237614597415,2.5685962419813446,3.431467226363176,38.06545173549343,33.948543756524714,5.770838862292258,8.443854331781992,90.81386155622457,50.83041079495658,0.011826215792851,0.0001998354407032,80.85373282432556,137.0,1781.0,4.91210254019007,2.0,ABNORMAL: 
4,45,0.7215621635131411,3.456109725583042,2.1779752629423395,1.9428822057302952,1.897541814312874,3.407644345970789,3.806694927850512,40.77949727227325,71.44891507604456,9.589348479297032,2.1667735697675643,99.81297968819328,88.15670630366681,0.7215620832661416,3.4560980697553485,2.1779747379323293,1.9428824304555772,1.8975455728313808,3.407656636500604,3.806674332798684,40.77962785273116,71.44887399774943,9.589294413847414,2.1667713881793262,99.81303926003504,88.15677048253234,0.004104873854497,0.0001988362161403,28.779331922531128,50.0,650.0,3.0900901501021405,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,50,1.4610685878614489,3.400943284071534,3.761585374999531,1.74328560229718,2.7498672168738607,3.611256363353069,2.4584130283676577,56.32166869365475,62.292099467446064,7.8559006933352,3.4793422497728685,75.051463869923,77.38183557228705,1.4610683645881926,3.400940461319395,3.761584778064516,1.743287314041639,2.749865923287912,3.611256228626307,2.458398078509332,56.32173434165039,62.29212512516808,7.85595215617825,3.4793627376225804,75.05145550519516,77.38181156975938,0.0033603256167733,0.0001993181273037,32.93069338798523,57.0,741.0,2.2940070166089352,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1,53,2.494238609539726,3.74951201801851,2.5091281868692503,2.237992524668953,2.7552063539005287,2.547558998869274,2.5875615168590658,72.50180767491523,10.334602414430831,5.715893834356343,9.890985985823164,108.93417817225586,81.55651026977276,2.494238609539726,3.74951201801851,2.5091281868692503,2.237992524668953,2.7552063539005287,2.547558998869274,2.5875615168590658,72.50180767491523,10.334602414430831,5.715893834356343,9.890985985823164,108.93417817225586,81.55651026977276,0.0492151039112323,0.0001985067897152,61.35831522941589,107.0,1391.0,6.34103383959499,2.0,ABNORMAL: 
