,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc
0,0.3003404064775653,0.3914052636372065,0.3197786694144593,0.2694477420354472,0.2081596330175336,0.2461981230242114,0.3589827713965872,0.2516017088305795,0.272103174605397,0.0535188059722366,162.9830351605314,0.885333201179526,10.957620182222309,28.470955384780904,5.760727283976312,3.61572064411778,0.08511918286419261,3.145935099543831,0.2188927843082229,32.232913320364766,4.501584497447399,5.517415066567494,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
1,0.3073047324503802,0.3581495093917017,0.2650642054828767,0.3223137593973454,0.1950671502514843,0.432260375780236,0.4637065370137478,0.3030876863273946,0.1772877012343471,0.0683658740955204,158.01075102542032,0.8705742284446542,10.907004384444509,8.544869120024503,7.031098093155783,2.5927259647444423,0.06811802713144045,5.106633728325051,0.21815267399866625,51.60664167820878,5.550008384071541,7.175478828602209,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
2,0.3164506131665465,0.381408533727965,0.3177687214203246,0.2749562734722052,0.2467937485323241,0.4129221416534516,0.4870761430098943,0.1405980035865076,0.2341603586187758,0.0315397501900984,196.61886183386872,1.0304333539494457,13.303647720000072,5.3781202437178095,3.5102392215591407,1.7123045848377791,0.37897651573550284,4.802432061789783,0.41606144842533344,3.297274406087687,1.3651419790654995,1.5906975343185792,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
3,0.3193797167966213,0.3683964181577073,0.2637147977302073,0.3127787232243275,0.1988336234814358,0.3637684141472714,0.184443481963473,0.2324294757148174,0.3302885391314898,0.0239250353831475,73.14533380290888,0.6367354304425479,8.167192140000088,7.753389416885499,4.244813364329588,2.0321838849955536,0.26526705368821857,4.603098786392736,0.37872681403577707,18.803464098666538,3.2683135146853335,4.293542982581099,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
4,0.3230639289081191,0.3777279622823031,0.3364432847632864,0.2505004750512773,0.2007249782083881,0.4807296361814188,0.2331999219820329,0.2657174438140549,0.234363898480482,0.0233783111102265,152.39427414432856,0.8885425137261884,11.939706300444504,17.373325344673155,8.390016974363672,3.591516976353333,0.6526169166589509,9.170422059097865,0.6687428395399985,0.15953112015660265,0.29451332552145015,0.3468863453415736,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
5,0.3235624223941789,0.310626566480376,0.3082549035744318,0.2888778869965011,0.2068722109703848,0.492256224943735,0.4035426410711496,0.3142038150284856,0.2393058621314147,0.0725597886212007,76.6520089976112,0.6259929116257795,8.253867049555492,2.6082414552176933,2.1372317386001023,1.2597099601177775,0.01921095030223975,0.7366297028010051,0.07946537483444435,33.47982041017582,4.480039895533518,5.780462325980193,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
6,0.3358801262583634,0.3385396256990011,0.3433431663185175,0.2540573186565647,0.1801589892410119,0.3651886217650842,0.3900387655908672,0.3158759278209641,0.1703388264016664,0.0755839905850816,15.588700056211218,0.23050401591794642,3.0735417437779233,0.16895600708498087,1.8383627830614944,0.3989889129311166,0.08703054098438665,2.5294465991531583,0.2017986090002224,6.237890599912788,1.9573218226173854,2.484573283495885,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
7,0.3417894517412823,0.3590008647620343,0.2729641808805388,0.3089513365469525,0.2134714000154282,0.4590285934769153,0.287956076335449,0.144393724716053,0.2699358527704538,0.0429615636493963,215.26612107090585,1.057573394596836,13.440977677777756,3.3462862817565435,1.9613712550534335,1.2604904962644485,0.15923503363801977,1.809891455457065,0.2244941596568882,13.830054462221586,2.946308104208955,3.667855117113626,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
8,0.3454241708856033,0.3444572111483994,0.299907382441716,0.2908195897375731,0.2135722425869782,0.2219771631133998,0.4354316830367477,0.2466188707106706,0.2906230725561005,0.020183996221366,366.1248534325931,1.4427122417879161,18.45313649111108,2.7699918429136674,4.234350160492802,1.48573986970444,0.05133642802979369,3.0023708595664345,0.16687093998311076,33.85131563348714,4.588734610780711,5.800426877710393,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
9,0.3522548884672536,0.3532669953592819,0.3403552809728404,0.2581848613713036,0.2038844100073232,0.408037567245074,0.4706997435009292,0.2014508883976174,0.1771075245777896,0.026826190324302,88.58811759793142,0.7134694438325364,9.27586699111107,1.5155718443439357,2.2238235480038613,0.7521758835244412,0.04513488192760135,2.9745610948818917,0.17421685745555499,4.385235463982594,1.5880566767454474,1.8514193612600223,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
10,0.3523051144775866,0.3598365409730108,0.2995643909556307,0.2869535687890358,0.1909327058964234,0.1808831260310709,0.2531931983448409,0.3119377669401186,0.3018570086532259,0.0628022462580042,198.57725657505523,1.0008229087897822,12.492596702222182,1.476498233767679,1.9212360112083924,0.7369082737044419,0.12446428075633689,3.0261131471251543,0.2389213984919995,23.08147467338859,3.7830253489485823,4.78866339977094,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
11,0.3534414132713678,0.3813154510877167,0.2845429331867308,0.2984569373825154,0.1828335667168253,0.2878315372388832,0.3236896924409382,0.3122079658345142,0.1616733638884035,0.0324902055936229,196.95093104661618,1.0461999673005564,13.880961553333417,8.79230103452895,6.207710838771104,2.5249078506799987,0.42904160603859653,7.4584062720489035,0.5367017648326657,0.7621822025920482,0.6452820114801118,0.7439773191297746,5.069498160737295,0.6633926369361478,2.2515546097612855,37.438988203214016,1.0698969639310032,6.118740736721406
