mode_index,sing_value,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1,temperature
0,215.28042259324334,-0.6451587284449677,0.6058563010117393,-1.4384659021109846e-08,-0.36033652933662835,-0.2129373699644963,-0.09789618032981728,-0.063833690433471,-0.15720023626244983,0.05615428118485929
1,92.5884872277625,0.18828038263996336,0.7106048140007399,3.011751509533279e-08,0.4269808058649502,0.38043930594932046,0.1749038018076677,0.11404676238736354,0.2808579349946598,-0.10032665745632588
2,42.03723322240954,-0.737018640952872,-0.35389377836698027,3.891536251927826e-08,0.35154407069596666,0.32948628236574606,0.15147855647236722,0.09877237464437262,0.2432420880066572,-0.08688972419540855
3,20.753279260045648,0.07158376570285507,-0.05232718678165289,2.9467408035977102e-08,-0.7511735774154042,0.4725916436807014,0.21727008046383353,0.14167188392226474,0.34888906594960756,-0.12462838372296507
4,1.0550441090663051e-05,5.114370387563934e-08,8.842471322428925e-08,0.024407434826718737,-6.05297783228275e-08,-0.22485152329779462,-0.20135410504438092,0.951821344769342,0.029883964613951045,-0.03802197099096188
5,1.493269087475206e-06,-5.134562134210574e-09,4.240589305811513e-09,0.7113840816664695,-3.246288731639928e-09,0.0692379385510381,0.4994625212677436,0.11634886533581562,-0.4721928933288676,-0.056327605047666394
6,1.0424830324480652e-06,-1.1535740907428443e-08,3.3215285834396127e-09,-0.6162977573111914,2.5229813337902824e-09,-0.1187529008688244,0.48828113145313473,0.08258606145724709,-0.3509108544562391,-0.4875422794107748
7,6.760098583687738e-07,-1.8142648684815225e-09,-1.85341790339594e-09,-0.05338495611067821,1.1302431705434608e-08,-0.4749357670415946,0.598731265765592,0.021278447570569417,0.4317430513587148,0.4756596475557479
8,5.173794131862519e-07,-2.0498538929112497e-08,1.8023267396133027e-09,-0.33266212028270786,1.0951722743319396e-08,0.4277864012250633,0.05262204240209011,0.162226787449388,-0.42675161666883116,0.7036555666046742
