,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens,is_pareto
1,0.2028206349713628,0.366318924481158,0.15413398705011702,0.2802158050593171,0.0,0.0,0.32372694106171473,0.35661809646231857,0.16044020241886567,0.6215635872467794,0.05253139504088944,0.0397738733210912,0.0,0.0,1.055120100410362,1.0482023599977937,16.253081222415148,0.27561722466211563,3.4314437877193087,-0.16491375885600418,83.40091349999999,14.403357258776001,8.929199999999998,14.403357258775998,True
4,0.20544961383551338,0.3774300879766455,0.18925880538313938,0.15445530978843366,0.0,0.0,0.32967529649364014,0.33116348217792224,0.25929649566029683,0.3836879229671207,0.06474222887289618,0.04552507155886511,0.0,0.0,0.8834732611442112,0.8243688753304204,24.077664702567233,0.34413717701967633,4.288217041308508,-0.14239393923501942,1.7645262499999923,1.7633503794489782,1.0796999999999983,-1.0975081062968768,True
16,0.27960867347778007,0.3098385471778522,0.1547370994386052,0.2409807755418062,0.0,0.0,0.353056488745496,0.30897818029802626,0.3892339146351491,0.5923668788532931,0.06692144677355139,0.08244580045002246,0.0,0.0,1.0763453692888352,1.0230280993658591,11.066501785915667,0.22937425222718452,2.8589892207179672,-0.09251340723590747,238.72356475000024,24.819983315675902,15.35250000000001,24.819983315675902,True
