split,kernel_liq_density,mse_liq_density,mapd_liq_density,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,RQ,17.58690613459128,0.2475235754934134,Matern52,3766.611144659612,124.63941532872308
1,RQ,20.576385505526464,0.3410495839313858,Matern52,631.4786112285867,30.70716760023229
2,RQ,685.6732176900892,1.802489251857264,Matern52,673.250195044356,33.71121886933713
3,RQ,171.194381353958,0.7238272065106302,Matern52,19419.81652632768,50.51885942013677
4,RQ,106.54023409235036,0.6873889699705333,Matern52,3903.0959686517513,101.3124102016412
5,RQ,294.3811323399353,1.339326855638516,Matern52,137.1871700815352,17.040696239244756
6,RQ,82.94171127834339,0.7230091399887622,Matern52,4735.2342625342135,95.77475098337256
7,RQ,244.61079223827693,1.070592114610228,Matern52,432.9132656228363,35.9657366435852
8,RQ,22.069094408890287,0.3069331988135265,Matern52,2747.613756030013,62.98898029961648
9,RQ,33.75620574246292,0.3726175244951992,Matern52,376.1035139968823,25.89295699413797
10,RQ,362.5683291355705,1.4477220382200515,Matern52,341.85762968026563,28.60355538416064
11,RQ,238.26610519020755,1.202177551237657,Matern52,723.6021459395263,43.99819105894505
12,RQ,38.25749597795301,0.3611319378236947,Matern52,11003.308465360446,205.99946307879904
13,RQ,159.15195718237112,1.0138344968298405,Matern52,207.24346052658288,18.691961986955956
14,RQ,89.73850426677033,0.7077710865689884,Matern52,197.8074533124772,19.845352844001088
15,RQ,201.7550475171487,1.0744261795869567,Matern52,1298.605790015206,82.6911842159827
16,RQ,212.2022752207418,1.130926584628038,Matern52,1561.8395819702105,48.76306005200205
17,RQ,255.10579782009427,1.082792211466821,Matern52,4064.493209303072,90.13718315666064
18,RQ,74.68985881547792,0.6071117842680139,Matern52,295.8053507628075,16.96091303081722
19,RQ,885.9212415692912,2.3178817781001357,Matern52,19372.11876993933,44.06876525108516
20,RQ,280.1514909606581,1.3051979520402524,Matern52,13583.121137211629,111.91762798374974
21,RQ,92.66610414953882,0.7594515201675658,Matern52,27.95971805290525,5.770581624183473
22,RQ,302.19418016996667,1.1793165319369523,Matern52,5601.704017134718,64.16570515632205
23,RQ,101.87098501684974,0.7302871478959955,Matern52,10237.316078737736,108.79568771080446
24,RQ,347.14142790064744,1.3548545994648695,Matern52,3810.8764543638185,35.45896030740956
