split,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,Matern52,3569.858076197544,128.38699271681355
1,Matern52,2021.3106935460376,91.53894975889531
2,Matern52,0.24520112281955833,0.8572653016761231
3,Matern52,26.110533377075686,11.832827257043851
4,Matern52,107.01228342229369,22.709194950423512
5,Matern52,52.21527935164981,9.716824988324388
6,Matern52,3.8438602559263675,2.6864204534229152
7,Matern52,2.646170807339422,2.306582120052952
8,Matern52,0.02968563669436305,0.24764130849713123
9,Matern52,47.00762376709449,10.341192455831631
10,Matern52,65.17323410699275,13.089785197675209
11,Matern52,1.600410909286993,2.2794116753108375
12,Matern52,39.47026069085776,15.274195248664851
13,Matern52,232.57921880585928,30.523133998182317
14,Matern52,350.79552979352763,28.689760418700942
15,Matern52,3199.276431804949,17.6708941594338
16,Matern52,219.76087721779976,5.851429749209858
17,Matern52,675.1335670858743,17.99343682928931
18,Matern52,375.3535145767877,19.88876348703347
19,Matern52,2181.200315985015,84.96765695661867
20,Matern52,132.2917196038847,18.091297496387305
21,Matern52,576.2716139471587,38.123886063401805
22,Matern52,118.06350178558819,17.613537157320287
23,Matern52,398.4305670963036,33.791932580224305
24,Matern52,2901.9637515089735,92.10651682144885
25,Matern52,517.4115466346896,41.74124379832021
26,Matern52,2.6666689783977247,2.695265309965732
27,Matern52,66.85227438674474,14.493687650533507
28,Matern52,89.35723302135933,21.18616369639654
29,Matern52,312.0609482577581,33.51880253540385
30,Matern52,69.15345087157209,11.281855094629396
31,Matern52,2592.187393781657,74.06466002286204
32,Matern52,1130.259536180066,45.407906392168016
33,Matern52,929.5958732255245,45.55431420299216
34,Matern52,112.01638461845073,15.443332870893114
35,Matern52,114.13445666301558,17.939118450925815
36,Matern52,6.8092877612915474,4.738186046408605
37,Matern52,8.73285987936044,6.021205165899687
38,Matern52,1.4800741986075419,2.3801365596847943
39,Matern52,1287.4165205184493,71.92588419269224
40,Matern52,160.20579925879142,14.622845902698117
41,Matern52,0.8874469590926745,1.1398612537398443
42,Matern52,0.14542221006148476,0.47388533988310855
43,Matern52,0.25049064870107846,0.6351481721860366
44,Matern52,74.65982400581484,10.826045439647537
45,Matern52,61.679700828475525,12.14793893237227
46,Matern52,1.0422165688051506,1.6796342355601777
47,Matern52,3.170112330842541,3.0152345520968433
48,Matern52,0.5501969286403942,1.2164066417773085
49,Matern52,18.840674656765643,7.309965810309171
50,Matern52,16.801630705274437,7.123580103285292
51,Matern52,1.1040190918781765,1.8301295503210553
52,Matern52,2972.043458764736,98.1800768403857
53,Matern52,672.072405014061,49.874678808833615
54,Matern52,429.70428833478235,40.38832905141227
55,Matern52,54.493157932642454,6.225919398401603
56,Matern52,118.95467935926844,9.540651823785705
57,Matern52,158.59033224370935,15.61064738593515
58,Matern52,1252.0625116784508,70.28263488087576
59,Matern52,45.894147104386676,18.40937710677741
60,Matern52,6947.258996043192,161.97718320219425
61,Matern52,7.684325063526167,5.582311631294511
62,Matern52,87.78557798261606,18.185233138025502
63,Matern52,4.573548655750458,4.213339244747245
64,Matern52,17.464221123962176,8.477654326956394
65,Matern52,120.22991124985916,16.18142791855256
66,Matern52,0.5323702698464077,1.115542156995357
67,Matern52,8.523585389324977e-08,0.0004532040773891181
68,Matern52,1.406292188155298,1.8744221390918785
69,Matern52,26.17986587680257,8.250427572660044
70,Matern52,422.3720343297941,29.9729343540382
71,Matern52,15.460937259761053,5.980061342850177
72,Matern52,55.81195581087519,12.479415976853991
73,Matern52,2.211698914470611,2.3419206672652937
74,Matern52,384.4460037104022,30.754852134504752
75,Matern52,3979.2046669218525,338.79510091198046
76,Matern52,1073.3018065735425,41.40525277434015
77,Matern52,1117.7249901462658,49.8236169424924
78,Matern52,128.8791618396478,25.316516994282782
79,Matern52,,
80,Matern52,2.7599750874457225,2.063209938735171
81,Matern52,13.457740014527849,4.686325778365314
82,Matern52,320.0123322819707,23.838660627036255
83,Matern52,3.771321735910057,2.4923018222408504
84,Matern52,1600.1206497663222,53.98314182678771
85,Matern52,5.267247069012276,2.465990867471607
86,Matern52,59.67696638647151,10.744433918152614
87,Matern52,8.146937943952256,4.1583090720719404
88,Matern52,2.9716160274151227,2.6862559309794447
89,Matern52,6.79228790566734,4.22621610408979
90,Matern52,304.4894665377963,19.618997154751302
91,Matern52,41.827271203759864,6.978054695403604
92,Matern52,19.029590631226718,5.30834517899493
93,Matern52,0.27381250447902705,0.6572352218657586
94,Matern52,79.1829016603624,10.877270549508712
95,Matern52,150.28274195943774,4.265323003773842
96,Matern52,17965.561039831497,37.71387311927011
97,Matern52,1607.9258906168543,11.066160325773055
98,Matern52,1253.8569115355547,13.68300649380268
99,Matern52,1058.9772178644018,14.775365627584536
100,Matern52,4584.020361184128,50.90114453454082
101,Matern52,1870.792477151887,54.14602706970191
102,Matern52,856.0704330129001,26.077604716022897
103,Matern52,154.26803394325046,12.08022870489938
104,Matern52,5.48394450102088,2.6145884981503134
105,Matern52,51.67254357860874,8.603252597788796
106,Matern52,0.7985618314852688,1.0885427819646065
107,Matern52,0.0189531526997947,0.16939364437471122
108,Matern52,182.50102222558084,16.89908047224763
109,Matern52,588.3051247888529,30.90891975797622
110,Matern52,25954.880064572037,55.784150066344665
111,Matern52,178.90878427899574,8.355230005043788
112,Matern52,626.3947049171611,26.016911442556466
113,Matern52,8196.222534208602,167.43973702698955
114,Matern52,805.3109849225276,33.42304300449614
115,Matern52,256.3978762032452,14.230487197172446
116,Matern52,1528.9576251198541,46.808147029964644
117,Matern52,3148.1649059240485,66.09204377493852
118,Matern52,21.991007374851026,4.8973239602754095
119,Matern52,676.2167902602171,28.340256012370467
120,Matern52,2421.823033595225,20.89057043668077
121,Matern52,1300.7240819110355,18.658730028780006
122,Matern52,1946.7345785345276,25.480594497277963
123,Matern52,2058.053036368486,55.96221480827318
124,Matern52,496.62160304886777,29.472066657147977
