,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens
0,0.20099547517203278,0.2645479002527556,0.22687607603725196,0.2236039889255123,0.0,0.0,0.3093273084200879,0.3303178915489515,0.34619484865986705,0.3760435560817636,0.07550074241019167,0.0778848858949319,0.0,0.0,0.6488297322576612,0.6633860150913794,121.66468382310977,0.8156308402765294,10.198176703927857,0.8156308402765294,202.6368164189999,21.680454927916042,13.389759999999995,-21.680454927916042
1,0.2028206349713628,0.366318924481158,0.15413398705011702,0.2802158050593171,0.0,0.0,0.32372694106171473,0.35661809646231857,0.16044020241886567,0.6215635872467794,0.05253139504088944,0.0397738733210912,0.0,0.0,1.055120100410362,1.0482023599977937,16.253081222415148,0.27561722466211563,3.4314437877193087,-0.16491375885600418,83.40091349999999,14.403357258776001,8.929199999999998,14.403357258775998
2,0.2036143501117294,0.36304161307296245,0.15172420275183993,0.29581131629394075,0.0,0.0,0.3007906109176383,0.39541074744197113,0.5251638443396338,0.22378639682071974,0.02824169861092253,0.02157549701745631,0.0,0.0,0.9263632245207243,0.95665059700667,27.083691131931488,0.36412266742594523,4.561228942016942,-0.149796964641639,126.40384661999997,14.621590728969947,9.022679999999998,-11.45927667938317
3,0.20509246509635246,0.29214873033816235,0.22665122229561752,0.19438135159416142,0.0,0.0,0.29224766479520536,0.368955529921861,0.578988379782567,0.3755127417442879,0.05888569795173698,0.08267981770958255,0.0,0.0,0.9195229287174209,0.949827013728783,731.0267049191444,1.5617932021739616,19.625413215573143,-1.5335876669704638,22128.38665455,182.95181165795964,114.4365,179.29296868275304
4,0.20544961383551338,0.3774300879766455,0.18925880538313938,0.15445530978843366,0.0,0.0,0.32967529649364014,0.33116348217792224,0.25929649566029683,0.3836879229671207,0.06474222887289618,0.04552507155886511,0.0,0.0,0.8834732611442112,0.8243688753304204,24.077664702567233,0.34413717701967633,4.288217041308508,-0.14239393923501942,1.7645262499999923,1.7633503794489782,1.0796999999999983,-1.0975081062968768
5,0.21368124973755573,0.20528351905922856,0.15601004034886096,0.27498113385235334,0.0,0.0,0.30514986702162233,0.3864211264540499,0.6027126876518909,0.40266930926652905,0.06024999717097934,0.027505678813864152,0.0,0.0,0.9590440341806588,0.9100824880918559,39.548868736584375,0.46741957131843354,5.850382960097204,0.4674195713184336,88.20068896249995,13.083456962752447,8.056849999999995,-13.083456962752447
6,0.21826263558031678,0.35319621922270994,0.2042930973737324,0.16475311732325204,0.0,0.0,0.316576988677377,0.3642987547277038,0.5610937515788144,0.41036844496147024,0.03637887783746461,0.08237509384224932,0.0,0.0,0.8872021880716036,1.04724396844917,49.5292176286517,0.4998000034309614,6.265059540636912,0.4998000034309613,79.24614110000005,13.842715906943942,8.570600000000002,13.842715906943942
7,0.21833867577022528,0.23476684590154187,0.21302307827721778,0.2477590324995888,0.0,0.0,0.3234379290663621,0.3177218889581862,0.5287328035405895,0.1900753919512887,0.07279844041224239,0.04978693159210065,0.0,0.0,0.9307845765671052,0.8616513004007628,94.53375647952636,0.6405387402279167,7.960386687121991,-0.6405387402279168,89.12104454199991,14.418248348812135,8.879019999999995,-14.418248348812137
8,0.2225873589912787,0.3794787312419838,0.18035384356913886,0.15429447659069023,0.0,0.0,0.3216956560017502,0.36776506207267107,0.5415693107077283,0.44676642693009166,0.0814354582281375,0.0713446645416676,0.0,0.0,1.0945757993948677,1.0815136699375043,22.655924735429874,0.32780445202046243,4.077177392714748,-0.3278044520204625,397.52018330000027,32.06058911025813,19.837400000000006,32.06058911025813
9,0.2288888564486956,0.31911374938275544,0.17157023740099095,0.17348775839981212,0.0,0.0,0.3139730196316043,0.39345679936184363,0.6019535624838326,0.44482384663993624,0.03834614901889557,0.02954322120971209,0.0,0.0,1.0591431906439763,0.6378239194871087,33.79514923738684,0.36905719491297595,4.633625102693349,0.3442473341434885,3.0004025000000034,2.3723140967785707,1.4724000000000017,-1.389746743371278
10,0.2479432918647047,0.2842671738599472,0.18313692754822633,0.1796661048200638,0.0,0.0,0.3317538363403688,0.35535664267107775,0.49015914183477893,0.24355488990556534,0.027185585730111934,0.021459115617230812,0.0,0.0,0.7951872579384075,0.6810491071967166,81.08205334232603,0.6091896477244962,7.5744178773803466,-0.5309021264987409,53.010126449999994,11.46724257572527,7.0631,-11.46724257572527
11,0.257505963426733,0.34329540075204346,0.15052081268562081,0.2851145725193503,0.0,0.0,0.30250228899165243,0.392099731193596,0.612243593763352,0.21905925828392,0.07124920670492337,0.08029729652371609,0.0,0.0,0.7744574629195373,0.7234184765211769,98.23912271405389,0.7458074974022513,9.295953062134549,0.7458074974022513,1359.6207535480003,51.59918323379144,32.10224000000001,28.889037070477002
12,0.2683806692236164,0.26460511898283334,0.22548985066984373,0.20573017921503006,0.0,0.0,0.32317576982139656,0.32024147916254625,0.08728289349447296,0.37313658966345203,0.016799718299650445,0.033350453792382266,0.0,0.0,0.9842649787711029,1.1134348113841033,48.987636954907465,0.48692403601208084,6.065220087746184,-0.23166448524865144,128.04278043099993,18.243720939432407,11.281999999999998,-18.24372093943241
