split,kernel_liq_density,mse_liq_density,mapd_liq_density
0,RQ,112.13665162436517,0.8353222085862153
1,RQ,48.17659279019102,0.5454124636023289
2,RQ,5.940685851233504,0.19309061608917888
3,RQ,3.9365354444521565,0.1584884236566237
4,RQ,0.6112777097272918,0.0629693867763577
5,RQ,0.6748919250785771,0.06496318404465402
6,RQ,0.03451002191975971,0.014795732713340802
7,RQ,0.22839291982415774,0.0383343181373925
8,RQ,0.19368392836374956,0.03552930028720767
9,RQ,0.6070092724702879,0.06337209888910532
10,RQ,41.908198083508786,0.5169672581225562
11,RQ,17.447708719401685,0.3337005193007394
12,RQ,34.50440217384731,0.4714039529225185
13,RQ,59.220788005395285,0.6165114271690747
14,RQ,52.28142707494762,0.5843758246806658
15,RQ,989.5327276775228,2.6057966912039254
16,RQ,74.97954202844183,0.7026712362545049
17,RQ,0.30217114728885575,0.04440160584179775
18,RQ,11.57307771030187,0.27560902928212216
19,RQ,84.16443073677343,0.7417194961512282
20,RQ,21.541468917514536,0.36651500812423715
21,RQ,0.44426507906378426,0.05303708499942607
22,RQ,0.03648502343110315,0.015313766539585685
23,RQ,0.24168925093259291,0.0397160624520104
24,RQ,9.635808032132092,0.2527472335138072
25,RQ,84.37906314930765,0.72302860235373
26,RQ,24.27686970418273,0.39098868822558774
27,RQ,20.585124268422486,0.3608763563450719
28,RQ,7.4343376292853645,0.21861552941295184
29,RQ,0.838142935045032,0.0738749295071367
30,RQ,0.06341981244231205,0.01979701081621193
31,RQ,0.013248489230909684,0.00910605498627572
32,RQ,0.26019278462251033,0.0406262205540394
33,RQ,0.12256595712428991,0.028077068740683327
34,RQ,0.41703574605048327,0.052169409371133055
35,RQ,1.3638596338669882,0.09267317712222116
36,RQ,0.708275537140383,0.06719036297858356
37,RQ,0.8099865338652563,0.0724670792846522
38,RQ,0.6253594163401783,0.06426605935978268
39,RQ,41.01340537450619,0.5248723960581425
40,RQ,15.654717979129355,0.31383020667792255
41,RQ,0.017532426884005577,0.01056356252533381
42,RQ,0.27071145073674274,0.04180834554436365
43,RQ,0.1347602558302818,0.029677374958776932
44,RQ,14.4443982019545,0.3092262905854738
45,RQ,18.136768436841674,0.33500161927420974
46,RQ,0.3868157422521196,0.04926447414746124
47,RQ,0.14296794952834252,0.03016331914307087
48,RQ,0.027050484208059916,0.013218558871076884
49,RQ,4.360577187785352,0.16905303486520368
50,RQ,1.1444733205505222,0.08466504539929692
51,RQ,0.024402969592485002,0.012466556391731843
52,RQ,1.3755938671536836,0.09439501263648103
53,RQ,2.0773486772343452,0.11697804122990259
54,RQ,89.15034523509223,0.7733493365218488
55,RQ,0.18934451377115824,0.034332376726811775
56,RQ,1.2843647531097997,0.08983454158185081
57,RQ,9.522113906232203,0.24539446188418346
58,RQ,25.068765526179142,0.3979926856045706
59,RQ,28.618463237826408,0.4289646340658465
60,RQ,30.789259794116514,0.4376104685550589
61,RQ,0.5520608905844697,0.05912072587152994
62,RQ,0.0465579125332079,0.01731778453816119
63,RQ,0.6553170771762106,0.06551945956933898
64,RQ,7.398186613756817,0.22210660464892623
65,RQ,1.1244973750724858,0.08426864516430509
66,RQ,0.0038805886067008895,0.004984884467110012
