,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
333,0.8653343537048024,0.6990437107187846,0.7429706101648587,0.12910343070140257,0.020412467479662688,0.09128378669483254,0.5715367458306604,0.7006936604064576,0.8099011172970011,0.9865414732466792,0.6363460769920051,0.1946300225646517
38,0.0836598739123025,0.6937523495526653,0.4812195489529677,0.5533881307078528,0.5734341046887647,0.9717814415432654,0.8731390914468464,0.31071773681783277,0.9504261419740092,0.03889932454020218,0.6711245303644525,0.12682729638750986
258,0.6808247525885579,0.8319833249164026,0.7024593356923194,0.37703891215400337,0.17768082224828732,0.5320039795460573,0.2909514542780784,0.4417607040948862,0.8484090295571216,0.8682242564002978,0.8600452512602749,0.9564107399745932
389,0.9834732991457839,0.3113036084316233,0.5259026029079515,0.24476937967708945,0.47563313250688066,0.7275809935487153,0.7379971866260384,0.6116713270901633,0.877431746047245,0.19637048561398518,0.9608020551582631,0.17620824918600492
208,0.5524734834798225,0.03161140995819128,0.27790857825710485,0.9651442991812186,0.6788935005438894,0.9725076069510173,0.37684586337948894,0.6147629907965159,0.028126888499244083,0.8418244308015889,0.27506362072464285,0.9437205456666731
183,0.4834896564068135,0.06584173048861025,0.8266414421553686,0.13232776314155464,0.030680943399557657,0.38029662244437423,0.9181193343484273,0.7301148843514801,0.5592606822841415,0.05400492562784913,0.6321725936607301,0.35640646145111254
260,0.6870718191495955,0.0884431513336416,0.8288601217251159,0.20037298349788069,0.01226748226539204,0.9793578070768224,0.49497832781074513,0.8374656648798348,0.7173977345121241,0.7454619134782267,0.30176646126545337,0.03523287077591219
186,0.4908520637687901,0.41097257536255916,0.38383956561378496,0.17736324274859105,0.8560307560719337,0.08088127075644894,0.680322486622157,0.8552920482020862,0.34867362596507495,0.4576298063535744,0.3199335845358668,0.6577761817599419
245,0.638118005629627,0.4527721512195475,0.6164892797414259,0.7977008285132972,0.25239445525463744,0.9436741119961971,0.23737486722586248,0.07804774394740849,0.6830615227413052,0.9562179042297,0.17684303497522205,0.7884147351437808
164,0.4447049991628184,0.772038226111377,0.25008167084045907,0.217701012851864,0.9861521677160172,0.39451369668965386,0.7606324606117656,0.2720897358315274,0.8105586840694954,0.4160644104427833,0.8106538011283966,0.3297135205945774
324,0.8467325445658185,0.9462378358870237,0.364947159216927,0.8207904652664935,0.7677510339473508,0.9549992359259661,0.9545990010421272,0.66771946662245,0.6631656086264207,0.8289539030290239,0.6720755771315631,0.9290941085834887
289,0.7683250241968308,0.9789550213229075,0.07787597578063188,0.8313225972335013,0.7548464746019172,0.9632330619074463,0.03168769682571669,0.3389811409284118,0.3737274565338347,0.018952924235316904,0.8962366817512818,0.9595196928036728
247,0.6423094890732011,0.46599433675417207,0.08102725673382735,0.3245389604061283,0.8637352283751142,0.3211981099456239,0.9255025046662707,0.12994526391046626,0.5667253939325342,0.9617117445293776,0.14605805852537243,0.03584911033376176
307,0.817202258692434,0.5151020328886038,0.5766985476122805,0.6588130906899602,0.04057760041340411,0.14716005892435602,0.43637068473212987,0.4550414761949618,0.7172396735037947,0.02314098324853519,0.12185064486040383,0.01634688173164321
314,0.8281962712700246,0.9924153001285889,0.5096407877608408,0.06140022663146949,0.2671072921568822,0.8335455352612996,0.40166396602543053,0.3880284139996227,0.549373018197718,0.857704925960009,0.22491870877789324,0.13918513371277996
217,0.5753327663319715,0.7500149886925283,0.7935212191448181,0.22672964681643132,0.38305010210085966,0.5826745820251732,0.872690406943186,0.5036074234468763,0.3999046749652402,0.09616734243127527,0.1215201623772894,0.9657970145076985
267,0.710214543225242,0.8808846676958292,0.17805220240443992,0.8442175940870605,0.8217757281681358,0.2062541893707626,0.726726558681642,0.8028625051195065,0.7781911813643104,0.205775845033667,0.0008451478733843518,0.6315420603344933
348,0.9003971402750182,0.25438309292861216,0.449540950434242,0.8450606420907671,0.28941621757449204,0.39911596220431544,0.9571252353308548,0.0027686348185517926,0.34124803904336076,0.9140472137592094,0.5804278611922002,0.7039140257684614
