,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,temperature,liq_density,liq_density_unc
0,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,0.9569056163707528,0.8071013645658021,308.15,704.0461513880775,1.0732758952010504
1,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,0.9569056163707528,0.8071013645658021,313.15,699.0511450205074,0.7640470153850935
2,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,0.9569056163707528,0.8071013645658021,318.15,691.2166197973935,1.1966565209534632
3,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,0.9569056163707528,0.8071013645658021,323.15,684.3480958934786,1.051757187188364
4,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,0.9569056163707528,0.8071013645658021,328.15,678.0104058718309,0.9794047717381893
5,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,0.925657877501982,0.5449592586421985,308.15,788.3937706167533,1.4783320852664341
6,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,0.925657877501982,0.5449592586421985,313.15,766.2200338126468,1.3244679071784091
7,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,0.925657877501982,0.5449592586421985,318.15,749.467280934306,1.5215676592593677
8,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,0.925657877501982,0.5449592586421985,323.15,731.5625149842407,2.8870146874201232
9,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,0.925657877501982,0.5449592586421985,328.15,708.413104680003,1.0614428288820184
