,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1
11540,0.15115159966300487,0.11918282873709612,0.41782897332631086,0.6939926441703154,0.405870007909212,0.4220395654131909,0.7520212825768481,0.9849835442731352,0.4703705592276673,0.8314956240586729,0.6386417100286003,0.13450522677170387
14967,0.15504561699837738,0.5911392787351896,0.21304393476983874,0.8772672578776848,0.13144186165661,0.29936307410046803,0.12334112464847093,0.03570079138662892,0.37917465648457593,0.4613331092602651,0.7594180537520138,0.683041532634947
1188,0.2049855447501859,0.1662232593384811,0.5229392959451302,0.5052542106933923,0.10042865903411945,0.48863882505360384,0.6442031374190722,0.77733446898186,0.326605750588989,0.1853387801404813,0.9565725402257763,0.04570988662952118
14821,0.013760498889585747,0.30598968812254673,0.18414924376270833,0.9008600969791605,0.36271678881553865,0.3001099630438162,0.377035492743088,0.4797489899445006,0.4250982637592601,0.6963886407705124,0.8563106964247997,0.21963782861218134
13034,0.47006944464409056,0.01015762392880493,0.6077073808437052,0.8110140955377723,0.15020775353080182,0.11030196703987971,0.9244953024877127,0.9872744153910764,0.4276860722549856,0.9677116122815828,0.40470310557399913,0.3568148207005957
10896,0.3155042557834919,0.36934349236820196,0.5533774458799013,0.6505351615418774,0.15946779610641204,0.3793630691202079,0.47087370323994526,0.8625967338276966,0.26213443751548077,0.8521142606290517,0.7974660318015239,0.24013055996804447
14830,0.2117114089789524,0.3310319448079116,0.3919781638674278,0.8932623699760273,0.16096708809126228,0.013531000399866449,0.4993936421869456,0.8955223586963049,0.7955405170782597,0.4835601836595356,0.1708476486791861,0.7256697797787552
12767,0.060282694356187654,0.1742643273678707,0.39009831465487255,0.6321166947474136,0.24567796153393967,0.4915732707897834,0.5681034735530798,0.7458125055967176,0.04963465492346034,0.6328797832304931,0.9899851132044538,0.1920994466511912
16530,0.25107034537687567,0.3864778350400208,0.3841122794497781,0.7022258665717066,0.1458411962867619,0.06492491608870762,0.3771680613588826,0.7521431335938866,0.41262135240455994,0.8277350076090525,0.8832964608549341,0.06108295804876004
8956,0.1870328784786265,0.2119546321646027,0.4746116051813517,0.6838312740030993,0.24486674327314437,0.32499964969898626,0.6019791279744374,0.9758641772055252,0.3480409819205989,0.5702033110848751,0.7340179796357551,0.4317119058102913
15096,0.1890483910938855,0.20502812316143387,0.5400434986736706,0.6563880402350182,0.03865956213784644,0.3497970564039035,0.7127987196926203,0.8251384513111147,0.5304175040248296,0.8142251358809888,0.6877769635825421,0.5588042622508311
6557,0.06719114243569972,0.3859479701173347,0.3928780950013405,0.8052941896762617,0.2789464553766796,0.06058125564506567,0.9755457362288038,0.9749602374070503,0.28469951416559075,0.5954097162268702,0.36648145380502595,0.35758717309321864
13232,0.13227921499638326,0.26810780240472326,0.20848300511918783,0.6851365783190645,0.3521298949332994,0.06241278915587511,0.31031472158367707,0.500883992584243,0.5018314023165192,0.6613871475521373,0.7450051602451517,0.16966556145486095
14856,0.1686342580414868,0.40308778639598397,0.364061564730993,0.3824283043720282,0.020265927793752785,0.12640467939818847,0.47719801509416826,0.07548358270442701,0.5184771642776265,0.38692614210325815,0.841201116744429,0.09078518684630155
14519,0.38549025034163537,0.22933687992796886,0.4688055446138808,0.4780394714853416,0.06531757889902298,0.290174354891069,0.24460880822064332,0.8940026889133449,0.13511079155123876,0.39241598166128777,0.7433692054416864,0.13546578030828957
2853,0.3037656550221935,0.31938822131448213,0.5213340360684283,0.9347803332687014,0.05550595728822836,0.117840843668828,0.5123011656996875,0.9842432095352727,0.6422866794815052,0.9763639734801792,0.44052663739039477,0.9536178867264355
3793,0.4298004358521534,0.3261495604149075,0.6042240544769847,0.6793955908626095,0.2568457639711347,0.13547345814725925,0.5671227791516533,0.8125013713967457,0.5885717419604531,0.8479078417227762,0.6917151609982344,0.34417087958533366
14931,0.32292906642179,0.24826480139934715,0.36893176253620635,0.6902203033642247,0.2694564524707439,0.12000570576970117,0.35919296792802013,0.9227042138328814,0.016025911496235907,0.5697580069811351,0.778813602342375,0.16452465212481387
10720,0.2370330268484877,0.30216057817619624,0.4428953543372684,0.5351747775063769,0.43546577001595266,0.11386539163281122,0.7328804645773018,0.9791034188708148,0.2859411347930924,0.9168007936291095,0.6934973430089548,0.0003407667253178618
